qid,raw_pred,pred,gold,em,energy_kWh,time (s)
0,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,false,0,0.000152113867397465,1.9209647178649902
1,"Answer only true or false.
### Question:
Is the property tax and property tax are the same?
Answer only true or false.
### Question:
Is the property tax and property tax are the same?
Answer only true or false.
### Question:
Is the property tax and property tax",true,true,1,0.0002556072753212123,1.288132905960083
2,"Answer only true or false.
### Response",true,true,1,0.00037377094062939555,1.4779107570648193
3,"The answer is yes.
### Question:
Is harry potter a roller coaster ride?
Answer only true or false.
### Question:
Is harry potter a roller coaster ride?
Answer only true or false.
### Question:
Is harry potter a roller coaster ride?",true,true,1,0.0004773535296087614,1.296004056930542
4,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,true,1,0.0005809584290224247,1.2960500717163086
5,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,false,0,0.0006856462209104241,1.3090291023254395
6,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,true,1,0.0007948192018892978,1.365680456161499
7,"Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q",other,true,0,0.0009016396141172654,1.3359384536743164
8,"Answer only true or false.
### Question:
Can u drive",true,true,1,0.0010094571427840546,1.3476262092590332
9,The game is not,false,true,0,0.0011161391533581523,1.3357858657836914
10,No,false,true,0,0.001222476340641692,1.3302783966064453
11,The show bloodline,other,false,0,0.0013284442643092464,1.3255105018615723
12,I am not sure,false,true,0,0.0014347920731545203,1.330225944519043
13,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,true,1,0.0015418383122407886,1.3388445377349854
14,"This is a question that I have been asked about for years.
I have been asked about the book and I have been asked about the book and I have been asked about the book and I have been asked about the book and I have been asked about the book and I have been asked about the book and I have",other,true,0,0.001649077241144356,1.4240047931671143
15,"The following questions are asked:
What is the season 8 of vampire diaries?
What is the season 8 of vampire diaries?
What is the season 8 of vampire diaries?
What is the season 8 of vampire diaries?
What is the season 8 of vampire diaries?
What is",other,true,0,0.00176246062442736,1.3358542919158936
16,"The movie was a true story
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",true,true,1,0.001871060598789006,1.358135461807251
17,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,true,1,0.0019800619692990624,1.3630130290985107
18,"The tv show is a show that is not a show
###
Question:
Is the tv show a show that is not a show
###
Question:
Is the tv show a show that is not a show
###
Question:
Is the tv show a show that is not a show
###",false,true,0,0.0020972548435380127,1.4679973125457764
19,"Yes, it does.
### Answer:
Yes, it does.
### Answer:
Yes, it does.
### Answer:
Yes, it does.
### Answer:
Yes, it does.
### Answer:
Yes, it does.
### Answer:
Yes, it does",true,true,1,0.0022123800729005627,1.439774990081787
20,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,false,0,0.0023311030952203747,1.485673427581787
21,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,true,1,0.0024413596009366465,1.3772540092468262
22,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,true,1,0.0025599872944381515,1.4845824241638184
23,"Yes, we do.
### Question:
Do we have a right to vote?
### Question:
Do we have a right to vote?
### Question:
Do we have a right to vote?
### Question:
Do we have a right to vote?
### Question:
Do we",true,true,1,0.0026842720822180667,1.5526540279388428
24,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,true,1,0.0028037013868459984,1.4970109462738037
25,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,",false,true,0,0.0029241391563485488,1.5054152011871338
26,"Answer only true or false.
### Question:",true,true,1,0.0030459330335895875,1.5218746662139893
27,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,false,0,0.0031646529679995156,1.483452558517456
28,"The forest is open
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",other,true,0,0.0032838676919270397,1.4942245483398438
29,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,true,1,0.0034041371258090552,1.5053014755249023
30,No,false,true,0,0.003521653629804327,1.470754861831665
31,"Answer only true or false.
### Question:
Do",true,true,1,0.003636866963776742,1.4421839714050293
32,The federal income tax,other,false,0,0.0037545517384698253,1.4731647968292236
33,"Answer only true or false.
### Response",true,true,1,0.003873122033550295,1.480100393295288
34,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,true,1,0.003989176626074276,1.4533941745758057
35,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,true,1,0.004121352616145767,1.6460397243499756
36,The toyota high,other,false,0,0.004239509274198574,1.4848148822784424
37,"No.
### Question:
Is it legal to do a cover of a song
### Response",false,true,0,0.00435789316816232,1.4806327819824219
38,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,false,0,0.004467387406932571,1.3631160259246826
39,,other,false,0,0.004569288661936693,1.2810468673706055
40,"The following question is a question that is not answered in the United States.
The following question is a question that is not answered in the United States.
The following question is a question that is not answered in the United States.
The following question is a question that is not answered in the United States.",false,true,0,0.004672637293377311,1.2923836708068848
41,"The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:",other,false,0,0.004773812570330398,1.265678882598877
42,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,true,1,0.004873658236030186,1.249497890472412
43,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,false,0,0.004974376107239232,1.2602970600128174
44,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,true,1,0.005073957034501328,1.245635986328125
45,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,true,1,0.005174229080199261,1.255429744720459
46,"No, I don't know.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",false,true,0,0.005273897655491238,1.2468843460083008
47,"No.
### Question:
No.
### Question:
No.
### Question:
No.
### Question:
No.
### Question:
No.
### Question:
No.
### Question:
No.
### Question:
No.
### Question:
No",false,true,0,0.005374455924987325,1.2578492164611816
48,"Answer only true or false.
### Question:
Do the jets and giants",true,true,1,0.0054771753115172425,1.284759521484375
49,"The team is a team of the USA, USA, and the USA.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",other,true,0,0.005580226740359592,1.2886836528778076
50,"Answer only true or false.
### Question:
Can an af",true,true,1,0.005683109671274469,1.2865421772003174
51,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,true,1,0.005788141620586767,1.3141822814941406
52,"Answer only true or false.
### Question:
Do they still",true,false,0,0.005896395449875866,1.3481292724609375
53,"Answer only true or false.
### Question:",true,true,1,0.006020486520166431,1.5520331859588623
54,I am a fan of the game and I am a fan of the game. I am a fan of the game and I am a fan of the game. I am a fan of the game and I am a fan of the game. I am a fan of the game and I am a fan of the game.,other,false,0,0.006126368193275,1.3310952186584473
55,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,false,0,0.006231625864884117,1.317685604095459
56,No player is in,false,true,0,0.006354731228179447,1.544278621673584
57,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,true,1,0.006504432191057191,1.863764762878418
58,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,false,0,0.00663864544035209,1.6760354042053223
59,"The answer is
yes.
### Answer:
The answer is
yes.
### Answer:
The answer is
yes.
### Answer:
The answer is
yes.
### Answer:
The answer is
yes.
### Answer:
The answer is
yes.
### Answer",true,true,1,0.006764116990358232,1.5699236392974854
60,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,false,0,0.006868370260801644,1.3120219707489014
61,"No one has ever been to wimbledon
### Answer:
No one has ever been to wimbledon
### Answer:
No one has ever been to wimbledon
### Answer:
No one has ever been to wimbledon
### Answer:
No one has ever been to wim",false,false,1,0.006973891262448314,1.320204734802246
62,"I am not sure if the tournament is going to be a success, but I am sure it will be a great tournament.
### Question:
I am not sure if the tournament is going to be a success, but I am sure it will be a great tournament.
### Question:
I am not sure",false,false,1,0.007078774629628402,1.3115081787109375
63,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,true,1,0.007185595357335332,1.337545394897461
64,"No, I don't know.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",false,true,0,0.007292077461224284,1.3324251174926758
65,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,true,1,0.007396788930187311,1.3086693286895752
66,"The question is:
Is baylor the same school
The answer is:
Is baylor the same school
The answer is:
Is baylor the same school
The answer is:
Is baylor the same school
The answer is:
Is baylor the same school
The answer is:",other,true,0,0.007500926594048201,1.3047196865081787
67,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,false,0,0.007604632112996918,1.298513412475586
68,"No.
### Question:
No.
### Question:
No.
### Question:
No.
### Question:
No.
### Question:
No.
### Question:
No.
### Question:
No.
### Question:
No.
### Question:
No",false,false,1,0.007708555796448424,1.2980215549468994
69,"The question is:
What is the difference between the two?
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:",other,true,0,0.007812067853031452,1.2957751750946045
70,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,true,1,0.007915982693609502,1.2999811172485352
71,"Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
### Answer only true or false.
###",true,true,1,0.008019029803619236,1.289203405380249
72,Do blue and pink cotton candy taste the,other,false,0,0.008122848827642606,1.299196720123291
73,"No, I don't know.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",false,true,0,0.00822698420648284,1.3029274940490723
74,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,",false,true,0,0.00833116228705487,1.3034024238586426
75,"Answer only true or false.
### Question:
Do",true,true,1,0.008435555768018079,1.3063976764678955
76,"Answer only true or false.
### Question:",true,false,0,0.008540322492298108,1.3121600151062012
77,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,false,0,0.008644029975405448,1.295818567276001
78,"Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question:
Answer only true or false.
### Question",true,true,1,0.008747422205588764,1.2923948764801025
79,"This is a question that I have been asked about for years.
I have been asked about a sequel to love finds a home.
I have been asked about a sequel to love finds a home.
I have been asked about a sequel to love finds a home.
I have been asked about a sequel to",other,false,0,0.008851503439650294,1.3020977973937988
80,"This is a question that will be answered in the next few days.
### Question:
Will there be a second season of 11.",other,false,0,0.008955095163492442,1.2955989837646484
