qid,predicted,gold,em,energy_kWh
0,True,false,0,0.000011
1,True,true,1,0.000005
2,True,true,1,0.000008
3,True,true,1,0.000007
4,True,true,1,0.000004
5,False,false,1,0.000007
6,True,true,1,0.000012
7,True,true,1,0.000010
8,True,true,1,0.000005
9,True,true,1,0.000008
10,True,true,1,0.000008
11,True,false,0,0.000009
12,True,true,1,0.000006
13,True,true,1,0.000006
14,True,true,1,0.000013
15,True,true,1,0.000005
16,True,true,1,0.000010
17,True,true,1,0.000010
18,True,true,1,0.000013
19,True,true,1,0.000004
20,True,false,0,0.000008
21,True,true,1,0.000010
22,True,true,1,0.000010
23,True,true,1,0.000004
24,True,true,1,0.000010
25,True,true,1,0.000010
26,True,true,1,0.000008
27,True,false,0,0.000005
28,True,true,1,0.000007
29,True,true,1,0.000011
30,True,true,1,0.000005
31,True,true,1,0.000010
32,False,false,1,0.000010
33,True,true,1,0.000004
34,True,true,1,0.000010
35,True,true,1,0.000009
36,True,false,0,0.000014
37,True,true,1,0.000006
38,True,false,0,0.000007
39,True,false,0,0.000009
40,True,true,1,0.000009
41,False,false,1,0.000009
42,True,true,1,0.000011
43,True,false,0,0.000010
44,True,true,1,0.000008
45,True,true,1,0.000008
46,True,true,1,0.000011
47,True,true,1,0.000004
48,True,true,1,0.000011
49,True,true,1,0.000011
50,True,true,1,0.000005
51,True,true,1,0.000008
52,True,false,0,0.000008
53,True,true,1,0.000014
54,True,false,0,0.000007
55,True,false,0,0.000011
56,True,true,1,0.000010
57,True,true,1,0.000005
58,True,false,0,0.000008
59,True,true,1,0.000007
60,True,false,0,0.000012
61,True,false,0,0.000007
62,True,false,0,0.000011
63,True,true,1,0.000009
64,True,true,1,0.000004
65,True,true,1,0.000006
66,True,true,1,0.000010
67,True,false,0,0.000005
68,True,false,0,0.000008
69,True,true,1,0.000008
70,True,true,1,0.000009
71,True,true,1,0.000004
72,True,false,0,0.000010
73,True,true,1,0.000008
74,True,true,1,0.000006
75,True,true,1,0.000005
76,True,false,0,0.000009
77,False,false,1,0.000009
78,True,true,1,0.000006
79,True,false,0,0.000007
80,True,false,0,0.000011
81,True,true,1,0.000009
82,True,false,0,0.000008
83,True,true,1,0.000008
84,True,false,0,0.000011
85,True,true,1,0.000005
86,True,true,1,0.000008
87,True,true,1,0.000011
88,True,true,1,0.000002
89,True,true,1,0.000006
90,True,true,1,0.000011
91,True,true,1,0.000004
92,True,true,1,0.000009
93,True,true,1,0.000008
94,True,true,1,0.000005
95,True,false,0,0.000005
96,True,true,1,0.000011
97,True,true,1,0.000011
98,True,false,0,0.000008
99,True,false,0,0.000007
100,True,true,1,0.000012
101,True,false,0,0.000006
102,True,true,1,0.000005
103,True,false,0,0.000007
104,False,true,0,0.000014
105,True,true,1,0.000005
106,True,false,0,0.000008
107,True,false,0,0.000007
108,True,false,0,0.000010
109,True,false,0,0.000009
110,True,true,1,0.000010
111,True,true,1,0.000009
112,True,false,0,0.000008
113,True,true,1,0.000007
114,True,true,1,0.000013
115,True,true,1,0.000011
116,True,true,1,0.000006
117,True,true,1,0.000009
118,True,false,0,0.000010
119,True,true,1,0.000004
120,True,true,1,0.000009
121,True,true,1,0.000011
122,True,false,0,0.000011
123,True,false,0,0.000002
124,True,true,1,0.000007
125,True,false,0,0.000007
126,True,false,0,0.000007
127,True,false,0,0.000006
128,True,true,1,0.000008
129,True,false,0,0.000010
130,True,true,1,0.000007
131,True,true,1,0.000008
132,False,false,1,0.000009
133,True,false,0,0.000009
134,True,false,0,0.000010
135,True,true,1,0.000009
136,True,true,1,0.000009
137,True,false,0,0.000007
138,True,true,1,0.000010
139,True,false,0,0.000004
140,True,false,0,0.000009
141,True,false,0,0.000008
142,True,true,1,0.000008
143,True,true,1,0.000005
144,True,false,0,0.000010
145,True,true,1,0.000010
146,True,true,1,0.000007
147,True,true,1,0.000008
148,True,false,0,0.000011
149,True,true,1,0.000010
150,True,false,0,0.000005
151,True,true,1,0.000009
152,True,true,1,0.000009
153,False,false,1,0.000010
154,True,false,0,0.000013
155,True,true,1,0.000006
156,True,false,0,0.000005
157,True,true,1,0.000011
158,True,true,1,0.000012
159,False,true,0,0.000005
160,True,true,1,0.000007
161,True,true,1,0.000013
162,True,true,1,0.000010
163,True,true,1,0.000005
164,True,false,0,0.000008
165,True,false,0,0.000009
166,True,true,1,0.000005
167,True,false,0,0.000006
168,True,false,0,0.000010
169,True,false,0,0.000008
170,True,false,0,0.000008
171,True,false,0,0.000007
172,True,true,1,0.000013
173,True,false,0,0.000005
174,True,true,1,0.000006
175,True,true,1,0.000005
176,True,false,0,0.000008
177,True,true,1,0.000009
178,False,false,1,0.000006
179,True,false,0,0.000009
180,True,true,1,0.000010
181,True,false,0,0.000008
182,True,true,1,0.000012
183,True,true,1,0.000011
184,True,false,0,0.000010
185,True,true,1,0.000008
186,True,true,1,0.000008
187,True,true,1,0.000007
188,True,true,1,0.000010
189,True,true,1,0.000011
190,True,true,1,0.000011
191,True,true,1,0.000008
192,True,true,1,0.000006
193,True,true,1,0.000006
194,True,true,1,0.000009
195,True,true,1,0.000008
196,True,false,0,0.000011
197,True,false,0,0.000012
198,True,false,0,0.000004
199,True,true,1,0.000008
