qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"### Instruction:
Answer using the context.

### Context:
Adam Collis. Ed Wood (film). Tyler Bates. Doctor Strange (2016 film). Hellraiser: Inferno. Sinister (film). Deliver Us from Evil (2014 film). Woodson, Arkansas. Conrad Brooks. The Exorcism: The Secret History of the Church of Jesus Christ of Latter-day Saints.
http://www.youtube.com/watch?v=XqZqZqZqZq
http://www.youtube.com/watch?v=XqZqZqZqZq
http",yes,0,0,1.0887401,0.000296352,8.70E-05,6.9830758,0.00190092,0.000558149
1,"### Instruction:
Answer using the context.

### Context:
A Kiss for Corliss. Lord High Treasurer. Meet Corliss Archer (TV series). Village accountant. Joseph Kalite. Charles Craft. Meet Corliss Archer. Janet Waldo. Kiss and Tell (1945 film). Secretary of State.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Chief of Protocol,0,0.052631579,1.0887401,0.000296352,8.70E-05,16.1157599,0.004387029,0.001288122
2,"### Instruction:
Answer using the context.

### Context:
Animorphs. Science Fantasy (magazine). The Divide trilogy. Kazon. Victoria Hanley. Shadowshaper. Andre Norton Award. Etiquette &amp; Espionage. List of Square Enix companion books. Left Behind: The Kids in the Room.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Animorphs,0,0.060606061,1.0887401,0.000296352,8.70E-05,24.7451137,0.006736119,0.001977863
3,"### Instruction:
Answer using the context.

### Context:
Esma Sultan. Esma Sultan (daughter of Abdul Hamid I). Laleli Mosque. Gevheri Kadın. Esma Sultan (daughter of Ahmed III). Djamaâ el Kebir. Sultan Ahmed Mosque. Esma Sultan (daughter of Abdul Hamid I).
### Context:
Ezraq al-Muhajir. Esma Sultan (daughter of Abdul Hamid I).
### Context:
Ezraq al-Muhajir. Esma Sultan (daughter of Abdul Hamid I).",no,0,0,1.0887401,0.000296352,8.70E-05,33.0463127,0.008995873,0.002641373
4,"### Instruction:
Answer using the context.

### Context:
Great Eastern Conventions. Big Stone Gap (film). I Love NY (2015 film). Just Another Romantic Wrestling Comedy. Hamish and Andy's Gap Year. Sex and the City (film). Nola (film). Kingston Morning. Clinton, NY (2015 film).
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","Greenwich Village, New York City",0,0.045454545,1.0887401,0.000296352,8.70E-05,41.4094295,0.011272484,0.003309833
5,"### Instruction:
Answer using the context.

### Context:
SF9 (band). Baro (singer). List of awards and nominations received by Shinee. History (band). Seventeen discography. Warrior (B.A.P song). Cho Kyuhyun. BTS discography.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",YG Entertainment,0,0,1.0887401,0.000296352,8.70E-05,49.3374504,0.013430652,0.003943516
6,"### Instruction:
Answer using the context.

### Context:
Lil Ru. James P. Comer. Tragedy Khadafi. Amaruk Kayshapanta. Method Man. Eenasul Fateh. Criss Angel. Indriati Iskak. ELDee.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Eenasul Fateh,0,0.16,1.0887401,0.000296352,8.70E-05,56.9535221,0.01550387,0.004552255
7,"### Instruction:
Answer using the context.

### Context:
Dwyer Arena. Lewiston Maineiacs. Loan modification in the United States. 2007 Memorial Cup. Cedar Rapids Ice Arena. 2011–12 QMJHL season. Robins Center. 2006–07 QMJHL season. Case Gymnasium. 2006–07 QMJHL season.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","3,677 seated",0,0,1.0887401,0.000296352,8.70E-05,65.1639918,0.017738823,0.005208484
8,"### Instruction:
Answer using the context.

### Context:
Gumbo (PJ Morton album). Lady Gaga x Terry Richardson. Piano Girl. Snoecks. James Joseph Richardson. Kenton Richardson. Amanda Lepore. Index Magazine. Madonna (book). Annie MortonGumbo is the fourth and first female artist to have been nominated for the Grammy for Best Female Artist.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Terry Richardson,0,0.083333333,1.0887401,0.000296352,8.70E-05,72.7181333,0.01979532,0.005812314
9,"### Instruction:
Answer using the context.

### Context:
E.R. Hays House. Cresco Opera House. Ophur. Mendocino County GMO Ban. Wilford H. Fawcett House. Suffrajett. Hallelujah! I'm a Bumgarner.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",yes,0,0,1.0887401,0.000296352,8.70E-05,80.7041335,0.021969277,0.006450632
