qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,True,1,1.0,52.257460699998774,0.014225189124444355,0.004176808425935646,0.04075300000113202,1.1068169444640967e-05,3.2498424443875794e-06
1,True,True,1,1.0,53.80668329999935,0.014646940118333947,0.004300643201664407,0.031047500000568107,8.4303277775891e-06,2.475317817344582e-06
2,False,False,1,1.0,38.18914559999939,0.010395556388889124,0.003052349402004682,0.031309599999076454,8.499153333276707e-06,2.4955264176240474e-06
3,False,True,0,0.0,34.16502979999859,0.009300196587777745,0.00273072921075876,0.00984499999867694,2.650298888602265e-06,7.781823237864482e-07
4,True,True,1,1.0,25.269306000000142,0.006878735755555922,0.00201973845213907,0.0795815000001312,2.1639921110919303e-05,6.353926407723661e-06
5,True,True,1,1.0,84.87318739999864,0.02310387841333299,0.0067837744148355065,0.02271899999868765,6.161979444267571e-06,1.8092840410137156e-06
6,True,False,0,0.0,58.06197279999833,0.01580545712722244,0.004640807649531052,0.016705100000763196,4.527538888952323e-06,1.3293786405715742e-06
7,False,False,1,1.0,70.1434074000008,0.019094260932777673,0.0056064681638568255,0.018749599999864586,5.082173888947889e-06,1.4922308965967315e-06
8,True,True,1,1.0,54.62756369999988,0.014870482239444692,0.0043662797711917995,0.04054750000068452,1.1015881666783874e-05,3.2344896761947354e-06
9,True,True,1,1.0,34.54687650000051,0.009404130430000249,0.0027612463268503027,0.018952200000057928,5.130306111186654e-06,1.5063635080964564e-06
10,False,True,0,0.0,56.79894549999881,0.015461634643332218,0.0045398542888990265,0.02943740000046091,7.990834444788359e-06,2.346273525593812e-06
11,True,True,1,1.0,35.54833719999988,0.009676844455000291,0.002841320779817233,0.08871599999838509,2.4127815555564462e-05,7.084423442829919e-06
12,False,False,1,1.0,34.30347500000062,0.00933791261888866,0.0027418034140722484,0.01735700000062934,4.6998211111915424e-06,1.379964248340483e-06
13,False,True,0,0.0,53.159881499999756,0.014470978670000254,0.0042489772973582874,0.03283170000031532,8.916879999681744e-06,2.6181795679417743e-06
14,True,True,1,1.0,35.31568590000097,0.009613479601110945,0.00282271555402249,0.059038600000349106,1.60462483337647e-05,4.711508905702661e-06
15,True,True,1,1.0,51.824368499999764,0.014107410566666617,0.004142226216292102,0.02833900000041467,7.689307222618582e-06,2.257738924669349e-06
16,True,True,1,1.0,43.368406100002176,0.01180565279000075,0.003466382739489369,0.055158400000436814,1.499841555539913e-05,4.4038436269241745e-06
17,False,False,1,1.0,28.815923299998758,0.007844205408888269,0.0023032202215374246,0.017939899998964393,4.863284444218152e-06,1.4279604486541807e-06
18,False,False,1,1.0,36.43315189999885,0.009917659356110026,0.0029120289932017267,0.03638100000171107,9.881524444841083e-06,2.901419039229361e-06
19,False,False,1,1.0,64.9124613999993,0.0176702412455551,0.005188346662887198,0.06292169999869657,1.710849722196346e-05,5.023407051158261e-06
20,True,True,1,1.0,38.625376199999664,0.01051440631555582,0.0030872461876136873,0.016040299999076524,4.350139999840192e-06,1.2772906740557607e-06
21,True,True,1,1.0,65.9366159000001,0.01794896995888846,0.005270187152192218,0.031251599999450264,8.488093888677717e-06,2.492279136973989e-06
22,True,True,1,1.0,37.46279249999861,0.010197971198888626,0.002994334321908767,0.02579850000074657,7.002134999998412e-06,2.055971011118255e-06
23,True,True,1,1.0,29.969415900000968,0.008158219912778085,0.0023954213454900892,0.03323210000053223,9.025538333359387e-06,2.650083892002607e-06
24,False,False,1,1.0,44.92842860000019,0.012230248461111731,0.003591052771022705,0.03833239999949001,1.0410965555668857e-05,3.0568738506485063e-06
25,False,False,1,1.0,24.730272099999638,0.006731965229444359,0.0019766436036432874,0.02266109999982291,6.14911777786094e-06,1.4617797426912702e-08
26,True,True,1,1.0,34.8853151000003,0.009496344946666523,0.0027883224076556833,0.02121640000041225,5.750561666708462e-06,1.6884833103622188e-06
27,False,False,1,1.0,33.05213069999991,0.008997303449443744,0.002641793548724041,0.036213400000633555,9.824723888990168e-06,2.335551680302456e-08
28,False,False,1,1.0,47.09152660000109,0.012819075197777712,0.003763944424947814,0.04659890000039013,1.2664832777813395e-05,3.7186556745693315e-06
29,True,True,1,1.0,124.15843169999971,0.03379787895166711,0.009923753164131677,0.0327250999998796,8.887802221741166e-06,2.6096417336221597e-06
30,True,True,1,1.0,40.37839349999922,0.01099168828499964,0.0032273860011571482,0.019723100000192062,5.349222222007988e-06,1.5706417857525592e-06
31,False,False,1,1.0,32.35216960000071,0.00880676746499997,0.0025858482605238893,0.03809469999941939,1.0350717777469576e-05,3.0391838624574712e-06
32,True,False,0,0.0,65.79531010000028,0.017910487572778112,0.005258887931271519,0.04400280000118073,1.1949474444726447e-05,3.5086117386285113e-06
33,True,True,1,1.0,41.965562799998224,0.0114237579755556,0.003354250558690828,0.03857869999956165,1.0475939444010387e-05,3.0759515220886958e-06
34,True,True,1,1.0,48.00281929999983,0.013067120326667202,0.0038367755820800315,0.018093399999997928,4.903243332986069e-06,1.4396932011565753e-06
35,False,False,1,1.0,39.80441410000094,0.010835379149444229,0.003181490420527105,0.14502440000069328,3.9456608889122434e-05,1.158527278795467e-05
36,True,True,1,1.0,65.5457675000016,0.017842545098333277,0.005238938621827721,0.013704500001040287,3.7131927777712305e-06,1.0902698548075765e-06
37,True,True,1,1.0,48.65681680000125,0.013245145395000105,0.0038890474077081976,0.029052000001684064,7.886971666852737e-06,2.315777275440123e-06
38,True,True,1,1.0,33.668430899999294,0.009165091153888664,0.002691059473525678,0.048603400000502006,1.3212413888828044e-05,3.87943676354895e-06
39,False,True,0,0.0,49.73058709999896,0.013537468588333284,0.003974879516253758,0.011567100000320352,3.129443888994703e-06,9.188691615765395e-07
40,False,False,1,1.0,30.414169499999844,0.008279202425555993,0.002430944302291647,0.021370300000853604,5.794836666973424e-06,1.701483362069596e-06
41,True,False,0,0.0,240.50107819999903,0.06546822748277782,0.019222819590584465,0.009596800000508665,2.5934988889275697e-06,7.615046743605622e-07
42,True,True,1,1.0,20.871024099997157,0.005681415939442518,0.0016681807011149675,0.0582907999996678,1.5846937221916354e-05,4.652987059415202e-06
