qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,True,1,1.0,7.091729099978693,0.0019304830194518824,0.0005668295634759982,0.04169959999853745,1.1332538332660785e-05,3.3274665933093637e-06
1,False,True,0,0.0,5.854654499969911,0.001593727684427803,0.00046795126326483683,0.03052989998832345,8.290915551737675e-06,2.4343835173137962e-06
2,True,False,0,0.0,4.6060966000077315,0.0012538381650022024,0.00036815270198001324,0.02118239999981597,5.746738332931676e-06,1.687360700842279e-06
3,False,True,0,0.0,9.17060950002633,0.0024964025083421605,0.0007329951777901373,0.006361699954140931,1.7118233194600584e-06,5.026265733189809e-07
4,False,True,0,0.0,4.5363325999933295,0.0012348492533350104,0.00036257716652969124,0.05687979998765513,1.54644777746095e-05,4.540689090782581e-06
5,False,True,0,0.0,7.725858900055755,0.0021031073511293573,0.0006175156216200687,0.01665889995638281,4.515386098905259e-06,1.3258103311857973e-06
6,False,False,1,1.0,9.010135699994862,0.00245271793220923,0.0007201684867648552,0.014550599968060851,3.9410555463594695e-06,1.1571750553972072e-06
7,False,False,1,1.0,12.07666669995524,0.003287493717777801,0.0009652758455793939,0.016467600013129413,4.463793338638627e-06,1.31066163446804e-06
8,True,True,1,1.0,8.603528300009202,0.0023420288305723157,0.000687667887417332,0.038652800023555756,1.0502589449040695e-05,3.083776512293609e-06
9,False,True,0,0.0,6.866941399988718,0.0018692913177727152,0.000548862419915728,0.01511700003175065,4.095395562277797e-06,1.2024924619573037e-06
10,True,True,1,1.0,6.765955800015945,0.0018418003850186424,0.0005407905160162762,0.02645260002464056,7.18093333837007e-06,2.1084698847515573e-06
11,False,True,0,0.0,7.36752400000114,0.0020055606916653534,0.0005888739138995719,0.06214250001357868,1.689725055960783e-05,4.961380681486902e-06
12,True,False,0,0.0,6.208090299973264,0.001689937536101853,0.0004962004566931097,0.01370479998877272,3.7115927756531165e-06,1.0898000612413898e-06
13,True,True,1,1.0,7.543362000025809,0.002053428625547935,0.00060292892489618,0.030840500025078654,8.376482229990263e-06,2.459507655880825e-06
14,True,True,1,1.0,9.9926381999976,0.002720175469997856,0.0007986995268545714,0.041350699961185455,1.1234780549097599e-05,3.2987628952062663e-06
15,True,True,1,1.0,7.570721999974921,0.002060877018330697,0.0006051159263808393,0.021744999976363033,5.900049452126646e-06,1.7323760021392443e-06
16,False,True,0,0.0,6.470053600030951,0.0017612491372271002,0.0005171390111011535,0.04129369999282062,1.1222000000351626e-05,3.2950102629408346e-06
17,False,False,1,1.0,6.156557599955704,0.0016759109983133385,0.0004920819763896668,0.013896799995563924,3.7634399981470782e-06,1.1050234733085105e-06
18,False,False,1,1.0,5.001245099992957,0.0013614077416698113,0.0003997373445650129,0.03209760005120188,8.717973903468292e-06,2.559776642584059e-06
19,True,False,0,0.0,7.281916000007186,0.0019822551349954055,0.0005820309225960055,0.057088400004431605,1.5521387780447387e-05,4.557399040283025e-06
20,True,True,1,1.0,5.6579188000177965,0.001540169679439148,0.00045222553023197947,0.014981599990278482,4.05927333372852e-06,1.191886231892571e-06
21,False,True,0,0.0,9.224098100035917,0.002510962415564831,0.0007372702663416132,0.027487899991683662,7.463575555205655e-06,2.191459459264516e-06
22,True,True,1,1.0,4.130972200073302,0.0011245017166783022,0.000330176857693236,0.01712289999704808,4.6422744454402055e-06,1.3630673623805167e-06
