qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,True,1,1.0,8.905178599990904,0.002424134054446929,0.000711775671707069,0.0,0.0,0.0
1,False,True,0,0.0,4.964772799983621,0.0013514744138972473,0.000396820715002125,0.0,0.0,0.0
2,True,False,0,0.0,5.252945499960333,0.0014299250533338637,0.0004198554380523676,0.0,0.0,0.0
3,False,True,0,0.0,6.474120899976697,0.0017623554266662622,0.0005174638404591742,0.0,0.0,0.0
4,False,True,0,0.0,6.568722900003195,0.0017881095494331222,0.0005250257811851753,0.0,0.0,0.0
5,True,True,1,1.0,8.779218500014395,0.0023898507455557896,0.0007017093863176255,0.0,0.0,0.0
6,False,False,1,1.0,8.783835700014606,0.0023911140750120263,0.0007020803258581391,0.0,0.0,0.0
7,False,False,1,1.0,18.73167160002049,0.005099087230557861,0.0014971970019419228,0.0,0.0,0.0
8,False,True,0,0.0,5.594066400022712,0.0015227880377771926,0.0004471219223491504,0.0,0.0,0.0
9,False,True,0,0.0,9.086391300021205,0.0024734758483546705,0.0007262634383540861,0.0,0.0,0.0
10,True,True,1,1.0,6.300161700055469,0.0017149968889011587,0.0005035583986512079,0.0,0.0,0.0
11,False,True,0,0.0,3.310495199984871,0.000901150581658779,0.0002645963656146623,0.0,0.0,0.0
12,False,False,1,1.0,9.282579599996097,0.0025268840788954137,0.0007419451945251559,0.0,0.0,0.0
13,True,True,1,1.0,5.456677900045179,0.0014853854427718841,0.0004361397503299694,0.0,0.0,0.0
14,False,True,0,0.0,3.8176863999688067,0.001039219409448237,0.000305136216313666,0.0,0.0,0.0
15,False,True,0,0.0,8.963044199917931,0.0024398989605400453,0.0007164045727380339,0.0,0.0,0.0
16,False,True,0,0.0,10.865025200007949,0.0029576563755545067,0.0008684288104971599,0.0,0.0,0.0
17,True,False,0,0.0,7.157366200000979,0.0019483478188854256,0.000572075036428864,0.0,0.0,0.0
18,True,False,0,0.0,4.904987000045367,0.0013352044961237371,0.0003920435321435223,0.0,0.0,0.0
19,True,False,0,0.0,7.321455600031186,0.0019930203211115435,0.0005851918028966678,0.0,0.0,0.0
20,False,True,0,0.0,6.381802399933804,0.0017372277233212825,0.000510085829373517,0.0,0.0,0.0
21,False,True,0,0.0,8.283338799956255,0.0022548707144380187,0.0006620764699202638,0.0,0.0,0.0
22,False,True,0,0.0,10.269767899997532,0.002795616887779518,0.0008208506804665475,0.0,0.0,0.0
23,True,True,1,1.0,6.348365799989551,0.001728125632783566,0.0005074132681780925,0.0,0.0,0.0
24,False,False,1,1.0,5.3501300000352785,0.001456384046097648,0.00042762434312285547,0.0,0.0,0.0
25,False,False,1,1.0,5.572392900008708,0.001516888521676689,0.00044538970295002943,0.0,0.0,0.0
26,False,True,0,0.0,5.212335900054313,0.0014188726811175,0.00041661023399946974,0.0,0.0,0.0
27,False,False,1,1.0,5.8956647999584675,0.0016048908422028438,0.0004712289962388552,0.0,0.0,0.0
28,True,False,0,0.0,7.89992809999967,0.0021504958911016323,0.0006314298726938111,0.0,0.0,0.0
29,True,True,1,1.0,6.125501000031363,0.001667456626112754,0.0004895995986346521,0.0,0.0,0.0
30,False,True,0,0.0,8.774768800009042,0.002388645637788512,0.0007013555418637843,0.0,0.0,0.0
31,False,False,1,1.0,5.754344300017692,0.0015664190072346375,0.0004599328733507396,0.0,0.0,0.0
32,False,False,1,1.0,5.136275600059889,0.0013981599672199488,0.00041052855472094096,0.0,0.0,0.0
33,False,True,0,0.0,7.602082299999893,0.002069404215551266,0.0006076196870612007,0.0,0.0,0.0
34,True,True,1,1.0,4.394977400021162,0.0011963668688856868,0.0003512779460967039,0.0,0.0,0.0
35,True,False,0,0.0,5.508760900003836,0.0014995658783432898,0.00044030341819124977,0.0,0.0,0.0
36,False,True,0,0.0,7.2337996999849565,0.0019691586588878028,0.0005781855275522024,0.0,0.0,0.0
37,False,True,0,0.0,8.671692799951416,0.0023605866594369417,0.0006931168480807544,0.0,0.0,0.0
38,True,True,1,1.0,6.496060400037095,0.0017683312677943225,0.0005192184704579309,0.0,0.0,0.0
39,False,True,0,0.0,5.126822400023229,0.0013955945116813785,0.00040977528415166257,0.0,0.0,0.0
40,True,False,0,0.0,5.708032900001854,0.0015538148499950894,0.0004562320332635244,0.0,0.0,0.0
41,False,False,1,1.0,6.5085075999377295,0.0017717194116561182,0.000520213299258197,0.0,0.0,0.0
42,False,True,0,0.0,6.487569399992935,0.0017660198111154992,0.0005185397791837527,0.0,0.0,0.0
43,False,True,0,0.0,7.143623100069817,0.0019446114466739044,0.0005709779606150391,0.0,0.0,0.0
44,False,True,0,0.0,5.886022399994545,0.0016022651516657785,0.00047045803943377015,0.0,0.0,0.0
45,False,True,0,0.0,11.70828080008505,0.0031872110400132233,0.0009358307865507788,0.0,0.0,0.0
46,True,False,0,0.0,6.868587400065735,0.001869743812772342,0.0005489952817645654,0.0,0.0,0.0
47,True,True,1,1.0,8.371016300050542,0.0022787356950009574,0.0006690837195974428,0.0,0.0,0.0
48,False,False,1,1.0,5.6119595999480225,0.0015276590333394575,0.00044855214694083625,0.0,0.0,0.0
49,False,True,0,0.0,8.488818800018635,0.002310804142786461,0.0006784996761619149,0.0,0.0,0.0
50,True,False,0,0.0,5.730172599956859,0.0015598415572351464,0.00045800159860010474,0.0,0.0,0.0
51,False,False,1,1.0,5.4108331999741495,0.001472909176666225,0.00043247646171296343,0.0,0.0,0.0
52,False,False,1,1.0,7.444709999952465,0.0020265726766526414,0.0005950434653320885,0.0,0.0,0.0
