qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,True,1,1.0,110.84672178800065,0.0011623540661697036,0.0003412910868900531,0.0,0.0,0.0
1,True,True,1,1.0,44.16253019600117,0.0005961887642431102,0.0001750532968071207,0.0,0.0,0.0
2,True,False,0,0.0,37.34060911199958,0.0005010428965161761,0.00014711651097332675,0.0,0.0,0.0
3,True,True,1,1.0,54.74875425800019,0.0007477331291165339,0.00021954984265751593,0.0,0.0,0.0
4,True,True,1,1.0,48.0632415129985,0.0006538767906522034,0.0001919916891668434,0.0,0.0,0.0
5,True,True,1,1.0,63.169919887001015,0.0008651671510365415,0.00025403088947918045,0.0,0.0,0.0
6,False,False,1,1.0,54.21732130300188,0.000736354510880199,0.00021620884605569503,0.0,0.0,0.0
7,True,False,0,0.0,61.171629386999484,0.0008347603972801987,0.0002451028404962251,0.0,0.0,0.0
8,False,True,0,0.0,45.67224686699956,0.0006230346915857949,0.00018293581383702073,0.0,0.0,0.0
9,True,True,1,1.0,61.72485985499952,0.000848534919011159,0.0002491473236961176,0.0,0.0,0.0
10,True,True,1,1.0,74.82208163799987,0.0010309014169430021,0.0003026938824452866,0.0,0.0,0.0
11,False,True,0,0.0,45.077530386000944,0.0006082596253493525,0.00017859755016894172,0.0,0.0,0.0
12,True,False,0,0.0,77.10476250599822,0.001169622390244425,0.0003434252164943872,0.0,0.0,0.0
13,False,True,0,0.0,64.33703434800009,0.0008807265445897926,0.00025859944779690387,0.0,0.0,0.0
14,False,True,0,0.0,43.64481548100048,0.0005931150786751285,0.00017415079943666666,0.0,0.0,0.0
15,True,True,1,1.0,53.01125913299984,0.0007220824096507354,0.00021201826326979771,0.0,0.0,0.0
16,True,True,1,1.0,45.56238524800028,0.0006212973338226443,0.0001824256898252758,0.0,0.0,0.0
17,False,False,1,1.0,54.30764483799976,0.0007388436295415224,0.00021693970254602483,0.0,0.0,0.0
18,False,False,1,1.0,90.66915614699974,0.0012529000888703383,0.00036787726351255505,0.0,0.0,0.0
19,True,False,0,0.0,48.920418393001455,0.0006655875314917583,0.0001954302038034291,0.0,0.0,0.0
20,False,True,0,0.0,82.76932542099894,0.0011400960806722776,0.00033475568405240316,0.0,0.0,0.0
21,True,True,1,1.0,64.56084482699953,0.0008848235496569358,0.0002587281728816247,0.0,0.0,0.0
22,True,True,1,1.0,54.39786333399934,0.0007423457021264587,0.00021689363158664657,0.0,0.0,0.0
23,True,True,1,1.0,296.18277930800105,0.004126012818416136,1.0882619873761572e-05,0.0,0.0,0.0
24,False,False,1,1.0,42.4561662039996,0.0005757145891117477,0.0001690416574218976,0.0,0.0,0.0
25,False,False,1,1.0,67.71677732499666,0.0009289135663762887,0.00027274814957217416,0.0,0.0,0.0
26,False,True,0,0.0,61.721754258000146,0.0008480575511252801,0.00024900715865573984,0.0,0.0,0.0
27,False,False,1,1.0,206.45059712199873,0.0028725413032809183,0.0008434372727442072,0.0,0.0,0.0
28,True,False,0,0.0,48.78754129899971,0.0006640494611216282,0.00019497859467363537,0.0,0.0,0.0
29,False,True,0,0.0,70.78203789899999,0.0009732114936085573,0.00028575493310922264,0.0,0.0,0.0
30,True,True,1,1.0,45.805924872000105,0.000624906240020951,0.00018348533899307466,0.0,0.0,0.0
31,False,False,1,1.0,45.146054986998934,0.0006097996970012503,0.00017904974691626918,0.0,0.0,0.0
32,False,False,1,1.0,62.305528830000185,0.0010119646885823786,0.0002971336690882359,0.0,0.0,0.0
33,True,True,1,1.0,66.05205879300229,0.0009023296424930223,0.0002649425621526539,0.0,0.0,0.0
34,True,True,1,1.0,41.6388614009993,0.0005648050695675259,0.00016583839785490082,0.0,0.0,0.0
35,True,False,0,0.0,46.63138823999907,0.0006368481554943206,0.00018699173126207237,0.0,0.0,0.0
36,True,True,1,1.0,46.28355097500025,0.0006281676993711709,0.00018444297061228712,0.0,0.0,0.0
37,False,True,0,0.0,58.08248871400065,0.0007906297709919355,0.0002321451799610908,0.0,0.0,0.0
38,True,True,1,1.0,52.35435004300052,0.0007119231973881303,0.0002090353093696347,0.0,0.0,0.0
39,True,True,1,1.0,53.724574340998515,0.0007330189956719472,0.00021522947011174204,0.0,0.0,0.0
40,False,False,1,1.0,78.72014861400021,0.0010834829171490206,0.00031813289356756667,0.0,0.0,0.0
41,False,False,1,1.0,95.25138485900061,0.0013123388872858532,0.0003853297185820486,0.0,0.0,0.0
42,False,True,0,0.0,51.450323336999645,0.0007001206548503142,0.00020556983986422736,0.0,0.0,0.0
43,True,True,1,1.0,48.78800121399945,0.000663999328637415,0.00019496387474403422,0.0,0.0,0.0
44,True,True,1,1.0,45.4426766029992,0.0006184751155714487,0.0001815970284367838,0.0,0.0,0.0
45,True,True,1,1.0,69.89613425300013,0.0009593311346732861,0.0002816793739269389,0.0,0.0,0.0
46,True,False,0,0.0,54.09706211400044,0.0007334936463868677,0.0002153688373347795,0.0,0.0,0.0
47,True,True,1,1.0,56.463102785000956,0.0007718788676796459,0.00022663952866439953,0.0,0.0,0.0
48,False,False,1,1.0,62.04533250999884,0.0009591428911196221,0.0002816241017436172,0.0,0.0,0.0
49,False,True,0,0.0,43.84840688599979,0.0005964291620269442,0.0001751238825462845,0.0,0.0,0.0
50,True,False,0,0.0,51.77533174199925,0.0007052183206852639,0.00020706661951515193,0.0,0.0,0.0
51,False,False,1,1.0,44.138148690999515,0.0005955398407041426,0.00017486275949463672,0.0,0.0,0.0
52,False,False,1,1.0,48.696021193998604,0.0006627634469482085,0.00019460099443307466,0.0,0.0,0.0
53,True,True,1,1.0,53.64537431499957,0.0007323469105200464,0.00021503213207279946,0.0,0.0,0.0
54,True,True,1,1.0,50.755329163999704,0.0006908814639253113,0.000202857023172176,0.0,0.0,0.0
55,False,False,1,1.0,35.16075230000206,0.00046947679697142763,0.0001378480541957738,0.0,0.0,0.0
56,False,False,1,1.0,46.00986884500162,0.0006277625088006889,0.0001843239983178527,0.0,0.0,0.0
57,True,True,1,1.0,60.250798176999524,0.0008231231528555738,0.00024168590592036626,0.0,0.0,0.0
58,False,True,0,0.0,67.52503072000036,0.0009259622645239284,0.0002718815865805275,0.0,0.0,0.0
59,False,False,1,1.0,52.11892331100171,0.0007060778230492359,0.00020731898710651012,0.0,0.0,0.0
60,True,True,1,1.0,36.54708194900377,0.0004925454650757871,0.00014462149013890857,0.0,0.0,0.0
61,False,True,0,0.0,67.3386707719983,0.0009214007871302531,0.0002705422428961698,0.0,0.0,0.0
