qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,True,1,1.0,1.400350800016895,0.0003811644233304024,0.00011191772292837708,0.035861700016539544,9.742139447997841e-06,2.8604927341960276e-06
1,False,True,0,0.0,0.6893701000371948,0.0001876127116744303,5.508695512440185e-05,0.027195799979381263,7.383326105385398e-06,2.167896568447833e-06
2,False,False,1,1.0,1.5880066999816336,0.0004322367877870824,0.00012691362072129656,0.03279839997412637,8.902557219132884e-06,2.6139741046642068e-06
3,True,True,1,1.0,1.5190656000049785,0.0004134644511110511,0.00012140167614769423,0.007713500002864748,2.0733694342197845e-06,6.087839569067865e-07
4,True,True,1,1.0,1.5165379000245593,0.000412786181120383,0.00012120252211274267,0.05583090003347024,1.5177241117796963e-05,4.456350494092109e-06
5,True,True,1,1.0,1.5459858999820426,0.00042080874388985743,0.00012355811172775578,0.01522479997947812,4.12397499280309e-06,1.2108839712147352e-06
6,False,False,1,1.0,1.43363970000064,0.00039022551666874073,0.00011457824650192495,0.013668800005689263,3.7016872245456195e-06,1.0868915874792917e-06
7,True,False,0,0.0,1.4634067000006326,0.0003983289233421803,0.00011695757355173158,0.015480100002605468,4.194348891097534e-06,1.231547196764199e-06
8,False,True,0,0.0,1.507463599962648,0.0004103184933201798,0.00012047795816450273,0.05616300000110641,1.5263039448958202e-05,4.48154265072289e-06
9,True,True,1,1.0,1.0911048999987543,0.0002969842300045356,8.720068488378756e-05,0.021282800007611513,5.767692784300177e-06,1.6935133592196933e-06
10,True,True,1,1.0,1.3898888999829069,0.00037830876110496724,0.0001110792417004314,0.025180399999953806,6.834438874890717e-06,2.006731975895661e-06
11,False,True,0,0.0,1.4468149000313133,0.0003938090655655186,0.00011563045024388391,0.0586094000027515,1.5935078890308635e-05,4.678867268106718e-06
12,True,False,0,0.0,1.4043762999936007,0.00038225882221207334,0.0001122390609738898,0.01325580000411719,3.5880438896128907e-06,1.0535235644079646e-06
13,False,True,0,0.0,1.4069534000009298,0.0003829609744380125,0.0001124452273248561,0.02896109997527674,7.863269436186074e-06,2.308817812483538e-06
14,True,True,1,1.0,1.4500412999768741,0.0003946905077794023,0.00011588925982692125,0.03893500001868233,1.0576882781525556e-05,3.105590564423178e-06
15,True,True,1,1.0,0.3448322999756783,9.382783888949131e-05,2.7549785428688813e-05,0.019468899990897626,5.279383330424833e-06,1.5501356491894065e-06
16,True,True,1,1.0,1.6436803999822587,0.00044739944277939173,0.00013136568842861477,0.062316800002008677,1.6938692782746835e-05,4.973548971502748e-06
17,True,False,0,0.0,0.4220185999874957,0.00011483991445145674,3.371936345579583e-05,0.01567679998697713,4.243653881066065e-06,1.2460241570168645e-06
18,True,False,0,0.0,1.4045044999802485,0.0003822938550198968,0.00011224934732759808,0.02771029999712482,7.52289166525265e-06,2.2088758905028383e-06
19,False,False,1,1.0,1.3965043999487534,0.00038011549054871367,0.00011160973466597367,0.04825760005041957,1.3115628344045642e-05,3.851018534770449e-06
20,True,True,1,1.0,1.6288396999589168,0.0004433579211045678,0.00013017901444928616,0.017087900021579117,4.628692223599905e-06,1.3590793423880085e-06
21,False,True,0,0.0,1.7485038000158966,0.00047593174945504866,0.00013974336115350506,0.027142299979459494,7.363178330706432e-06,2.161980766956073e-06
22,False,True,0,0.0,1.4377472000196576,0.00039133168888802174,0.00011490304144177495,0.015136600006371737,4.10704889056635e-06,1.2059141190867813e-06
23,False,True,0,0.0,0.4590388999786228,0.00012491623665652392,3.6677979128345704e-05,0.02174109994666651,5.897943333709716e-06,1.7317576024067067e-06
24,False,False,1,1.0,1.654504299920518,0.0004503496577639857,0.00013223193229350643,0.017724200035445392,4.8054066777694966e-06,1.4109663447120638e-06
25,True,False,0,0.0,1.604806000017561,0.00043681477666767835,0.00012825781251818837,0.02270730002783239,6.157371112365379e-06,1.807930939880915e-06
26,True,True,1,1.0,1.5531798999290913,0.0004227629805552877,0.0001241319158507825,0.015162999974563718,4.112421662042228e-06,1.2074916754183532e-06
27,True,False,0,0.0,1.3952746000140905,0.0003797830499954418,0.00011151212327452702,0.026474300015252084,7.186500558681372e-06,2.1101045352649434e-06
28,False,False,1,1.0,1.3823725000256673,0.0003762692938927406,0.00011048041213395415,0.03726189996814355,1.0123903879300794e-05,2.972586631819409e-06
29,False,True,0,0.0,1.6024604000267573,0.0004361826105670641,0.00012807219553464337,0.024710699974093586,6.706938882254892e-06,1.969295352811829e-06
30,False,True,0,0.0,1.5765084000304341,0.000429120902224612,0.00012599873256355574,0.02093779999995604,5.678465003600447e-06,1.667314245591478e-06
31,False,False,1,1.0,1.6715195999713615,0.0004549741266528144,0.00013358977157784647,0.03084239998133853,8.381865548370923e-06,2.4610883090008037e-06
32,True,False,0,0.0,1.3543253999669105,0.00036863446886774103,0.00010823867030430322,0.03434549999656156,9.328042770438413e-06,2.738905423345443e-06
33,True,True,1,1.0,1.5131349000148475,0.0004118661672245556,0.00012093238708968934,0.031048100034240633,8.43192222980886e-06,2.475785981346338e-06
34,False,True,0,0.0,1.5361567999934778,0.00041813454000512137,0.0001227729104048966,0.015768299985211343,4.26889332334718e-06,1.2534349769548943e-06
35,False,False,1,1.0,1.520908399950713,0.0004139836160977009,0.0001215541136774676,0.21585520001826808,5.8732974445835376e-05,1.724521061896324e-05
36,False,True,0,0.0,0.9128867000108585,0.00024846154112019575,7.295342433714926e-05,0.011804200010374188,3.197931670001708e-06,9.38978584254944e-07
37,False,True,0,0.0,1.4606069999863394,0.00039756728166701375,0.0001167339398735745,0.025629699986893684,6.957340553183004e-06,2.0428184392081764e-06
38,False,True,0,0.0,1.389496700023301,0.00037820957445429583,0.00011105011845752472,0.04122709995135665,1.120247222360275e-05,3.2892765056072093e-06
39,True,True,1,1.0,1.4422676999820396,0.0003925745222235694,0.00011526796289923584,0.009625000006053597,2.6014422263769016e-06,7.63837001790319e-07
40,True,False,0,0.0,1.385826200072188,0.00037721077501094746,0.00011075685037551177,0.01804450002964586,4.891387784543136e-06,1.4362121680260253e-06
41,True,False,0,0.0,1.634106100013014,0.000444790525567886,0.00013059965661727944,0.004909300012513995,1.317365544511833e-06,3.8680564864330066e-07
42,True,True,1,1.0,1.5642222000169568,0.00042575953554963535,0.00012501176609668635,0.06612099998164922,1.7974927208140597e-05,5.277808735036704e-06
43,False,True,0,0.0,1.5817104999441653,0.00043052703888905755,0.00012641160324082363,0.0343037000275217,9.31824556319043e-06,2.7360287615713154e-06
44,False,True,0,0.0,1.4221557999844663,0.0003870998677794382,0.00011366049163039771,0.018815899966284633,5.108432214021579e-06,1.4999408815016269e-06
45,True,True,1,1.0,1.3775713999639265,0.0003749634805381195,0.00011009699844612428,0.013742299983277917,3.7217749965040837e-06,1.0927897709368465e-06
46,True,False,0,0.0,1.6908986000344157,0.00046025735999962006,0.00013514103767111774,0.029044099966995418,7.88681332552288e-06,2.315730783165403e-06
47,True,True,1,1.0,1.6515761999762617,0.00044954839999457666,0.00013199666651437784,0.02154849999351427,5.843856121322865e-06,1.7158764831852712e-06
48,True,False,0,0.0,1.6686330999364145,0.0004541920199980571,0.00013336012896030422,0.02907660003984347,7.895376122905873e-06,2.3182449967864653e-06
49,True,True,1,1.0,1.1785794999450445,0.0003207937744362021,9.419165737138593e-05,0.013483199989423156,3.650478330867675e-06,1.0718556018958496e-06
50,True,False,0,0.0,1.4051642999984324,0.00038247569556179876,0.00011230273945482735,0.025743199978023767,6.988301105189344e-06,2.0519090947601286e-06
51,True,False,0,0.0,1.5708596999756992,0.000427581801097646,0.00012554682078233157,0.0336630999809131,9.14431888441969e-06,2.6849603075051203e-06
52,True,False,0,0.0,1.4848800000618212,0.0004041723161204977,0.00011867331398787012,0.027832299994770437,7.558930001363882e-06,2.2194574880204017e-06
53,True,True,1,1.0,1.6017055000411347,0.0004359843961053735,0.00012801399568742244,0.0241146000334993,6.539455000569836e-06,1.920118636628249e-06
54,False,True,0,0.0,1.5275579000008292,0.00041578335556195165,0.0001220825542411051,0.01961200003279373,5.309793904436648e-06,1.5590648198780284e-06
55,True,False,0,0.0,1.4693114999681711,0.0003999322411035084,0.00011742834065903561,0.014892700011841953,4.034603338611002e-06,1.1846426133667845e-06
56,False,False,1,1.0,1.3652741000405513,0.00037161620611505993,0.00010911416975457955,0.009915100003127009,2.6798933362846987e-06,7.868718629805873e-07
57,True,True,1,1.0,1.389520500029903,0.00037821653944524267,0.00011105216352227702,0.019965800049249083,5.409567226241859e-06,1.5883603215092498e-06
58,False,True,0,0.0,1.624050700047519,0.00044206123889663207,0.00012979828185413495,0.016982500033918768,4.6034566770281845e-06,1.3516696663104702e-06
59,True,False,0,0.0,1.537401800043881,0.00041846828611742236,0.00012287090513535588,0.13395430002128705,3.6438387785973545e-05,1.0699060926398033e-05
60,True,True,1,1.0,1.801213499973528,0.0004902769977705449,0.00014395542142997214,0.04378280002856627,1.1898711664899666e-05,3.493706741257329e-06
61,True,True,1,1.0,1.6569448999944143,0.00045100965223779594,0.0001324257202604126,0.04836860002251342,1.3137623889229468e-05,3.857476879728336e-06
62,True,True,1,1.0,1.5759691999992356,0.000428966860561761,0.00012595350275959935,0.031083100009709597,8.441220003037919e-06,2.47851599900908e-06
63,True,True,1,1.0,0.8413881000014953,0.00022900185888283887,6.723966095418282e-05,0.01591700001154095,4.311218341333895e-06,1.2658624737149203e-06
64,True,True,1,1.0,1.423765600018669,0.0003875388227606891,0.00011378937785104869,0.023086900007911026,6.263848332390706e-06,1.839194844063937e-06
65,False,False,1,1.0,1.434252800012473,0.0003903914555642081,0.0001146269695783435,0.020765299967024475,5.631203319191828e-06,1.6534372419232022e-06
