qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg),exact_match
0,True,True,1,1.0,53.65503650001483,0.0146059664366765,0.0042886124850748,0.0,0.0,0.0,1
1,True,True,1,1.0,33.579830900009256,0.0091410912205636,0.0026840125989388,0.0,0.0,0.0,1
2,True,False,0,0.0,35.64134920001379,0.0097022550455643,0.0028487818524151,0.0,0.0,0.0,1
3,True,True,1,1.0,49.78928609998548,0.0135536315411091,0.0039796252919866,0.0,0.0,0.0,1
4,True,True,1,1.0,41.1569500999758,0.0112037541411053,0.0032896529029808,0.0,0.0,0.0,1
5,True,True,1,1.0,50.9439943000034,0.0138679601244413,0.0040719186361305,0.0,0.0,0.0,1
6,True,False,0,0.0,7.261667600017972,0.001976766880557,0.0005804194580888,0.0,0.0,0.0,1
7,True,False,0,0.0,90.29164009998205,0.024579139482784,0.0072169414406959,0.0,0.0,0.0,1
8,True,True,1,1.0,59.56631269998616,0.0162151425927858,0.004761099737712,0.0,0.0,0.0,1
9,True,True,1,1.0,48.01311619998887,0.013070122977762,0.0038376572222665,0.0,0.0,0.0,1
10,False,True,0,0.0,4.300405599991791,0.0011706432544441,0.0003437249632432,0.0,0.0,0.0,1
11,True,True,1,1.0,34.82295880001038,0.009479502452776,0.0027833771046597,0.0,0.0,0.0,1
12,True,False,0,0.0,96.86490119999507,0.0263685996677766,0.0077423637962912,0.0,0.0,0.0,1
13,True,True,1,1.0,43.471194800018566,0.0118337316222277,0.003474627262779,0.0,0.0,0.0,1
14,False,True,0,0.0,4.41673970001284,0.0012023000333302,0.0003530200453424,0.0,0.0,0.0,1
15,True,True,1,1.0,87.82574890000978,0.0239079439966692,0.0070198646259464,0.0,0.0,0.0,1
16,False,True,0,0.0,4.759698899986688,0.0012956694161092,0.0003804352186174,0.0,0.0,0.0,1
17,False,False,1,1.0,4.637814999994589,0.0012624859661095,0.0003706918744447,0.0,0.0,0.0,1
18,True,False,0,0.0,93.18601009997656,0.0253670851794273,0.0074482985211627,0.0,0.0,0.0,1
19,True,False,0,0.0,7.280126700003166,0.0019817870694503,0.0005818934889144,0.0,0.0,0.0,1
20,True,True,1,1.0,47.03953609999735,0.0128050745233481,0.003759833538659,0.0,0.0,0.0,1
21,True,True,1,1.0,49.20245700000669,0.0133938767566772,0.0039327179978999,0.0,0.0,0.0,1
22,True,True,1,1.0,42.50197979999939,0.0115699026488951,0.0033971616439263,0.0,0.0,0.0,1
23,True,True,1,1.0,37.71280709997518,0.0102661549488907,0.003014354474824,0.0,0.0,0.0,1
24,False,False,1,1.0,3.848158799984958,0.0010475342388882,0.0003075776214409,0.0,0.0,0.0,1
25,False,False,1,1.0,4.258990099973744,0.0011593696827735,0.0003404148104759,0.0,0.0,0.0,1
26,True,True,1,1.0,54.83689269999741,0.0149276998277758,0.0043830800332454,0.0,0.0,0.0,1
