qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
1,True,True,True,1,1.0,5.640528300020378,0.0016415514835392171,0.00048199331538388806,0.0,0.0,0.0
0,False,False,True,0,0.0,5.670194400008768,0.001653474887672648,0.00048549427234232816,0.0,0.0,0.0
2,True,True,False,0,0.0,5.695775600033812,0.001660297944340995,0.0004874976622680211,0.0,0.0,0.0
3,False,False,True,0,0.0,5.737849999975879,0.0016717661609973857,0.0004908649668108167,0.0,0.0,0.0
4,False,False,True,0,0.0,5.766115999984322,0.001683030975509338,0.0004941725482959214,0.0,0.0,0.0
5,True,True,True,1,1.0,5.809238499990897,0.001694864289951886,0.0004976470530661567,0.0,0.0,0.0
6,True,True,False,0,0.0,5.779455600015353,0.001691348239186969,0.0004966146681655096,0.0,0.0,0.0
7,True,True,False,0,0.0,5.80949280000641,0.0016994169119604037,0.0004989837966270982,0.0,0.0,0.0
8,False,False,True,0,0.0,5.834606499993242,0.001705557893628193,0.0005007869152885902,0.0,0.0,0.0
9,False,False,True,0,0.0,5.8639524999889545,0.0017183960946746903,0.0005045564754565264,0.0,0.0,0.0
10,True,True,True,1,1.0,5.854839800012996,0.0017157794667969158,0.0005037881796348106,0.0,0.0,0.0
11,True,True,True,1,1.0,5.8484891000262,0.001718967869662134,0.0005047243603657815,0.0,0.0,0.0
12,True,True,False,0,0.0,5.752507600001991,0.0016919887140189576,0.0004968027247636644,0.0,0.0,0.0
13,False,False,True,0,0.0,5.658263400022406,0.0016658196991562566,0.0004891189631756276,0.0,0.0,0.0
14,True,True,True,1,1.0,5.5738832999777514,0.0016457259703385534,0.00048321903066154737,0.0,0.0,0.0
15,False,False,True,0,0.0,5.612199499999406,0.0016561832608996277,0.0004862895064876225,0.0,0.0,0.0
16,True,True,True,1,1.0,5.586618300003465,0.00165060987007886,0.00048465304418560546,0.0,0.0,0.0
17,True,True,False,0,0.0,5.405383000004804,0.0015972763563162618,0.0004689932263990299,0.0,0.0,0.0
18,True,True,False,0,0.0,5.386339399992721,0.0015954941292861808,0.0004684699278466486,0.0,0.0,0.0
19,True,True,False,0,0.0,5.427246899984311,0.0016073066492790634,0.00047193832693830096,0.0,0.0,0.0
20,True,True,True,1,1.0,0.19929399999091402,5.531400815223537e-05,1.6241331718080348e-05,0.0,0.0,0.0
21,True,True,True,1,1.0,0.1612355999823194,4.597007002757267e-05,1.3497759091446679e-05,0.0,0.0,0.0
22,False,False,True,0,0.0,0.1756848000222817,4.854392933876627e-05,1.425349718140239e-05,0.0,0.0,0.0
23,True,True,True,1,1.0,0.1982537999865599,5.522029247198637e-05,1.6213814864737873e-05,0.0,0.0,0.0
24,False,False,False,1,1.0,0.13501319999340922,3.888862423875198e-05,1.1418500799707933e-05,0.0,0.0,0.0
25,False,False,False,1,1.0,0.14569569999002852,4.17012809110095e-05,1.2244354711749205e-05,0.0,0.0,0.0
26,False,False,True,0,0.0,0.15432159998454154,4.728636295051475e-05,1.3884249796311644e-05,0.0,0.0,0.0
27,False,False,False,1,1.0,0.19391870000981726,5.812850628130894e-05,1.706772631975871e-05,0.0,0.0,0.0
28,False,False,False,1,1.0,0.09562309997272678,2.9645210509355063e-05,8.704444205338238e-06,0.0,0.0,0.0
29,False,False,True,0,0.0,0.10929319995921105,3.228054127723913e-05,9.478231580685741e-06,0.0,0.0,0.0
30,False,False,True,0,0.0,0.11229199997615069,3.268213261410497e-05,9.596147066021652e-06,0.0,0.0,0.0
31,True,True,False,0,0.0,0.1287690999743063,3.821182348458517e-05,1.1219778162844998e-05,0.0,0.0,0.0
32,False,False,False,1,1.0,0.10450300003867596,3.0673949941069385e-05,9.00650328440475e-06,0.0,0.0,0.0
33,False,False,True,0,0.0,0.12132130001555197,3.422454802203932e-05,1.0049031988379745e-05,0.0,0.0,0.0
