qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,False,0,0.0,6.757643199998711,0.001958997274398237,0.0005752019358414772,0.0,0.0,0.0
1,True,True,1,1.0,0.3701599999985774,0.00010738190730475828,3.152953899592348e-05,0.0,0.0,0.0
2,True,True,1,1.0,0.39027980000537354,0.00011328185042653841,3.3261883777283634e-05,0.0,0.0,0.0
3,True,True,1,1.0,0.37892760000249837,0.00010999258971108869,3.2296089104804986e-05,0.0,0.0,0.0
4,True,True,1,1.0,0.38277060000109486,0.00010976966895112935,3.223063497970558e-05,0.0,0.0,0.0
5,True,False,0,0.0,0.3656716999976197,0.00010621352124168666,3.1186476790543213e-05,0.0,0.0,0.0
6,True,True,1,1.0,0.41990229999646544,0.00012161746676084608,3.570939236475648e-05,0.0,0.0,0.0
7,True,True,1,1.0,0.38607620000402676,0.00011203898601305544,3.289695319470102e-05,0.0,0.0,0.0
8,True,True,1,1.0,0.3843628999966313,0.00011179733884785766,3.2826000611443825e-05,0.0,0.0,0.0
9,True,True,1,1.0,0.3755100999987917,0.00010914135810608144,3.2046149978575204e-05,0.0,0.0,0.0
10,True,True,1,1.0,0.5155559999984689,0.00014881916157790756,4.369637005044475e-05,0.0,0.0,0.0
11,True,False,0,0.0,0.38581949999934295,0.00011100545475261535,3.259348713605608e-05,0.0,0.0,0.0
12,True,True,1,1.0,0.37411220000649337,0.00010870753642510861,3.191877100058136e-05,0.0,0.0,0.0
13,True,True,1,1.0,0.37996859999839216,0.0001103600681593575,3.240398834365879e-05,0.0,0.0,0.0
14,True,True,1,1.0,0.3917048000075738,0.000113560664919785,3.33437494533374e-05,0.0,0.0,0.0
15,True,True,1,1.0,0.40887739999743644,0.00011876977740470047,3.4873252135396915e-05,0.0,0.0,0.0
16,True,True,1,1.0,0.40651100000104634,0.00011796410009012901,3.463668868680946e-05,0.0,0.0,0.0
17,True,True,1,1.0,0.3738104999938514,0.00010841451733496073,3.183273456240237e-05,0.0,0.0,0.0
18,True,True,1,1.0,0.39488270000583725,0.0001125359336590686,3.304286725580478e-05,0.0,0.0,0.0
19,True,True,1,1.0,0.37034459999995306,0.00010542392509752602,3.095463510470233e-05,0.0,0.0,0.0
20,True,False,0,0.0,0.3879432999965502,0.00011250138917026737,3.303272428261599e-05,0.0,0.0,0.0
21,True,True,1,1.0,0.4063263999923947,0.0001179210167480807,3.462403853049093e-05,0.0,0.0,0.0
22,True,True,1,1.0,0.3909726999991108,0.00011319254406482222,3.3235661590650986e-05,0.0,0.0,0.0
23,True,True,1,1.0,0.3744834000026458,0.00010741199606581581,3.153837367570254e-05,0.0,0.0,0.0
24,True,True,1,1.0,0.37594099999842,0.00010801949386285843,3.171674753739445e-05,0.0,0.0,0.0
25,True,True,1,1.0,0.4288053999989643,0.00012427949029177214,3.6491017284941524e-05,0.0,0.0,0.0
26,True,True,1,1.0,0.40409550000185845,0.00011703659593236492,3.4364354368625784e-05,0.0,0.0,0.0
27,True,False,0,0.0,0.4269644000014523,0.0001236410629478856,3.630356187145176e-05,0.0,0.0,0.0
28,True,True,1,1.0,0.4126118999993196,0.00011943151438861729,3.5067551739148924e-05,0.0,0.0,0.0
29,True,True,1,1.0,0.37897610000072746,0.00011018314154577559,3.235203904696287e-05,0.0,0.0,0.0
30,True,True,1,1.0,0.3943940999961342,0.00011297977162604144,3.317318722160521e-05,0.0,0.0,0.0
31,True,True,1,1.0,0.40475680000236025,0.00011697423973848077,3.434604530617704e-05,0.0,0.0,0.0
32,True,False,0,0.0,0.41790539999783505,0.00012077460110719526,3.546190965410128e-05,0.0,0.0,0.0
33,True,True,1,1.0,0.38704649999999674,0.00011232117314557496,3.297980914708852e-05,0.0,0.0,0.0
34,True,True,1,1.0,0.4312997999950312,0.00012267752119821278,3.602064617426369e-05,0.0,0.0,0.0
35,True,True,1,1.0,0.39123500000278,0.00011283054798478144,3.312937208799181e-05,0.0,0.0,0.0
36,True,False,0,0.0,0.42380030000640545,0.00012255535221252715,3.5984774844586754e-05,0.0,0.0,0.0
37,True,True,1,1.0,0.42369070000131615,0.00012269716956336596,3.6026415338835756e-05,0.0,0.0,0.0
38,True,False,0,0.0,0.38649530000111554,0.0001119679613730982,3.287609889800049e-05,0.0,0.0,0.0
39,True,False,0,0.0,0.39564339999924414,0.00011482218771365948,3.3714158520582094e-05,0.0,0.0,0.0
40,True,True,1,1.0,0.40246209999895655,0.0001166231426998925,3.424295598650138e-05,0.0,0.0,0.0
41,True,False,0,0.0,0.36009710000507766,0.00010479263025930438,3.0769273941735245e-05,0.0,0.0,0.0
42,True,True,1,1.0,0.41800489999877755,0.00012118059126122222,3.558111672272807e-05,0.0,0.0,0.0
43,True,False,0,0.0,0.35017270000389544,0.00010170352155974987,2.9862248022286573e-05,0.0,0.0,0.0
