qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,False,0,0.0,5.915778599999612,0.001610366142222564,0.0004728366570619788,0.020214599993778393,5.4842316655493855e-06,1.6102833382431041e-06
1,True,True,1,1.0,5.183629799998016,0.0014110576544433164,0.00041431558125523666,0.02214849999290891,6.014192775182892e-06,1.765890832018474e-06
2,True,True,1,1.0,1.6288612999924226,0.0004433744855548462,0.00013018387811295268,0.03349260000686627,9.107467778570329e-06,2.6741400640573784e-06
3,True,True,1,1.0,2.587315100012347,0.0007042859594483161,0.00020679285905851185,0.01384640000469517,3.7511755553876147e-06,1.1014223803874253e-06
4,True,True,1,1.0,2.317113800003426,0.0006307313027768234,0.0001851956973572052,0.00965179999184329,2.608913888737637e-06,7.660308357021957e-07
5,False,False,1,1.0,2.051747699995758,0.0005584946455545528,0.0001639855274320169,0.10310330000356771,2.8047726668834607e-05,8.235390057304723e-06
6,True,True,1,1.0,3.040160599994124,0.0008275597472235354,0.00024298858137701218,0.028558400008478202,7.755466667084773e-06,2.2771646997985356e-06
7,True,True,1,1.0,2.9087151999847265,0.0007917771816645755,0.00023248208335995363,0.015291700008674525,4.144331112183863e-06,1.216860947000798e-06
8,True,True,1,1.0,0.7487845999858109,0.00020379527166636155,5.983848793962182e-05,0.01395530000445433,3.7792633357134436e-06,1.109669531023135e-06
9,True,True,1,1.0,2.5425479999976233,0.0006920971849991474,0.00020321398391135242,0.03705890000856016,1.0069228888702733e-05,2.9565329288127116e-06
10,True,True,1,1.0,3.8650170999899274,0.001052104703332912,0.00030891960390854064,0.024344299992662854,6.605215556030291e-06,1.9394272897321607e-06
11,True,False,0,0.0,2.472586699994281,0.0006730455122246187,0.00019762002050765473,0.038600800005951896,1.0492572779993578e-05,3.080835412016502e-06
12,True,True,1,1.0,2.602379599993583,0.000708385883329821,0.0002079966811282331,0.014369199998327531,3.891236113122431e-06,1.1425470440084356e-06
13,True,True,1,1.0,2.677760600010515,0.0007289084966684943,0.00021402254296847337,0.006199499999638647,1.6688105568593731e-06,4.899971405795178e-07
14,True,True,1,1.0,3.430992299996433,0.0009339519777813823,0.00027422753090243447,0.006823100004112348,1.8387011097123225e-06,5.39880504971749e-07
15,True,True,1,1.0,2.1851737999968464,0.0005948136100014381,0.00017464952320711232,0.043558999997912906,1.1836488887961928e-05,3.475436852771132e-06
16,True,True,1,1.0,3.239763999998104,0.0008818975583297692,0.00025894328154232773,0.039153499994426966,1.0640311110829417e-05,3.1242144279065912e-06
17,True,True,1,1.0,1.6301605999906315,0.0004437271700005415,0.00013028743352803995,0.027480700009618886,7.462525557881842e-06,2.1911511584306256e-06
18,True,True,1,1.0,3.7562458000029437,0.001022493677223166,0.00030022519694679003,0.032191600010264665,8.744877224105746e-06,2.5676760114670407e-06
19,True,True,1,1.0,1.7542627999937395,0.0004775087683326596,0.0001402064063670514,0.01519610000832472,4.118146668042755e-06,1.2091726550589292e-06
20,True,False,0,0.0,3.77661819999048,0.00102803955666467,0.0003018535813413914,0.01993870000296738,5.408808888266018e-06,1.5881376578652384e-06
21,True,True,1,1.0,4.019111500005238,0.0010940481933312388,0.0003212350761954514,0.019507899996824563,5.290527779773886e-06,1.5534078889843455e-06
22,False,True,0,0.0,1.5342413000034867,0.0004176154150015564,0.0001226204846149802,0.006003999995300546,1.6157494412457e-06,4.7441730449818957e-07
23,True,True,1,1.0,2.2251779999933206,0.0006057037500011371,0.0001778470925408092,0.01537090000056196,4.168579998481114e-06,1.2239809193062534e-06
24,False,True,0,0.0,3.548765799991088,0.0009660134466648743,0.0002836414383175792,0.025700700003653765,6.977704444175793e-06,2.0487976968995455e-06
25,True,True,1,1.0,2.3595453000016278,0.0006422808672187482,0.00018858688728479796,0.011754200007999316,3.1895888887649765e-06,9.36528971904593e-07
26,True,True,1,1.0,2.809580900007859,0.0007647921383319449,0.00022455871901098416,0.005427399999462068,1.4681822235514925e-06,4.3108853094973097e-07
27,True,False,0,0.0,4.4355476000055205,0.0012074144844445172,0.00035452175349700964,0.016237400006502867,4.4001750011779626e-06,1.29198198067749e-06
28,True,True,1,1.0,1.823484099993948,0.0004963537055508318,0.00014573966795468346,0.017123000012361445,4.6414466666950225e-06,1.3628243094968296e-06
29,True,True,1,1.0,2.784862800006522,0.0007580636355577251,0.00022258309205548733,0.016775000010966323,4.548179446363873e-06,1.335439133220099e-06
30,True,True,1,1.0,2.7664159999840194,0.0007530465633337573,0.00022110997634818282,0.014299900009064004,3.873940001762497e-06,1.137468549583363e-06
31,True,True,1,1.0,1.6212036999932025,0.0004412904200008294,0.00012957195355503862,0.014668500007246621,3.974746113009234e-06,1.167067299459922e-06
32,False,False,1,1.0,2.0908685000031255,0.0005691402411093198,0.00016711129348147112,0.020977799998945557,5.6918855541476255e-06,1.6712547955634868e-06
33,False,True,0,0.0,2.1280392999906326,0.0005792597738869921,0.00017008259666785074,0.015909699999610893,4.312438891227228e-06,1.2662208522949272e-06
34,True,True,1,1.0,2.494080499993288,0.000678904482778388,0.00019934033489941495,0.013885100008337758,3.7608605561318753e-06,1.1042660960217088e-06
35,True,True,1,1.0,3.1633970999973826,0.000861110129996814,0.00025283966456718176,0.017208000004757196,4.6642422207999815e-06,1.369517553546278e-06
36,True,False,0,0.0,2.704387699996005,0.0007361547905600066,0.00021615020405741208,0.015116599999601021,4.0919661132243665e-06,1.2014855051022929e-06
37,True,True,1,1.0,3.5368848999933107,0.0009627747805532028,0.0002826904992625211,0.029289999991306104,7.953575556085627e-06,2.335333548704004e-06
