qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,False,False,False,1,1.0,0.42300589999649674,0.00012042479179425272,3.535919843718969e-05,0.17627190001076087,5.0476258373149735e-05,1.4820868772872056e-05
1,True,True,True,1,1.0,0.42793230002280325,0.0001192771548142782,3.5022228589833786e-05,0.12415190000319853,3.551621494251517e-05,1.0428291991867158e-05
2,True,True,True,1,1.0,0.37159509997582063,0.00010342787884565609,3.036855482623059e-05,0.1445913999923505,4.122328066566941e-05,1.210400399761318e-05
3,True,True,True,1,1.0,0.417583399976138,0.00011647310370442703,3.419890144810498e-05,0.09264030001941137,2.6288041549031186e-05,7.718710273922539e-06
4,True,True,True,1,1.0,0.3287094999977853,9.127147958481048e-05,2.6799185700973277e-05,0.05635289999190718,1.5044347222687469e-05,4.417330110180663e-06
5,False,False,False,1,1.0,0.40043700000387616,0.00011149327128090773,3.273672011298579e-05,0.07875850002164952,2.1324361973163914e-05,6.261271747463798e-06
6,False,False,True,0,0.0,0.3943118999886792,0.00011001058306302507,3.23013723234196e-05,0.0807621999992989,2.3260574581794437e-05,6.8297836362958345e-06
7,True,True,True,1,1.0,0.3858464999939315,0.0001075689857314965,3.15844690739896e-05,0.051839299994753674,1.4964320363235275e-05,4.393832576479216e-06
8,False,False,True,0,0.0,0.3313672000076622,9.198921178507029e-05,2.700992665319437e-05,0.058247199980542064,1.5043534997676033e-05,4.417091624193459e-06
9,True,True,True,1,1.0,0.4048585999698844,0.00011296603144876119,3.3169152822643206e-05,0.09197199999471195,2.471791444339841e-05,7.257688626531747e-06
10,True,True,True,1,1.0,0.4148192999709863,0.00011568319373553571,3.3966967616861466e-05,0.06308019999414682,1.7071975952155564e-05,5.0126836543636716e-06
11,False,False,False,1,1.0,0.3798753000155557,0.00010579501392922752,3.1063594426470364e-05,0.09887919999891892,2.8770008935508746e-05,8.447467002711681e-06
12,False,False,True,0,0.0,0.4065048000193201,0.00011344084697239794,3.330856843691318e-05,0.042648599977837875,1.2344189714036385e-05,3.624508268950642e-06
13,True,True,True,1,1.0,0.33138489999691956,9.203365407547845e-05,2.7022975824732315e-05,0.016480799997225404,4.141281662062587e-06,1.2159655656565081e-06
14,True,True,True,1,1.0,0.4322839000087697,0.00012070223496605005,3.544066146503022e-05,0.022078099980717525,6.8555715886521145e-06,2.0129369757820814e-06
15,True,True,True,1,1.0,0.41388150001876056,0.00011525910749079173,3.3842447163398654e-05,0.08258719998411834,2.2200190553687407e-05,6.518433052160945e-06
16,True,True,True,1,1.0,0.4215601999894716,0.00011771110107949311,3.4562402967995254e-05,0.05861039998126216,1.730995669145917e-05,5.082559699486026e-06
17,True,True,True,1,1.0,0.43173270000261255,0.00012058237781975944,3.5405468939000814e-05,0.05922699999064207,1.5818795555808012e-05,4.644724086804229e-06
18,True,True,True,1,1.0,0.4292696000484284,0.0001197437727433066,3.515923722153692e-05,0.04338540000026114,1.3387161493920827e-05,3.930746258486306e-06
19,True,True,True,1,1.0,0.3971344000019599,0.00011072749803724994,3.251187332125001e-05,0.02948530000867322,7.689127221722932e-06,2.257686072700138e-06
20,False,False,False,1,1.0,0.3948409000004176,0.00011006785686811565,3.231818909187132e-05,0.04458709998289123,1.3928815018578986e-05,4.0897868860616745e-06
21,False,False,True,0,0.0,0.413172599975951,0.00011463390923250232,3.3658876081829256e-05,0.04201539998757653,1.1044897215874192e-05,3.2430092388426114e-06
22,True,True,True,1,1.0,0.3587480000278447,9.970045423392642e-05,2.9274106211937e-05,0.01467080001020804,3.6228138877454004e-06,1.0637327517796866e-06
23,True,True,True,1,1.0,0.3606776999949943,0.00010040728325187366,2.948164576533279e-05,0.031767900014529005,8.199056114568115e-06,2.4074116951597964e-06
24,False,False,True,0,0.0,0.435602999990806,0.0001218037290014498,3.57640827937681e-05,0.051575599994976074,1.4762041377120895e-05,4.3344393011982266e-06
25,True,True,True,1,1.0,0.3980106999806594,0.00011114098539351494,3.263328172282253e-05,0.0301300999999512,7.900776112769057e-06,2.319830544996981e-06
26,True,True,True,1,1.0,0.42307329998584464,0.0001181704805340497,3.4697286234552075e-05,0.018316200003027916,4.445223889585274e-06,1.3052092618779459e-06
27,False,False,False,1,1.0,0.4301399999822024,0.0001196169771597457,3.512200742746138e-05,0.03543710001395084,1.0426649255520853e-05,3.0614789078550286e-06
28,True,True,True,1,1.0,0.3966260000306647,0.00010947560189457684,3.214429083701239e-05,0.04892230001860298,1.3028336116500819e-05,3.825387739401874e-06
29,True,True,True,1,1.0,0.41890549997333437,0.00011698252603549011,3.434847833359522e-05,0.048593000014079735,1.1695630960604496e-05,3.4340780650109494e-06
30,True,True,True,1,1.0,0.42182190000312403,0.0001177234110124235,3.4566017417767174e-05,0.027335999999195337,7.154328582902754e-06,2.1006581807500345e-06
31,True,True,True,1,1.0,0.3951181000156794,0.00011012539630418685,3.233508385504834e-05,0.026972899999236688,7.045021668859084e-06,2.0685634201393592e-06
