qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,False,0,0.0,0.8670792000484653,0.00023599316166914326,6.929245140432344e-05,0.02950350003084168,8.011183338951217e-06,2.3522483799071265e-06
1,False,True,0,0.0,0.7459227999788709,0.00020301249667019063,5.960864908327929e-05,0.026054599962662905,7.068821656220178e-06,2.075551586474256e-06
2,True,True,1,1.0,0.27392830001190305,7.451599833568453e-05,2.187943140809743e-05,0.03905399999348447,1.0610714441928495e-05,3.1155242365169687e-06
3,True,True,1,1.0,0.4235441999626346,0.00011525040945206355,3.3839893240134e-05,0.014744299987796694,3.9929705523213165e-06,1.1724183700861715e-06
4,True,True,1,1.0,0.3657566999900155,9.951399388923568e-05,2.9219357615486438e-05,0.011119200033135712,3.0043961211857905e-06,8.821525621936043e-07
5,False,False,1,1.0,0.379826599964872,0.00010334911388603763,3.0345427812303055e-05,0.13579540001228452,3.6943879994537894e-05,1.0847483847000774e-05
6,False,True,0,0.0,0.45852130005368963,0.00012476473111924455,3.663349398307638e-05,0.032368100015446544,8.788879998610354e-06,2.5805961320860046e-06
7,False,True,0,0.0,0.44498859997838736,0.00012108818666246305,3.55539848299064e-05,0.01781009999103844,4.8197827799918335e-06,1.4151874643308664e-06
8,False,True,0,0.0,0.15800920000765473,4.296771610970609e-05,1.26162061621969e-05,0.015413899964187294,4.173974992590956e-06,1.225565000660725e-06
9,True,True,1,1.0,0.3934931000112556,0.00010706883443732899,3.143761435582408e-05,0.043774799967650324,1.1895674992249244e-05,3.4928151116415725e-06
10,False,True,0,0.0,0.6356215000269003,0.00017298272722530072,5.079129045633588e-05,0.025401599996257573,6.892163887904543e-06,2.0236812282840935e-06
11,False,False,1,1.0,0.408014899934642,0.00011101552277266616,3.259644331404519e-05,0.045708500023465604,1.2419339449520016e-05,3.646573778634129e-06
12,False,True,0,0.0,0.38566099997842684,0.00010493424888603233,3.0810856086493536e-05,0.015320500009693205,4.149991671632354e-06,1.2185230038067309e-06
13,True,True,1,1.0,0.41481270000804216,0.00011287197831649487,3.3141536886440253e-05,0.006938000035006553,1.8658794404473155e-06,5.478606224818717e-07
14,True,True,1,1.0,0.5044074999750592,0.00013726272443956178,4.0303162157672805e-05,0.007154099992476404,1.928066668915562e-06,5.66120073205477e-07
15,False,True,0,0.0,0.40812500001629815,0.00011105215388912862,3.260719896407933e-05,0.05128889996558428,1.3940550545683234e-05,4.0932326784559276e-06
16,False,True,0,0.0,0.4788936999393627,0.0001303184494343845,3.82641800323809e-05,0.04814300005091354,1.3087494458240042e-05,3.842757846616559e-06
17,True,True,1,1.0,0.26898230001097545,7.3174796660573e-05,2.148562698072018e-05,0.03302809997694567,8.970495549147018e-06,2.6339221972178173e-06
18,True,True,1,1.0,0.5616492999834009,0.00015284457332551634,4.48783138234369e-05,0.03575839998666197,9.707751658990875e-06,2.8503957712933147e-06
19,True,True,1,1.0,0.30625249998411164,8.33169155404903e-05,2.4463561911770473e-05,0.017336000048089772,4.697892789974705e-06,1.3793980535267663e-06
20,False,False,1,1.0,0.5833901000441983,0.00015876771167483336,4.661746920119545e-05,0.023704899998847395,6.427368333808974e-06,1.8872076833842372e-06
21,False,True,0,0.0,0.5879277999629267,0.00016000151721042737,4.697973991070607e-05,0.02419289998942986,6.5625955535021295e-06,1.9269131794369853e-06
22,True,True,1,1.0,0.26183540001511574,7.122982334856514e-05,2.0914542768992223e-05,0.006743400008417666,1.8123572213678725e-06,5.321453969287968e-07
23,True,True,1,1.0,0.3262698999606073,8.87720194428564e-05,2.60652927389975e-05,0.01745179999852553,4.7308144450653345e-06,1.3890645293237031e-06
24,False,True,0,0.0,0.5585369999753311,0.00015199529888470554,4.462894936091353e-05,0.029787000035867095,8.086785562853845e-06,2.3744467495072424e-06
25,False,True,0,0.0,0.4018670000368729,0.00010934819221955776,3.210688073304048e-05,0.01601479999953881,4.33579833414923e-06,1.2730796657116237e-06
26,True,True,1,1.0,0.4005687999888323,0.00010900130945147895,3.200502880995894e-05,0.008921000000555068,2.403026112006046e-06,7.055779451903969e-07
27,False,False,1,1.0,0.7186824000091292,0.0001955951516726701,5.743076386764596e-05,0.019040499988477677,5.155927777781875e-06,1.5138865569631696e-06
28,True,True,1,1.0,0.38589720003074035,0.00010499989723676763,3.083013179397983e-05,0.02430150000145659,6.593327788868918e-06,1.935936796522488e-06
29,False,True,0,0.0,0.4323085000505671,0.00011763903389316206,3.454124255821316e-05,0.019581299973651767,5.303614990488212e-06,1.5572505635179065e-06
30,True,True,1,1.0,0.4450275999843143,0.00012109943833234461,3.555728855185737e-05,0.0151773999677971,4.1096061057437e-06,1.2066649701163353e-06
31,True,True,1,1.0,0.23706150002544746,6.449370000239772e-05,1.893667825666273e-05,0.01615720003610477,4.377650564937439e-06,1.2853683424154014e-06
32,False,False,1,1.0,0.3464275000151247,9.425872999870788e-05,2.7676303930474057e-05,0.02327140001580119,6.314883339089444e-06,1.8541797728499222e-06
33,False,True,0,0.0,0.33341289998497814,9.07147394496456e-05,2.6635715333917326e-05,0.01804880000418052,4.891023333766498e-06,1.4361051577739025e-06
34,True,True,1,1.0,0.46564219996798784,0.00012670141055099926,3.720214294078965e-05,0.017049600020982325,4.615371110008305e-06,1.3551679891535808e-06
35,False,True,0,0.0,0.740332200017292,0.0002014871244590419,5.9160768394419696e-05,0.019059899961575866,5.166558337643638e-06,1.5170079082235703e-06
36,False,False,1,1.0,0.4222303000278771,0.00011488792168707327,3.373345936864978e-05,0.015096999995876104,4.089797223504218e-06,1.200848674422659e-06
37,True,True,1,1.0,0.5413799999514595,0.00014732495889151727,4.325764137583991e-05,0.03198939998401329,8.687103883130476e-06,2.5507125689940472e-06
38,False,False,1,1.0,0.6854602000094019,0.0001865449894539779,5.477344989589976e-05,0.0226002000272274,6.129424451177733e-06,1.7997252247298425e-06
39,False,False,1,1.0,0.2607562000048347,7.093649443963335e-05,2.0828415361639056e-05,0.019347699999343604,5.238044998906035e-06,1.5379978638923989e-06
40,True,True,1,1.0,0.7648489000275731,0.00020815761112866717,6.111936062704638e-05,0.03356150002218783,9.115276117033014e-06,2.6764327530050043e-06
41,False,False,1,1.0,0.5342576000839472,0.00014538347611992825,4.268758205864973e-05,0.03442330000689253,9.34712333449473e-06,2.74450786982435e-06
42,True,True,1,1.0,0.547857700032182,0.0001490880594433596,4.377532400039302e-05,0.0189881999976933,5.1478366648855925e-06,1.511510839619467e-06
43,False,False,1,1.0,0.27272699994500726,7.418689331744745e-05,2.1782799398416216e-05,0.0074548000120557845,2.008852226814876e-06,5.898403763927252e-07
44,True,True,1,1.0,0.3342930999933742,9.095219722431566e-05,2.6705437825855346e-05,0.014708600006997585,3.982934446927781e-06,1.1694715628975582e-06
45,False,True,0,0.0,0.3857745000277646,0.00010497305111299888,3.08222492192752e-05,0.021463499986566603,5.8238366609051195e-06,1.7099983574026172e-06
46,True,True,1,1.0,0.38503280002623796,0.00010476475277618091,3.07610885386882e-05,0.0077680000104010105,2.0911749937416364e-06,6.140120358018201e-07
47,True,True,1,1.0,0.6073550999863073,0.00016528714611259706,4.853170938835712e-05,0.036193499981891364,9.83003888395615e-06,2.8863018184573235e-06
48,False,True,0,0.0,0.5457499999902211,0.00014851943611574823,4.360836448335788e-05,0.017636200005654246,4.777061666310247e-06,1.40264366571915e-06
49,True,True,1,1.0,0.41385729995090514,0.00011261477444721903,3.306601653455062e-05,0.045288999972399324,1.2307891104784276e-05,3.6138502498798496e-06
50,False,True,0,0.0,0.20973690005484968,5.7045245009228685e-05,1.6749658505747047e-05,0.043267900007776916,1.1757758335443212e-05,3.4523199414765287e-06
51,True,True,1,1.0,0.39351459994213656,0.00010707320498929928,3.143889763987295e-05,0.03267650003544986,8.875446119216374e-06,2.6060137275066846e-06
52,True,False,0,0.0,0.6081140000605956,0.0001654925572297846,4.859202232181229e-05,0.007372100022621453,1.980190005269833e-06,5.814245579872146e-07
53,False,True,0,0.0,0.5347388999653049,0.00014551970777813242,4.272758247853087e-05,0.02317380002932623,6.2856450085140145e-06,1.8455947969709097e-06
54,False,False,1,1.0,0.3016582999844104,8.20678805418235e-05,2.409681951832452e-05,0.04921899997862056,1.3376250550370766e-05,3.927542580801875e-06
55,False,False,1,1.0,1.7294743999373168,0.00047075288943176723,0.00013822274121708453,0.054986000002827495,1.4946437775183263e-05,4.388581880421697e-06
56,True,True,1,1.0,0.5246833999990486,0.00014278615943427817,4.192495640056237e-05,0.031024399970192462,8.422396659281931e-06,2.4729890777065584e-06
57,False,True,0,0.0,0.2848507999442518,7.74945516472346e-05,2.2753995989274254e-05,0.0338810000102967,9.20143611955508e-06,2.701731103794197e-06
58,True,False,0,0.0,0.3385982000618242,9.212264501192194e-05,2.7049105396010236e-05,0.03796000004513189,1.0313277789908978e-05,3.0281907112141383e-06
59,True,True,1,1.0,0.4013074000249617,0.00010919630054526755,3.206228220999417e-05,0.006624000030569732,1.782575011990654e-06,5.234007270350245e-07
60,False,False,1,1.0,0.5534069999703206,0.0001506009461096255,4.421953867619559e-05,0.017154400004073977,4.647762776908672e-06,1.364678849505312e-06
61,False,False,1,1.0,0.26492849993519485,7.207326388290514e-05,2.1162194276454663e-05,0.04835960001219064,1.314167777955946e-05,3.858667185399495e-06
62,False,False,1,1.0,0.4530506000155583,0.00012328434000212133,3.619882066959085e-05,0.040381599974352866,1.0969111669045458e-05,3.2207570418567413e-06
63,True,True,1,1.0,0.4366248000296764,0.00011880631889281276,3.488398146870197e-05,0.027912300021853298,7.573251114808953e-06,2.2236624618019713e-06
64,True,True,1,1.0,0.2546241999953054,6.926807778007867e-05,2.033853387741861e-05,0.05222910002339631,1.4195002228370866e-05,4.167944931695283e-06
65,False,True,0,0.0,0.2881179000250995,7.837928556093378e-05,2.3013772083154065e-05,0.008727299980819225,2.3542344398770687e-06,6.912517056247234e-07
66,True,True,1,1.0,0.3768465999746695,0.0001025366905507528,3.0106883593132475e-05,0.02908840001327917,7.895675550874631e-06,2.318332915003364e-06
67,False,False,1,1.0,0.20474920002743602,5.5685552226754626e-05,1.63504247085132e-05,0.024023299978580326,6.513698881543759e-06,1.9125561097594383e-06
68,False,False,1,1.0,0.45216020004590973,0.0001230422561325314,3.612773986093231e-05,0.06003769999369979,1.6320555553021324e-05,4.792051153307457e-06
69,True,True,1,1.0,0.6322032000171021,0.0001720509183243848,5.051769217692745e-05,0.016873000015038997,4.568375003549994e-06,1.3413689646398096e-06
70,False,True,0,0.0,0.3187091999570839,8.671049053955357e-05,2.5459985405766423e-05,0.02683340001385659,7.283330006693075e-06,2.1385356549355423e-06
71,False,True,0,0.0,0.4435803000233136,0.0001207065372207176,3.5441924695584746e-05,0.014974199992138892,4.054607228479451e-06,1.1905161673155648e-06
72,False,False,1,1.0,0.4203679999918677,0.00011438572221927138,3.358600326453297e-05,0.01601289998507127,4.33647333088124e-06,1.273277858650436e-06
73,False,True,0,0.0,0.2437780000618659,6.631338834607352e-05,1.9470976222050156e-05,0.024399199988693,6.618702787091025e-06,1.943387418475912e-06
74,True,True,1,1.0,0.3371794000850059,9.173953890211932e-05,2.6936617553953973e-05,0.019080900005064905,5.1744200020847426e-06,1.5193162547764508e-06
75,False,True,0,0.0,0.43175479996716604,0.00011748548500634366,3.449615744344628e-05,0.021333999990019947,5.783063339509277e-06,1.698026470711361e-06
76,True,False,0,0.0,0.4910501000122167,0.00013362604556766907,3.923535836106515e-05,0.031796000024769455,8.632993339172874e-06,2.5348245991430383e-06
77,False,False,1,1.0,0.28006630000891164,7.619476445963502e-05,2.237235170816167e-05,0.023119400022551417,6.269428338661479e-06,1.8408332487982887e-06
78,True,True,1,1.0,0.5971240000217222,0.0001625010594563921,4.7713656980109904e-05,0.01931590004824102,5.230386670640049e-06,1.5357492210272585e-06
79,False,False,1,1.0,0.3203650999930687,8.715838500421443e-05,2.5591496442812016e-05,0.02614279999397695,7.096212220818011e-06,2.0835940202164383e-06
80,False,False,1,1.0,0.27434010000433773,7.463242555030673e-05,2.191361683556612e-05,0.07187879999401048,1.9545954994585676e-05,5.739094840859156e-06
81,True,True,1,1.0,0.3885615000035614,0.00010572581390313442,3.104327587396944e-05,0.022135799983516335,6.0022977682011615e-06,1.7623982130484753e-06
82,True,False,0,0.0,0.638263399945572,0.0001737021938820059,5.1002540680682074e-05,0.027880299952812493,7.567290540706987e-06,2.2219123145164265e-06
