qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,False,0,0.0,0.5362686999724247,0.0001459411544185261,4.285132788980655e-05,0.0,0.0,0.0
1,False,True,0,0.0,0.10214440000709146,2.7762303886831632e-05,8.151584051606322e-06,0.0,0.0,0.0
2,False,True,0,0.0,0.10880039999028668,2.957575444888789e-05,8.684050475873295e-06,0.0,0.0,0.0
3,False,True,0,0.0,0.11442929995246232,3.110658387498309e-05,9.133533515406126e-06,0.0,0.0,0.0
4,True,True,1,1.0,0.13380360003793612,3.638229278537134e-05,1.0682590279215877e-05,0.0,0.0,0.0
5,False,False,1,1.0,0.11587710003368556,3.150416334392503e-05,9.25027103371456e-06,0.0,0.0,0.0
6,True,True,1,1.0,0.12531339999986812,3.406753111921717e-05,1.000292859270714e-05,0.0,0.0,0.0
7,False,True,0,0.0,0.10297549999086186,2.799057332772968e-05,8.218608659559563e-06,0.0,0.0,0.0
8,False,True,0,0.0,0.10346810007467866,2.8125055571500627e-05,8.258095415342373e-06,0.0,0.0,0.0
9,False,True,0,0.0,0.10995630006073043,2.9894325002613992e-05,8.777589349867713e-06,0.0,0.0,0.0
10,False,True,0,0.0,0.1019096999661997,2.7701014433922764e-05,8.133588206272296e-06,0.0,0.0,0.0
11,True,False,0,0.0,0.1063033000100404,2.8897466669635228e-05,8.48489121782706e-06,0.0,0.0,0.0
12,False,True,0,0.0,0.10723540000617504,2.9152959988762933e-05,8.559909316972687e-06,0.0,0.0,0.0
13,False,True,0,0.0,0.10265140002593398,2.790365278455687e-05,8.193086998375654e-06,0.0,0.0,0.0
14,True,True,1,1.0,0.11528760002693161,3.134187944233418e-05,9.202621138755088e-06,0.0,0.0,0.0
15,True,True,1,1.0,0.11458230001153424,3.115231333843743e-05,9.146960627453543e-06,0.0,0.0,0.0
16,True,True,1,1.0,0.1066080000018701,2.8981318890388748e-05,8.5095119563714e-06,0.0,0.0,0.0
17,False,True,0,0.0,0.10767679999116808,2.9270641107965882e-05,8.594462916644397e-06,0.0,0.0,0.0
18,False,True,0,0.0,0.1053406999562867,2.863541554349164e-05,8.407947611515238e-06,0.0,0.0,0.0
19,True,True,1,1.0,0.11841759999515489,3.219343666342966e-05,9.452655872572863e-06,0.0,0.0,0.0
20,False,False,1,1.0,0.1022817999473773,2.7802354984709785e-05,8.163343878602083e-06,0.0,0.0,0.0
21,False,True,0,0.0,0.09866319998400286,2.6816937771703426e-05,7.874005094959883e-06,0.0,0.0,0.0
22,False,True,0,0.0,0.10166940005728975,2.763489999633748e-05,8.114175646090043e-06,0.0,0.0,0.0
23,False,True,0,0.0,0.10231290000956506,2.7812612780447428e-05,8.166355778640367e-06,0.0,0.0,0.0
24,False,True,0,0.0,0.12138580001192167,3.300955333688761e-05,9.692284531877517e-06,0.0,0.0,0.0
25,False,True,0,0.0,0.11331899993820116,3.080748998359518e-05,9.045713390501905e-06,0.0,0.0,0.0
26,False,True,0,0.0,0.10225769999669865,2.7798355001788068e-05,8.162169401255956e-06,0.0,0.0,0.0
27,False,False,1,1.0,0.10520440002437681,2.8599990562199508e-05,8.39754610760164e-06,0.0,0.0,0.0
28,True,True,1,1.0,0.10423249995801598,2.8332039992609575e-05,8.318870303223454e-06,0.0,0.0,0.0
29,False,True,0,0.0,0.10644719999982044,2.8943523331609965e-05,8.498414402097138e-06,0.0,0.0,0.0
30,False,True,0,0.0,0.10606030002236366,2.88312005616414e-05,8.465434124089939e-06,0.0,0.0,0.0
31,False,True,0,0.0,0.10533190000569448,2.8634077780750686e-05,8.407554816829738e-06,0.0,0.0,0.0
32,False,False,1,1.0,0.10404700000071898,2.828679001864253e-05,8.305583979162273e-06,0.0,0.0,0.0
33,False,True,0,0.0,0.10648980003315955,2.8948128894424168e-05,8.499766690168688e-06,0.0,0.0,0.0
34,False,True,0,0.0,0.1030820999876596,2.8018763326367154e-05,8.226885823596264e-06,0.0,0.0,0.0
35,False,True,0,0.0,0.13080539996735752,3.556280775907605e-05,1.0441972602163238e-05,0.0,0.0,0.0
36,False,False,1,1.0,0.1003966000280343,2.729016500492839e-05,8.012954354461798e-06,0.0,0.0,0.0
37,True,True,1,1.0,0.1045287000015378,2.8414182219098117e-05,8.342988952242529e-06,0.0,0.0,0.0
38,True,False,0,0.0,0.0986828999593854,2.6829477778907556e-05,7.87768709927584e-06,0.0,0.0,0.0
39,False,False,1,1.0,0.10664889996405691,2.8991952780052087e-05,8.512634285330102e-06,0.0,0.0,0.0
40,False,True,0,0.0,0.1147791999974288,3.120444612124831e-05,9.162267885909447e-06,0.0,0.0,0.0
41,False,False,1,1.0,0.10131639993051067,2.7541984982801498e-05,8.08689388498037e-06,0.0,0.0,0.0
42,True,True,1,1.0,0.10676429996965453,2.9022654999668396e-05,8.521649089173236e-06,0.0,0.0,0.0
43,False,False,1,1.0,0.10149420000379905,2.7588846680656488e-05,8.100653444360711e-06,0.0,0.0,0.0
44,False,True,0,0.0,0.09887470002286136,2.6877225562930103e-05,7.891706831799636e-06,0.0,0.0,0.0
45,False,True,0,0.0,0.10588569997344166,2.8785624436245092e-05,8.452052035253618e-06,0.0,0.0,0.0
46,True,True,1,1.0,0.10553599992999807,2.8689319976385577e-05,8.423775062914094e-06,0.0,0.0,0.0
47,False,True,0,0.0,0.11024649994214997,2.9970959425231237e-05,8.800090794263582e-06,0.0,0.0,0.0
48,False,True,0,0.0,0.11345679993974045,3.084599165045397e-05,9.05701827264734e-06,0.0,0.0,0.0
49,True,True,1,1.0,0.12924100004602224,3.513434112020251e-05,1.0316165974790948e-05,0.0,0.0,0.0
50,True,True,1,1.0,0.12455809995299205,3.3866216108435764e-05,9.943818360432325e-06,0.0,0.0,0.0
51,False,True,0,0.0,0.1228467000182718,3.3394284436750844e-05,9.805249504474393e-06,0.0,0.0,0.0
52,False,False,1,1.0,0.12833919998956844,3.488679387826576e-05,1.0243481007519629e-05,0.0,0.0,0.0
53,True,True,1,1.0,0.125449400045909,3.4104931689216754e-05,1.0013910170142947e-05,0.0,0.0,0.0
