qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,False ,False,False,1,1.0,0.13633419999678154,3.840127597790123e-05,1.1275405315740792e-05,0.0,0.0,0.0
1,False ,False,True,0,0.0,0.2908362000162015,7.958472427313743e-05,2.336771370923968e-05,0.0,0.0,0.0
2,True ,True,True,1,1.0,0.3587980000011157,9.968189309780685e-05,2.926865628019543e-05,0.0,0.0,0.0
3,False ,False,True,0,0.0,0.3595785999932559,0.00010004455823351447,2.9375142231374365e-05,0.0,0.0,0.0
4,True ,True,True,1,1.0,0.4187883000122383,0.00011652856811181461,3.42151869401353e-05,0.0,0.0,0.0
5,False ,False,False,1,1.0,0.35626360001333524,9.895736531176247e-05,2.905592000406575e-05,0.0,0.0,0.0
6,True ,True,True,1,1.0,0.39997430000221357,0.00011116191173987972,3.263942612899217e-05,0.0,0.0,0.0
7,True ,True,True,1,1.0,0.341568499992718,9.496969586935356e-05,2.7885058149000594e-05,0.0,0.0,0.0
8,True ,True,True,1,1.0,0.17728139998507686,4.966368759162481e-05,1.458228126044944e-05,0.0,0.0,0.0
9,False ,False,True,0,0.0,0.3289376999891829,8.91601634857413e-05,2.6179259821938593e-05,0.0,0.0,0.0
10,False ,False,True,0,0.0,0.3938051000004634,0.00010835922258866474,3.181649888636189e-05,0.0,0.0,0.0
11,False ,False,False,1,1.0,0.3391835000074934,9.36529459813812e-05,2.7498433269793754e-05,0.0,0.0,0.0
12,False ,False,True,0,0.0,0.34369509998941794,9.53676263518464e-05,2.8001898732115e-05,0.0,0.0,0.0
13,False ,False,True,0,0.0,0.3815734999952838,0.00010503234641395341,3.08396595405355e-05,0.0,0.0,0.0
14,True ,True,True,1,1.0,0.3218434000009438,8.910574106771381e-05,2.616328027943913e-05,0.0,0.0,0.0
15,False ,False,True,0,0.0,0.3591411999950651,9.963344746207037e-05,2.9254431644039537e-05,0.0,0.0,0.0
