qid,raw_pred,pred,gold,em,energy_kWh,time (s)
0,True,true,false,0,6.5259161577242705e-06,1.1969094276428223
1,False,false,true,0,9.763729087234274e-06,0.6476554870605469
2,True,true,true,1,1.3249861482521908e-05,0.5742464065551758
3,True,true,true,1,1.654661053008054e-05,0.6003954410552979
4,True,true,true,1,2.011643532091924e-05,0.5978169441223145
5,False,false,false,1,2.3911568934157285e-05,0.5959882736206055
6,True,true,true,1,2.7879500382584917e-05,0.6009860038757324
7,True,true,true,1,3.22988803869587e-05,0.6015183925628662
8,True,true,true,1,3.694995734412322e-05,0.5618464946746826
9,True,true,true,1,4.2983238114705035e-05,0.5991132259368896
10,True,true,true,1,4.93889128940877e-05,0.6135764122009277
11,True,true,false,0,5.572960775276414e-05,0.5994699001312256
12,True,true,true,1,6.23656160827003e-05,0.5996975898742676
13,True,true,true,1,6.935994834513229e-05,0.5996723175048828
14,True,true,true,1,7.687795287880736e-05,0.6142358779907227
15,True,true,true,1,8.407482754148576e-05,0.5986437797546387
16,True,true,true,1,9.163972817034352e-05,0.6106834411621094
17,True,true,true,1,9.941630523832695e-05,0.5770218372344971
18,True,true,true,1,0.00010440330731784318,0.6145031452178955
19,True,true,true,1,0.00010716643988114085,0.5766584873199463
20,True,true,false,0,0.00010994653677552384,0.615349531173706
21,True,true,true,1,0.00011314973083455808,0.614835262298584
22,True,true,true,1,0.00011737203958471967,0.5741581916809082
23,True,true,true,1,0.00012179273426772403,0.5976145267486572
24,True,true,true,1,0.0001264113921620747,0.612861156463623
25,True,true,true,1,0.00013098949570757772,0.5988717079162598
26,True,true,true,1,0.00013589755694327313,0.5994491577148438
27,True,true,false,0,0.00014133814464079518,0.6407849788665771
28,True,true,true,1,0.00014690115338708231,0.5770325660705566
29,True,true,true,1,0.00015265190277152503,0.6003885269165039
30,True,true,true,1,0.00015874086223629852,0.6006903648376465
31,True,true,true,1,0.00016510112058955472,0.57657790184021
32,False,false,false,1,0.00017219287628970358,0.5966548919677734
33,True,true,true,1,0.00018058961819569268,0.5965368747711182
34,True,true,true,1,0.00018926308234592246,0.598865270614624
35,True,true,true,1,0.00019730163720561928,0.6099538803100586
36,True,true,false,0,0.00020002358328192316,0.6017825603485107
37,True,true,true,1,0.00020293060706411082,0.6144371032714844
38,True,true,false,0,0.0002059298567368459,0.6365838050842285
39,True,true,false,0,0.00020859954733376825,0.5739736557006836
40,True,true,true,1,0.00021352130457054954,0.6524178981781006
41,False,false,false,1,0.00021777123698174983,0.6117572784423828
42,True,true,true,1,0.0002221277694939286,0.6034142971038818
43,True,true,false,0,0.00022671619171333728,0.5761651992797852
44,True,true,true,1,0.0002316489148351568,0.6227309703826904
45,True,true,true,1,0.00023701673274174206,0.6235530376434326
46,True,true,true,1,0.00024293793816150338,0.6248416900634766
47,True,true,true,1,0.000249766261016705,0.6421542167663574
48,True,true,true,1,0.0002570241364736312,0.6155779361724854
49,True,true,true,1,0.0002644025806591219,0.6003694534301758
