qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,True,1,1.0,239.3629216349982,0.0024890280532246247,0.0007308298859263773,3.178032253999845,1.970703440374564e-05,5.78639107204022e-06
1,False,True,0,0.0,550.2250176650014,0.007681578999006881,0.0022554697590915504,7.0555387860003975,4.825048065138819e-05,1.416733460463114e-05
2,False,False,1,1.0,58.47820936699645,0.0007987473220530285,0.00023452866009434777,19.754534252999292,0.00013804356927151428,4.05324342780584e-05
3,False,True,0,0.0,226.97037695799736,0.003161764978610166,0.0009283592989842247,4.452077291000023,2.908594662792085e-05,8.540232814413259e-06
4,True,True,1,1.0,58.167092985000636,0.000791194848612038,0.00023231109838539463,21.52841684699888,0.00015110215927788785,4.436670518245951e-05
5,True,True,1,1.0,114.239134681,0.001578759838251211,0.000463556395436959,12.661400269000296,8.951561894307412e-05,2.6283628863098218e-05
6,False,False,1,1.0,78.4443198739973,0.001080234756097973,0.0003171791666028054,14.629217369001708,0.00010400090120180167,3.05368059886201e-05
7,False,False,1,1.0,113.26079510400086,0.0015631867666456593,0.0004589838209614469,10.385023886999988,7.275845545306312e-05,2.13633806296609e-05
8,True,True,1,1.0,58.742893201997504,0.0008048606169924401,0.00023632364936231376,20.779959507999592,0.0001455922580079197,4.274888471981765e-05
9,True,True,1,1.0,62.1293518320017,0.0009591132903868037,0.00028161541035897773,4.213796019997972,2.733174567555276e-05,8.025163295510005e-06
10,False,True,0,0.0,523.1707711529998,0.007308578529264058,0.002145949141033642,18.013214138001786,0.00012522711693432336,3.6769259978984e-05
11,True,True,1,1.0,65.51946912000494,0.0008984460694284773,0.0002638022651374913,14.492792331999226,0.00010299638743721315,3.0241860064232216e-05
12,False,False,1,1.0,78.24072163200253,0.001075286029073255,0.0003157261184532396,10.309172682998906,7.220058921291235e-05,2.1199579614994406e-05
13,False,True,0,0.0,109.01093164399936,0.0015077981273349716,0.000442720575998577,14.424197671000002,0.00010249090483153851,3.009343996323562e-05
14,True,True,1,1.0,64.84668982699804,0.0008891226815769777,0.00026106472649419177,16.514113571000053,0.00011419028660584141,3.3528619344378295e-05
