qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,True,1,1.0,13.752064299995254,0.0037435814922214677,0.001099192607078827,0.03659759999572998,9.946389443979973e-06,2.9204647385576086e-06
1,True,True,1,1.0,2.6291839000041364,0.0007156860738885977,0.00021014016738842193,0.028451400001358707,7.729782778349342e-06,2.2696233812302924e-06
2,False,False,1,1.0,2.066129999999248,0.0005624131605565506,0.00016513608411947598,0.021912299998803064,5.950068334722245e-06,1.7470625759663846e-06
3,True,True,1,1.0,6.3359062999952585,0.0017247433338876967,0.0005064201555801712,0.005452800003695302,1.470297777794056e-06,4.317097012349596e-07
4,True,True,1,1.0,5.7184472999942955,0.0015566542422203685,0.0004570657372844222,0.06315539999923203,1.7175891665909956e-05,5.043195447563708e-06
5,True,True,1,1.0,16.14556810000795,0.004395124030555437,0.001290498911702395,0.017273400000703987,4.687107221980113e-06,1.3762311886869237e-06
6,False,False,1,1.0,7.678738499998872,0.0020902860594446083,0.0006137510263889084,0.014031899998371955,3.802594442944003e-06,1.1165200244973873e-06
7,False,False,1,1.0,3.655780200002482,0.00099515063111026,0.0002921967156101953,0.015415199995914008,4.184246110889944e-06,1.2285808124773336e-06
8,True,True,1,1.0,5.405496400002448,0.0014714591866652983,0.0004320507147931573,0.03348339999502059,9.100760555278005e-06,2.6721706851959144e-06
9,True,True,1,1.0,5.984441299995524,0.0016290649116668646,0.0004783270007815836,0.01368400000501424,3.708609445149907e-06,1.0889240939783784e-06
10,True,True,1,1.0,2.115844500003732,0.0005759417088898772,0.00016910834446519027,0.02527370000461815,6.865385000087877e-06,2.0158183954393875e-06
11,True,True,1,1.0,8.55552849999367,0.0023289718511096,0.0006838340894017101,0.05876090000674594,1.5978426668273942e-05,4.6915950682552555e-06
12,False,False,1,1.0,5.833109299994248,0.0015878653844445783,0.000466229971284035,0.01295659999595955,3.511784443334262e-06,1.031132220785937e-06
13,False,True,0,0.0,5.414160199994512,0.0014738218838880129,0.00043274445134607324,0.027873300001374446,7.570617223488321e-06,2.2228890970779754e-06
14,True,True,1,1.0,9.642792599996028,0.002624950390556478,0.0007707394828304344,0.038551199999346863,1.0478182221292323e-05,3.0766100476778276e-06
15,True,True,1,1.0,4.447487300007197,0.0012106709977782479,0.00035547793286394157,0.01856259999476606,5.037568887766812e-06,1.4791339498256095e-06
16,True,True,1,1.0,8.000662599995849,0.0021779238422237543,0.0006394832838893198,0.03742510000301991,1.0170240556342631e-05,2.986192034278743e-06
17,False,False,1,1.0,2.4052430000010645,0.0006547297877777358,0.00019224214668625173,0.012521700002253056,3.393419443980545e-06,9.96377819820756e-07
18,False,False,1,1.0,5.39751399999659,0.0014692883722207623,0.0004314133189748128,0.02826179999829037,7.676982776360494e-06,2.254120213485586e-06
19,False,False,1,1.0,5.692633400001796,0.001549625769998278,0.00045500203312260994,0.04940889999852516,1.3433263332182025e-05,3.944282707444275e-06
20,True,True,1,1.0,3.816149599995697,0.0010388117305569016,0.00030501651339699416,0.01349820000177715,3.6605616681400633e-06,1.0748162773366064e-06
21,True,True,1,1.0,5.376866200000222,0.0014636668449989681,0.00042976272283431794,0.02749700000276789,7.468997779223071e-06,2.1930515358805194e-06
22,True,True,1,1.0,7.61830490000284,0.0020738332244446306,0.0006089201352663188,0.0155598999990616,4.220436666906204e-06,1.2392071048932467e-06
23,True,True,1,1.0,6.9089271999910125,0.001880726321110908,0.0005522199723444329,0.02168099999835249,5.886905555720054e-06,1.728516683519266e-06
24,False,False,1,1.0,4.740103399999498,0.0012903275922227797,0.0003788667491353213,0.017873400000098627,4.850528889599242e-06,1.4242151551790878e-06
25,False,False,1,1.0,2.9638866999957827,0.0008068052172205271,0.0002368946240289207,0.017327300003671553,4.701127222991393e-06,1.3803477496579771e-06
26,True,True,1,1.0,3.682506300006935,0.001002426183334521,0.00029433296754806295,0.015393900001072325,4.174822221547301e-06,1.2258137645268923e-06
27,False,False,1,1.0,5.166657999994641,0.001406447133332444,0.0004129618373256917,0.025570300000254065,6.943586665592091e-06,2.038780014616662e-06
28,False,False,1,1.0,3.8759881000005407,0.001055095511665584,0.00030979776681625183,0.03716870000062045,1.0100981666780877e-05,2.9658561982514112e-06
29,True,True,1,1.0,6.515061399994011,0.0017735067899988884,0.0005207381103420504,0.02518180000333814,6.8390788898492855e-06,2.0080943798261726e-06
30,True,True,1,1.0,4.224427700006345,0.0011499482411113906,0.000337648481214941,0.014659000000392552,3.975714444216768e-06,1.1673516214405539e-06
31,False,False,1,1.0,4.138505900009477,0.0011265577183337074,0.0003307805421126773,0.031909400000586174,8.67066111249086e-06,2.5458846329748864e-06
32,False,False,1,1.0,2.1724335000035353,0.0005913483211112582,0.00017363204303808366,0.03499239999655401,9.508349444715553e-06,2.7918471754574806e-06
33,True,True,1,1.0,14.478904999996303,0.003941442519444009,0.001157288678662668,0.03030189999844879,8.232622223214195e-06,2.4172673957900184e-06
34,True,True,1,1.0,3.1267996999958996,0.0008511545838875867,0.0002499165112431703,0.01459679999970831,3.9607772215984175e-06,1.16296574531992e-06
35,False,False,1,1.0,3.759835500000918,0.0010234768094445623,0.0003005138648098472,0.14664210000046296,3.9896091667348326e-05,1.1714313980664944e-05
36,True,True,1,1.0,8.742154400002619,0.0023797735361100617,0.0006987505101329492,0.011821900006907526,3.2031633351531734e-06,9.405147088642656e-07
37,True,True,1,1.0,10.487519400005112,0.002854902058333149,0.0008382580272325688,0.02562529999704566,6.959503333119856e-06,2.043453475929633e-06
38,True,True,1,1.0,5.291684499999974,0.0014404799416682281,0.00042295457059423496,0.044335999999020714,1.2052769444239353e-05,3.538941277346639e-06
39,True,True,1,1.0,7.760374699995737,0.002112511668333536,0.0006202769227876636,0.009186500006762799,2.4864694450823463e-06,7.300786258936391e-07
40,False,False,1,1.0,3.6392380999968736,0.0009906469522199283,0.00029087434275650004,0.017777500004740432,4.824072779229027e-06,1.4164470964387009e-06
41,False,False,1,1.0,4.888142800009518,0.0013306290400010362,0.0003907000840164983,0.004149100001086481,1.1159783327861482e-06,3.276742166846143e-07
42,True,True,1,1.0,1.9542380000057165,0.0005319535350017152,0.00015619251088784414,0.053111100001842715,1.4441038332895712e-05,4.240186197907896e-06
43,True,True,1,1.0,6.272406500007492,0.001707440652224856,0.0005013397319788815,0.03542129999550525,9.628083887542339e-06,2.8270036732234226e-06
44,False,True,0,0.0,6.59230010000465,0.0017945400116678987,0.0005269138973015875,0.01948370000172872,5.2872400017804465e-06,1.5524425296695784e-06
45,False,True,0,0.0,3.4678474000029382,0.0009439964072214934,0.00027717678220251594,0.014169900001434144,3.841847223480322e-06,1.1280454490840992e-06
