qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,True,1,1.0,4.121422299998812,0.001121891848332234,0.000329410546609209,0.0,0.0,0.0
1,True,True,1,1.0,0.5662570999993477,0.00015408234500044072,4.524174907311837e-05,0.0,0.0,0.0
2,True,False,0,0.0,0.5988367999998445,0.00016295243000034437,4.784618866560851e-05,0.0,0.0,0.0
3,True,True,1,1.0,0.6181962999980897,0.00016823276333353634,4.939660325517106e-05,0.0,0.0,0.0
4,True,True,1,1.0,0.6063431999973545,0.0001649997633323235,4.8447327886809784e-05,0.0,0.0,0.0
5,True,True,1,1.0,0.63402810000116,0.00017254272777819202,5.066209755900331e-05,0.0,0.0,0.0
6,True,False,0,0.0,0.646732900000643,0.00017600758555603936,5.167945114457449e-05,0.0,0.0,0.0
7,True,False,0,0.0,0.6509633000023314,0.00017715128555587903,5.201526501349972e-05,0.0,0.0,0.0
8,True,True,1,1.0,0.6128896999980498,0.00016676924166650778,4.8966883159578094e-05,0.0,0.0,0.0
9,True,True,1,1.0,0.6333257000005688,0.00017234779944444906,5.060486258660972e-05,0.0,0.0,0.0
10,True,True,1,1.0,0.6202133000006143,0.0001687867372223991,4.955926139535524e-05,0.0,0.0,0.0
11,True,True,1,1.0,0.6002327999995032,0.0001633415811107827,4.796045144431899e-05,0.0,0.0,0.0
12,True,False,0,0.0,0.6591278999985661,0.00017938052833384668,5.2669816593588837e-05,0.0,0.0,0.0
13,True,True,1,1.0,1.525307399999292,0.00041517254777742585,0.00012190320849893494,0.0,0.0,0.0
14,True,True,1,1.0,1.5393153999975766,0.00041897324555553093,0.00012301917162358298,0.0,0.0,0.0
15,True,True,1,1.0,0.594792599997163,0.0001618534422224305,4.752350322567273e-05,0.0,0.0,0.0
16,True,True,1,1.0,0.6690286999983073,0.00018207378111065835,5.346061106338124e-05,0.0,0.0,0.0
17,False,False,1,1.0,0.6013029999994615,0.00016363593722164497,4.8046880459309194e-05,0.0,0.0,0.0
18,False,False,1,1.0,0.6374424999994517,0.00017347298055612757,5.093523892866388e-05,0.0,0.0,0.0
19,True,False,0,0.0,0.6549860000013723,0.00017824580111130975,5.2336637316830645e-05,0.0,0.0,0.0
20,True,True,1,1.0,0.6783802999998443,0.00018461730888840166,5.420744319058465e-05,0.0,0.0,0.0
21,True,True,1,1.0,1.4441654000002018,0.0003930819494444222,0.0001154169539792887,0.0,0.0,0.0
22,True,True,1,1.0,0.6400866000003589,0.00017419403000007552,5.11469538919344e-05,0.0,0.0,0.0
23,True,True,1,1.0,0.5830601000016031,0.00015866338388928448,4.6586836415231933e-05,0.0,0.0,0.0
24,False,False,1,1.0,0.5892625999986194,0.00016034891888848504,4.7081744196441856e-05,0.0,0.0,0.0
25,True,False,0,0.0,0.5657872000047064,0.00015396672555602385,4.520780082361408e-05,0.0,0.0,0.0
26,True,True,1,1.0,0.5989291999976558,0.00016298551944465644,4.785590440777567e-05,0.0,0.0,0.0
27,False,False,1,1.0,0.6963606999997864,0.00018950361888795064,5.564216441638395e-05,0.0,0.0,0.0
28,True,False,0,0.0,0.648313199999393,0.00017642300333261827,5.180142635729883e-05,0.0,0.0,0.0
29,True,True,1,1.0,0.6587070999994467,0.000179262603888411,5.263519154832507e-05,0.0,0.0,0.0
30,True,True,1,1.0,0.6782064999970316,0.00018456345388892967,5.4191630253856316e-05,0.0,0.0,0.0
31,True,False,0,0.0,0.7091534000028332,0.00019298249277835565,5.6663633421196126e-05,0.0,0.0,0.0
32,True,False,0,0.0,0.7464946999971289,0.0002031557627780179,5.9650714962410245e-05,0.0,0.0,0.0
33,True,True,1,1.0,0.6737331000003906,0.00018334995833342365,5.3835322972685395e-05,0.0,0.0,0.0
34,True,True,1,1.0,0.6292682999956014,0.0001712474055549238,5.028176428335278e-05,0.0,0.0,0.0
35,True,False,0,0.0,0.6476777999996557,0.00017625910444427667,5.1753302268976495e-05,0.0,0.0,0.0
36,True,True,1,1.0,0.6534264999972947,0.00017781530777758435,5.2210235610119864e-05,0.0,0.0,0.0
37,True,True,1,1.0,0.5639415999976336,0.00015345317166625641,4.505701082741877e-05,0.0,0.0,0.0
38,True,True,1,1.0,0.560911100001249,0.00015264211388886097,4.481886756416157e-05,0.0,0.0,0.0
39,False,True,0,0.0,0.6543975000022328,0.00017807353944479268,5.228605774464502e-05,0.0,0.0,0.0
40,True,False,0,0.0,0.7469873000009102,0.0002032880666672807,5.968956210845679e-05,0.0,0.0,0.0
41,False,False,1,1.0,0.7850698000002012,0.00021365289055534553,6.273288781543217e-05,0.0,0.0,0.0
42,True,True,1,1.0,0.6581506000002264,0.00017910539722144878,5.258903243399366e-05,0.0,0.0,0.0
