qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,False,True,0,0.0,0.8581199000473134,0.0002335392466658959,6.857193143285389e-05,0.0,0.0,0.0
1,True,True,1,1.0,1.4565767000312917,0.00039645855499095183,0.00011640839489261694,0.0,0.0,0.0
2,True,False,0,0.0,1.3885997000616044,0.0003779479488888884,0.0001109732998046074,0.0,0.0,0.0
3,False,True,0,0.0,1.4427071000100113,0.0003926855422236258,0.0001153005606571726,0.0,0.0,0.0
4,True,True,1,1.0,1.3458402000251226,0.00036631103112659834,0.00010755646114353603,0.0,0.0,0.0
5,True,True,1,1.0,1.3104154999600723,0.0003566814461250841,0.00010472901671234228,0.0,0.0,0.0
6,True,False,0,0.0,1.2900226000347175,0.00035112955055988603,0.00010309886585995141,0.0,0.0,0.0
7,False,False,1,1.0,1.3041155000100844,0.00035496535499664276,0.0001042251370224315,0.0,0.0,0.0
8,True,True,1,1.0,1.2933757999562658,0.0003520442777775719,0.00010336744860544884,0.0,0.0,0.0
9,True,True,1,1.0,1.2302997999940999,0.0003348723616596544,9.83254204606329e-05,0.0,0.0,0.0
10,True,True,1,1.0,1.291575700044632,0.0003515517005580477,0.00010322281779155004,0.0,0.0,0.0
11,True,True,1,1.0,1.3028798999730498,0.0003546299627813925,0.00010412665896225279,0.0,0.0,0.0
12,True,False,0,0.0,1.3268847999861464,0.00036116730110014836,0.00010604615609751762,0.0,0.0,0.0
13,True,True,1,1.0,1.329710200021509,0.00036193022001664054,0.00010627016480002651,0.0,0.0,0.0
14,False,True,0,0.0,1.3395607000566088,0.00036461530445214724,0.00010705856087662427,0.0,0.0,0.0
15,False,True,0,0.0,0.813992099952884,0.0002215396777736411,6.50486109329781e-05,0.0,0.0,0.0
16,True,True,1,1.0,1.3430018999497406,0.00036554784054654494,0.00010733237267501198,0.0,0.0,0.0
17,True,False,0,0.0,1.3407533999998122,0.00036493580278410166,0.0001071526657859998,0.0,0.0,0.0
18,True,False,0,0.0,1.347203699988313,0.000366686277232495,0.00010766664112660674,0.0,0.0,0.0
19,True,False,0,0.0,1.3156471000402234,0.00035809037055361035,0.00010514270593454478,0.0,0.0,0.0
20,False,True,0,0.0,1.3131893000099808,0.00035743129555776247,0.0001049491879453006,0.0,0.0,0.0
21,True,True,1,1.0,1.3119872999959625,0.0003571053822246742,0.0001048534930800964,0.0,0.0,0.0
22,True,True,1,1.0,1.2970390999689698,0.00035304526165063076,0.00010366135808100255,0.0,0.0,0.0
23,True,True,1,1.0,1.296534499968402,0.00035289320220989695,0.00010361671029827403,0.0,0.0,0.0
24,True,False,0,0.0,1.391999100043904,0.0003788893388930268,0.00011124971129319846,0.0,0.0,0.0
25,False,False,1,1.0,1.3643713999772444,0.00037137007778348765,0.00010904190140860683,0.0,0.0,0.0
26,True,True,1,1.0,1.3839841000153683,0.0003767084655542729,0.00011060936197639726,0.0,0.0,0.0
27,True,False,0,0.0,1.3714563000248745,0.00037329660220259233,0.00010960756864551266,0.0,0.0,0.0
28,False,False,1,1.0,1.3958485000184737,0.00037993567500767923,0.00011155693712069421,0.0,0.0,0.0
29,True,True,1,1.0,1.4532587000285275,0.000395567891113266,0.00011614687763921171,0.0,0.0,0.0
30,False,True,0,0.0,1.3350522000691853,0.00036338957390172355,0.00010669866114902496,0.0,0.0,0.0
31,False,False,1,1.0,1.4228185000247322,0.0003872782416583504,0.00011371286587399403,0.0,0.0,0.0
32,True,False,0,0.0,1.4191485000192188,0.0003862822733344122,0.00011342042906693311,0.0,0.0,0.0
33,True,True,1,1.0,1.507103800016921,0.0004102238716719309,0.00012045017530030146,0.0,0.0,0.0
34,True,True,1,1.0,1.4894613000215031,0.0004054215777742986,0.00011904012293193034,0.0,0.0,0.0
35,True,False,0,0.0,1.0797524999361485,0.0002938921605485827,8.629278962529788e-05,0.0,0.0,0.0
36,True,True,1,1.0,0.4523526999983005,0.00012309599388875844,3.6143518372629864e-05,0.0,0.0,0.0
37,True,True,1,1.0,1.2496599999722093,0.0003401301883174003,9.98692266268683e-05,0.0,0.0,0.0
38,True,True,1,1.0,1.5215228000306524,0.0004141445672275344,0.00012160137224319711,0.0,0.0,0.0
39,False,True,0,0.0,1.5664094999665394,0.0004263619277804133,0.0001251886408589985,0.0,0.0,0.0
40,True,False,0,0.0,1.5236948000383563,0.00041472918222587194,0.00012177302724402862,0.0,0.0,0.0
41,False,False,1,1.0,1.5495919000240974,0.00042178703778675606,0.00012384535895911848,0.0,0.0,0.0
42,True,True,1,1.0,0.9206342999241315,0.0002505707305542374,7.357272578354347e-05,0.0,0.0,0.0
43,True,True,1,1.0,1.3888089000247419,0.00037802308610989716,0.00011099536163978338,0.0,0.0,0.0
44,True,True,1,1.0,1.371263800014276,0.0003732452077713485,0.00010959247818227962,0.0,0.0,0.0
45,True,True,1,1.0,1.379477999988012,0.00037548273333781653,0.00011024946175961643,0.0,0.0,0.0
46,True,False,0,0.0,1.3722013999940827,0.0003735005822288157,0.00010966746138119434,0.0,0.0,0.0
47,False,True,0,0.0,1.3700453999917954,0.00037291456667331256,0.00010949539514794131,0.0,0.0,0.0
48,True,False,0,0.0,1.395895899971947,0.0003799507699968267,0.00011156136932031623,0.0,0.0,0.0
49,False,True,0,0.0,1.3798615999985486,0.00037557838554203043,0.00011027754721626835,0.0,0.0,0.0
50,True,False,0,0.0,1.385162299964577,0.0003770286349928938,0.00011070337031591808,0.0,0.0,0.0
51,True,False,0,0.0,1.4630654999637045,0.0003982298799945662,0.00011692849238555315,0.0,0.0,0.0
52,True,False,0,0.0,1.4980966000002809,0.0004077707205569216,0.00011972987962214718,0.0,0.0,0.0
53,False,True,0,0.0,1.5341936000040732,0.0004175934349953119,0.00012261403083257483,0.0,0.0,0.0
54,True,True,1,1.0,1.4714809999568388,0.0004005255216703517,0.00011760254004920588,0.0,0.0,0.0
55,False,False,1,1.0,1.4524198999861255,0.00039533743833146417,0.00011607921195741376,0.0,0.0,0.0
56,False,False,1,1.0,1.487235500011593,0.0004048143494473252,0.00011886182819219917,0.0,0.0,0.0
57,True,True,1,1.0,1.5266900999704376,0.0004155559544435366,0.00012201578459051179,0.0,0.0,0.0
58,True,True,1,1.0,1.5095090999966487,0.0004108841449998888,0.00012064404514452702,0.0,0.0,0.0
59,True,False,0,0.0,1.08342909993371,0.0002948857555528068,8.658452957682367e-05,0.0,0.0,0.0
60,True,True,1,1.0,1.4785368000157177,0.00040244365721494734,0.00011816574413982753,0.0,0.0,0.0
61,True,True,1,1.0,0.822886300040409,0.00022396191166545678,6.575982867781198e-05,0.0,0.0,0.0
62,True,True,1,1.0,1.372380000015255,0.00037355064501203337,0.00010968216084514804,0.0,0.0,0.0
63,True,True,1,1.0,1.37863919994561,0.00037525396665894525,0.00011018229115235603,0.0,0.0,0.0
64,True,True,1,1.0,1.3788712000241503,0.0003753160722194782,0.0001102005266236923,0.0,0.0,0.0
65,True,False,0,0.0,1.375862099986989,0.0003744989344510638,0.0001099605981498839,0.0,0.0,0.0
66,True,False,0,0.0,1.3813199000433087,0.00037599333943411084,0.00011039938622295249,0.0,0.0,0.0
67,True,True,1,1.0,1.3803510999423452,0.0003757164216652098,0.00011031807746422043,0.0,0.0,0.0
68,False,False,1,1.0,1.3864183999830857,0.00037736999722449884,0.00011080360129582218,0.0,0.0,0.0
69,False,True,0,0.0,1.4186844999785535,0.00038615381890041235,0.00011338271220021268,0.0,0.0,0.0
70,True,True,1,1.0,1.381019100022968,0.0003758990861129455,0.00011037171150716685,0.0,0.0,0.0
71,True,True,1,1.0,1.4069364999886602,0.00038295010444384795,0.0001124420356707544,0.0,0.0,0.0
72,True,True,1,1.0,1.4340465999557637,0.00039033669664964284,0.00011461089123353202,0.0,0.0,0.0
73,True,True,1,1.0,1.4340190999791957,0.0003903290672234208,0.00011460865107690207,0.0,0.0,0.0
74,True,False,0,0.0,1.1075985999195836,0.0003014705555309774,8.851796243253611e-05,0.0,0.0,0.0
75,False,True,0,0.0,1.536476399982348,0.0004182254177818928,0.00012279959399134517,0.0,0.0,0.0
76,True,True,1,1.0,1.5341496999608353,0.00041758266556522956,0.0001226108687061583,0.0,0.0,0.0
77,True,True,1,1.0,1.4838160000508651,0.0004038852750087648,0.00011858903280724137,0.0,0.0,0.0
78,False,False,1,1.0,1.0638384000048973,0.000289556229453107,8.501967097812722e-05,0.0,0.0,0.0
79,True,True,1,1.0,1.422732399951201,0.0003872587183131448,0.00011370713341785273,0.0,0.0,0.0
80,True,True,1,1.0,1.5064981000032276,0.00041006225999477055,0.00012040272278427598,0.0,0.0,0.0
81,True,True,1,1.0,1.2508806000114419,0.0003404729888832662,9.996987993132693e-05,0.0,0.0,0.0
82,True,False,0,0.0,1.5584437000215985,0.0004241981455674654,0.00012455330984864304,0.0,0.0,0.0
83,False,True,0,0.0,1.540981300000567,0.0004194499372336496,0.00012315913811543916,0.0,0.0,0.0
84,True,False,0,0.0,1.5580009999102913,0.0004240755144335304,0.0001245173028227244,0.0,0.0,0.0
85,True,False,0,0.0,1.5289964000112377,0.000416181085560432,0.00012219933595798544,0.0,0.0,0.0
86,False,True,0,0.0,1.4996175999986008,0.0004082001105510344,0.00011985595736562978,0.0,0.0,0.0
87,False,False,1,1.0,1.5213672000099905,0.0004141041922243958,0.00012158951731094764,0.0,0.0,0.0
88,True,True,1,1.0,1.509679400071036,0.00041092093056164836,0.00012065484614288043,0.0,0.0,0.0
89,True,False,0,0.0,1.4666761999833398,0.0003992157577789233,0.00011721796640242717,0.0,0.0,0.0
90,True,False,0,0.0,1.4442677000188269,0.0003931154772319132,0.00011542679842803877,0.0,0.0,0.0
91,True,False,0,0.0,1.369007600005716,0.0003726339455567844,0.0001094129990100934,0.0,0.0,0.0
92,True,True,1,1.0,1.3791148999589495,0.00037538306944123983,0.00011022019838748539,0.0,0.0,0.0
93,True,True,1,1.0,1.3784293999779038,0.0003751980788934614,0.00011016588135367163,0.0,0.0,0.0
94,True,False,0,0.0,1.381093299947679,0.0003759217644255841,0.00011037837032670777,0.0,0.0,0.0
