qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,True,1,1.0,2.2039726999937557,0.0005999463444456018,0.0001761565997237706,0.022122099995613098,5.99905332395186e-06,1.7614455774132363e-06
1,False,True,0,0.0,1.2902312999940477,0.00035120164332814357,0.00010312003378111387,0.015924700011964887,4.310839450206712e-06,1.2657512234785482e-06
2,False,False,1,1.0,1.3548643999965861,0.000368800512783087,0.00010828742421672051,0.013652499997988343,3.6932744515878667e-06,1.0844214241185077e-06
3,False,True,0,0.0,1.7879039000254124,0.0004866833250099767,0.00014290024511315233,0.006793700042180717,1.8273733407517688e-06,5.365544387642925e-07
4,True,True,1,1.0,2.0190353999496438,0.0005496039944438961,0.00016137504920595006,0.014684800000395626,3.9748622211239615e-06,1.1671013911930914e-06
5,False,True,0,0.0,3.9505508999573067,0.0010754049011088985,0.0003157610217304994,0.011927899962756783,3.2303483251275285e-06,9.484967816641799e-07
6,No,False,0,0.0,2.1601017999928445,0.0005880056472149187,0.0001726505651559095,0.012564599979668856,3.3977894384103514e-06,9.97660940164256e-07
7,False,False,1,1.0,1.6450318000279367,0.00044779114055693047,0.00013148069896122222,0.013573399977758527,3.672869994059308e-06,1.0784302552569649e-06
8,False,True,0,0.0,2.1540876000071876,0.0005863564438894778,0.0001721663251021906,0.014793700014706701,4.005940563446428e-06,1.1762266324071803e-06
9,False,True,0,0.0,2.3462330999900587,0.0006386690516687749,0.00018752638387144576,0.015127899998333305,4.090924997581169e-06,1.2011798121127067e-06
10,True,True,1,1.0,1.431841399986297,0.000389747747777599,0.00011443796371814518,0.01504430000204593,4.070422229253583e-06,1.1951597771763337e-06
11,True,True,1,1.0,2.78502720000688,0.0007581226877732357,0.00022260043100185613,0.020199200022034347,5.468845559516922e-06,1.6057656607095028e-06
12,False,False,1,1.0,2.295921500015538,0.0006249756194450634,0.0001835057102205279,0.010814599983859807,2.9243805533042174e-06,8.586583439297867e-07
13,False,True,0,0.0,2.107494299998507,0.0005736751555546005,0.00016844283773724466,0.01903140003560111,5.149773894097759e-06,1.5120796500040293e-06
14,True,True,1,1.0,3.103091799945105,0.0008446996533305436,0.00024802121072353374,0.011462000024039298,3.0999011169317074e-06,9.101947954082769e-07
15,True,True,1,1.0,1.9021542000118643,0.0005177847499959171,0.00015203226387251317,0.017832999990787357,4.828088880620069e-06,1.417626306499303e-06
16,False,True,0,0.0,2.545789700001478,0.0006929999055518742,0.0002034790412527986,0.011718199995812029,3.1701127785102776e-06,9.308103849174793e-07
17,False,False,1,1.0,1.5037631000159308,0.0004093322311233755,0.00012018837127621909,0.013407199992798269,3.625762217173663e-06,1.0645984420064154e-06
18,False,False,1,1.0,2.023454700014554,0.0005508055155579414,0.00016172784054455238,0.01717480004299432,4.648955564415599e-06,1.365029076477038e-06
19,False,False,1,1.0,1.9723179999855347,0.0005368878616585992,0.0001576413307929079,0.01926550001371652,5.216116113458863e-06,1.531559091605728e-06
20,False,True,0,0.0,1.639944499998819,0.00044640695888180436,0.00013107427472087537,0.013883700012229383,3.7521127773086644e-06,1.101697568041e-06
21,False,True,0,0.0,2.125330800015945,0.000578531532789283,0.0001698687700869586,0.015788499964401126,4.27416499911083e-06,1.2549828495037788e-06
22,True,True,1,1.0,2.3555982999969274,0.0006412218083333251,0.00018827592578983998,0.016666799958329648,4.5102438824768696e-06,1.3243004705633347e-06
23,True,True,1,1.0,2.3688985999906436,0.0006448397044457832,0.0001893382145815375,0.017368400003761053,4.699376119727579e-06,1.3798335896842153e-06
24,False,False,1,1.0,1.7797599000041373,0.00048446880499799995,0.00014225001644030234,0.017691199958790094,4.7884472228664285e-06,1.4059866995545392e-06
25,False,False,1,1.0,1.5623459999915212,0.00042527786999902063,0.00012487033917345244,0.015437499969266355,4.179530546470131e-06,1.2271962256694246e-06
26,False,True,0,0.0,1.7535986000439152,0.00047734169333675205,0.0001401573497081511,0.01180390000808984,3.190622781726739e-06,9.368325441661937e-07
27,False,False,1,1.0,2.079588100023102,0.0005660807683420394,0.0001662129692819469,0.014713599986862391,3.987762209726497e-06,1.1708890934596967e-06
