qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,True,1,1.0,6.5029411999857984,0.001770182271667161,0.0005197619633074723,0.03937240003142506,1.068793667460947e-05,3.1381982740506566e-06
1,True,True,1,1.0,2.442972599994391,0.000664972051669934,0.00019524948625491005,0.03119100001640618,8.464432212187805e-06,2.4853315815587155e-06
2,False,False,1,1.0,2.0535691000404768,0.0005589617761168887,0.0001641226865834143,0.02473689999897033,6.7037838889518745e-06,1.9683689818162286e-06
3,False,True,0,0.0,7.637010900012683,0.0020788881683385827,0.0006104043708757146,0.007914300018455833,2.12570333678741e-06,6.24150268264358e-07
4,True,True,1,1.0,5.818512399971951,0.001583864566104603,0.0004650552486419064,0.06447090004803613,1.7516686122528174e-05,5.143259717041091e-06
5,True,True,1,1.0,15.09602040000027,0.004109289773338242,0.0012065720884087562,0.018081200018059462,4.895210562972352e-06,1.4373346144844836e-06
6,False,False,1,1.0,7.001041800074745,0.001905767572785003,0.0005595725994394644,0.017281799984630197,4.676729441012463e-06,1.373184058514594e-06
7,False,False,1,1.0,3.4043578000273556,0.0009266784644443153,0.000272091877623828,0.019652899994980544,5.317307766785639e-06,1.5612710445753615e-06
8,True,True,1,1.0,4.99853979999898,0.0013606473733312062,0.0003995140847646885,0.038572999997995794,1.0469001674856472e-05,3.073914450215291e-06
9,True,True,1,1.0,5.681098399974871,0.0015464585522270578,0.0004540720727714415,0.017314700002316386,4.6833938867267636e-06,1.3751408769983529e-06
10,False,True,0,0.0,2.0827650999999605,0.0005669105955719715,0.000166456623642935,0.02950940001755953,8.005426669519188e-06,2.350558103231106e-06
11,True,True,1,1.0,7.768489300040528,0.002114693290002308,0.0006209174918295662,0.06654850003542379,1.80866872270902e-05,5.310623777757598e-06
12,False,False,1,1.0,5.565454599971417,0.0015149775361050462,0.0004448285982386859,0.015913099981844425,4.303854994941503e-06,1.263700443601593e-06
13,False,True,0,0.0,4.948838699958287,0.0013471204066710521,0.0003955422888307846,0.03221160004613921,8.741243901830685e-06,2.5666091932363755e-06
14,True,True,1,1.0,9.126262800011318,0.002484304099438466,0.0007294428358277707,0.041910900035873055,1.1381882231863629e-05,3.341954978114371e-06
