qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,True,1,1.0,18.232793200062588,0.004963300531676699,0.0014573272312798065,0.0,0.0,0.0
1,True,True,1,1.0,5.7750239999732,0.0015720444661086528,0.00046158462390527994,0.0,0.0,0.0
2,False,False,1,1.0,7.346458399959374,0.001999805392759542,0.0005871840396382684,0.0,0.0,0.0
3,True,True,1,1.0,5.1062192999525,0.001389968888878098,0.00040812348546411464,0.0,0.0,0.0
4,True,True,1,1.0,4.652159399993252,0.0012663738127665256,0.00037183342627468104,0.0,0.0,0.0
5,True,True,1,1.0,0.5625284000416286,0.0001530848666692489,4.4948868896836504e-05,0.0,0.0,0.0
6,False,False,1,1.0,6.084767299995292,0.00165635993166264,0.00048634138066132315,0.0,0.0,0.0
7,False,False,1,1.0,15.320402699988335,0.004170479317229345,0.0012245385983980213,0.0,0.0,0.0
8,False,True,0,0.0,1.3471986999502406,0.00036669201999644027,0.00010766832732034551,0.0,0.0,0.0
9,True,True,1,1.0,2.957452500006184,0.0008050387966592097,0.00023637596658122615,0.0,0.0,0.0
10,True,True,1,1.0,15.043724699993618,0.004095170277772316,0.0012024263137878491,0.0,0.0,0.0
11,True,True,1,1.0,3.131547400087584,0.0008524345939073504,0.0002502923485405911,0.0,0.0,0.0
12,False,False,1,1.0,8.36648550000973,0.002277495583889281,0.0006687195974409615,0.0,0.0,0.0
13,True,True,1,1.0,11.891538699972443,0.0032370934433400785,0.0009504772872544851,0.0,0.0,0.0
14,False,True,0,0.0,10.446321900002658,0.0028436750761120086,0.0008349615540870196,0.0,0.0,0.0
15,True,True,1,1.0,2.861424899951089,0.0007788996399975278,0.00022870097197579385,0.0,0.0,0.0
16,False,True,0,0.0,15.242402900010347,0.004149252149434243,0.0012183058648624807,0.0,0.0,0.0
17,True,False,0,0.0,15.116136000026017,0.004114871801122596,0.0012082110867011186,0.0,0.0,0.0
18,False,False,1,1.0,11.761861199978739,0.003201787843321088,0.0009401108361407609,0.0,0.0,0.0
19,True,False,0,0.0,1.7512632999569178,0.000476674845005295,0.0001399615493075178,0.0,0.0,0.0
20,True,True,1,1.0,15.079455400002189,0.004104893422218609,0.0012052812291984346,0.0,0.0,0.0
21,True,True,1,1.0,3.402725199935958,0.0009262520844349637,0.0002719666836738474,0.0,0.0,0.0
22,True,True,1,1.0,5.070428000006359,0.0013802388216604918,0.0004052665373853308,0.0,0.0,0.0
23,True,True,1,1.0,9.8713411000208,0.00268714684944781,0.0007890016437963135,0.0,0.0,0.0
24,True,False,0,0.0,15.153631799912546,0.004125085449422477,0.0012112100241426728,0.0,0.0,0.0
25,True,False,0,0.0,15.273308100004215,0.004157665196109317,0.0012207761085923062,0.0,0.0,0.0
26,False,True,0,0.0,5.235815900028683,0.0014252654855728098,0.00041848729301645067,0.0,0.0,0.0
27,True,False,0,0.0,3.1387940000277013,0.0008543875849951292,0.0002508657869363727,0.0,0.0,0.0
28,True,False,0,0.0,2.1963123999303207,0.0005978353994319655,0.0001755367828030597,0.0,0.0,0.0
29,True,True,1,1.0,15.49406260001706,0.004217754198360489,0.0012384194768957535,0.0,0.0,0.0
30,True,True,1,1.0,15.28069330001017,0.004159672848332816,0.0012213655966230173,0.0,0.0,0.0
31,False,False,1,1.0,7.730858999944758,0.002104445737219713,0.0006179085993337883,0.0,0.0,0.0
32,False,False,1,1.0,4.03807680006139,0.0010992066955614267,0.00032274971866464943,0.0,0.0,0.0
33,False,True,0,0.0,6.011038600059692,0.0016362888711145692,0.00048044810401795047,0.0,0.0,0.0
34,False,True,0,0.0,18.666518500016537,0.005081351010553771,0.001491989282557016,0.0,0.0,0.0
35,False,False,1,1.0,5.57903930003522,0.00151868242721539,0.00044591643055300403,0.0,0.0,0.0
36,False,True,0,0.0,7.4680155999958515,0.0020329010172171467,0.000596901596423407,0.0,0.0,0.0
37,True,True,1,1.0,3.798859199974686,0.0010340688405429117,0.00030362390323199624,0.0,0.0,0.0
38,False,True,0,0.0,20.701154200010933,0.005635207597767456,0.0016546129805617652,0.0,0.0,0.0
39,True,True,1,1.0,20.89778929995373,0.005688751033883051,0.0016703344358735164,0.0,0.0,0.0
40,False,False,1,1.0,12.000541299988981,0.0032667543711063143,0.0009591863463700643,0.0,0.0,0.0
41,True,False,0,0.0,11.369568900030572,0.0030949807338956615,0.0009087500696373927,0.0,0.0,0.0
42,True,True,1,1.0,5.254477099981159,0.0014303129772235276,0.00041996934049379,0.0,0.0,0.0
43,True,True,1,1.0,14.28408249997301,0.003888367019442052,0.0011417046190287624,0.0,0.0,0.0
44,False,True,0,0.0,21.25601439998718,0.005786230616100754,0.001698956448333368,0.0,0.0,0.0
45,False,True,0,0.0,21.348780300002545,0.005811515393327377,0.0017063805795448533,0.0,0.0,0.0
46,True,False,0,0.0,2.533524199970998,0.00068961412944223,0.00020248490767331653,0.0,0.0,0.0
47,True,True,1,1.0,5.11955579998903,0.0013935956572095163,0.0004091883793219793,0.0,0.0,0.0
48,True,False,0,0.0,21.323445499991067,0.005804602745002032,0.0017043508836639587,0.0,0.0,0.0
49,True,True,1,1.0,20.562709900026675,0.005597526331102967,0.0016435489848055534,0.0,0.0,0.0
50,True,False,0,0.0,21.28900769999018,0.0057952472538768144,0.0017016039188384837,0.0,0.0,0.0
