qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,False,False,1,1.0,12.072604400018463,0.0032863866066660395,0.0009649507749613797,0.02032040001358837,5.513311672580635e-06,1.6188218270696375e-06
1,True,True,1,1.0,10.41661629997543,0.002835594252216106,0.0008325888578056809,0.022525499982293695,6.1132249960792245e-06,1.7949687311634584e-06
2,True,True,1,1.0,3.214257399988128,0.0008749597805519846,0.0002569062071367773,0.03445569999166764,9.360842776206685e-06,2.7485361803965554e-06
3,True,True,1,1.0,5.248563799978001,0.0014287356488810877,0.00041950620441499805,0.01358190001337789,3.678783895156812e-06,1.0801666983873945e-06
4,True,True,1,1.0,4.626128699979745,0.001259291103884041,0.00036975379711263524,0.009299099998315796,2.5129761123227785e-06,7.378615291720962e-07
5,False,False,1,1.0,4.076750900014304,0.0011097427127790677,0.0003258433102580873,0.10887339999317192,2.9618301662816925e-05,8.696543213937037e-06
6,True,True,1,1.0,7.158403200010071,0.0019486354683288176,0.0005721594962281936,0.028718199988361448,7.799242220062297e-06,2.2900181034986185e-06
7,True,True,1,1.0,5.788798300025519,0.0015757980866710165,0.00046268676419005853,0.01469449998694472,3.981991108998449e-06,1.1691945794580224e-06
8,True,True,1,1.0,2.7043292000016663,0.0007361357383297419,0.0002161446099303178,0.014633300015702844,3.960322221812223e-06,1.1628321480141724e-06
9,True,True,1,1.0,5.056354900007136,0.0013764151433414858,0.00040414382670070115,0.03792000000248663,1.0303887779203554e-05,3.0254336107291514e-06
10,True,True,1,1.0,7.796907599986298,0.0021224465461030678,0.0006231940074615758,0.02269220000016503,6.158961668390676e-06,1.8083979598797545e-06
11,False,False,1,1.0,4.92398290001438,0.0013403745450000213,0.0003935615649457615,0.04132479999680072,1.1230977778743383e-05,3.2976463235305975e-06
12,False,True,0,0.0,5.229260399995837,0.0014234798622220599,0.00041796299723439014,0.013674799993168563,3.7038627783961904e-06,1.087530374884833e-06
13,True,True,1,1.0,6.593700900004478,0.001794919400555793,0.0005270252936907532,0.006389799993485212,1.7201561113728933e-06,5.05073252598154e-07
14,True,True,1,1.0,6.876614700013306,0.0018719265155602543,0.000549636168245308,0.007329199986997992,1.9752655511385657e-06,5.799786368589488e-07
15,True,True,1,1.0,4.369604800012894,0.001189463238890716,0.0003492508981832962,0.044179299991810694,1.2007710555432518e-05,3.5257110598229734e-06
16,True,True,1,1.0,7.765751899976749,0.0021139676377722127,0.0006207044253935107,0.04333049998967908,1.1776514996664546e-05,3.4578272834138714e-06
17,True,True,1,1.0,3.257902200013632,0.0008868336361142509,0.0002603926156145102,0.035314899985678494,9.59426889118428e-06,2.817074894036324e-06
18,False,True,0,0.0,7.5331331999914255,0.002050640447218838,0.0006021102583297039,0.03214490000391379,8.731100560786823e-06,2.5636308994528266e-06
19,True,True,1,1.0,3.4903991000028327,0.0009501242127765889,0.00027897603208602265,0.015119399991817772,4.097675001281055e-06,1.2031617521826867e-06
20,False,False,1,1.0,7.616618999978527,0.0020733719200002575,0.0006087846867831159,0.019510199985234067,5.292296663942074e-06,1.5539272697977432e-06
21,False,True,0,0.0,8.063491599983536,0.002195021946106054,0.0006445036392419522,0.01998109999112785,5.4199511088275655e-06,1.5914092432422744e-06
22,False,True,0,0.0,3.068814399972325,0.0008353603322151078,0.0002452789937458741,0.006600200023967773,1.7771749999762202e-06,5.218151723204455e-07
23,True,True,1,1.0,4.440404800028773,0.0012087372561174561,0.0003549101464962722,0.016743899992434308,4.53908666467113e-06,1.3327693052932294e-06
24,False,True,0,0.0,7.117044200014789,0.0019373753161145335,0.0005688532836896817,0.02552359999390319,6.929761112324842e-06,2.0347205475069673e-06
25,True,True,1,1.0,4.722175599978073,0.001285442156105192,0.00037743228449925925,0.013736399996560067,3.7190488861395148e-06,1.0919893288027453e-06
26,True,True,1,1.0,5.617146600008709,0.0015290679100005138,0.0004489658221375261,0.007088099984684959,1.9113577753564135e-06,5.612139980176267e-07
27,False,False,1,1.0,8.917934299999615,0.002427617713340765,0.0007127985456874124,0.0163567999843508,4.433993332269084e-06,1.3019117390108783e-06
28,True,True,1,1.0,4.8772853999980725,0.0013276660033419224,0.0003898300754439672,0.01740159999462776,4.718122779902639e-06,1.3853379951084492e-06
29,True,True,1,1.0,5.565573099971516,0.0015150325944443465,0.0004448447645007648,0.017104300000937656,4.637500001990701e-06,1.3616654874771613e-06
30,True,True,1,1.0,5.554693899990525,0.0015120679511124357,0.0004439742841760188,0.014527899998938665,3.934679995775998e-06,1.155303062472258e-06
31,True,True,1,1.0,3.204228199989302,0.0008722118788836977,0.00025609936662721803,0.014106499991612509,3.822083889260992e-06,1.1222425272269807e-06
32,False,False,1,1.0,4.213912799983518,0.0011470810905498284,0.0003368066267749616,0.021281199995428324,5.774596112476299e-06,1.6955403185128726e-06
33,True,True,1,1.0,5.516527700005099,0.0015016811950053022,0.00044092451871793686,0.015906799992080778,4.310533332075768e-06,1.2656613408922801e-06
34,True,True,1,1.0,4.977633600006811,0.0013549839300032343,0.00039785118119236033,0.013607200002297759,3.686108337003841e-06,1.0823173053251522e-06
35,True,True,1,1.0,6.35190710000461,0.001729090012223201,0.0005076964298383016,0.017200699978275225,4.663156661586576e-06,1.3691988110093783e-06
36,False,False,1,1.0,5.398696199990809,0.001469606269443951,0.00043150666014509734,0.014016300003277138,3.797444996436954e-06,1.1150080409749615e-06
37,True,True,1,1.0,7.090170100011164,0.0019300601466714095,0.0005667053993206308,0.029673300014110282,8.05939667366652e-06,2.3664048077000817e-06
38,False,False,1,1.0,9.282614099996863,0.002526892060556565,0.0007419475381052137,0.019653899973491207,5.33125721623138e-06,1.5653668901541041e-06
39,False,False,1,1.0,2.4605510999972466,0.0006697749588795382,0.0001966597187043043,0.016806299972813576,4.556202216837038e-06,1.3377947838211923e-06
40,True,True,1,1.0,11.290407299995422,0.003073452857778627,0.0009024290419468986,0.029084499983582646,7.908261663235155e-06,2.322028456742551e-06
41,False,False,1,1.0,6.3879873999685515,0.0017389128172126626,0.0005105806076363883,0.03256859999964945,8.84762333589606e-06,2.597844385448126e-06
