qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,False,0,0.0,4.961982100008754,0.001350704630553163,0.0003965946907623353,0.0,0.0,0.0
1,True,True,1,1.0,1.2863428999989992,0.00035011455944671373,0.00010280084357028901,0.0,0.0,0.0
2,True,True,1,1.0,1.1976513999979943,0.00032598342611082546,9.571544595884238e-05,0.0,0.0,0.0
3,True,True,1,1.0,1.2982073000021046,0.0003533608900003148,0.00010375403306330975,0.0,0.0,0.0
4,True,True,1,1.0,1.2697776000131853,0.0003456205827802477,0.00010148131948929113,0.0,0.0,0.0
5,True,False,0,0.0,1.1800794000155292,0.0003212003738906383,9.431104334315846e-05,0.0,0.0,0.0
6,True,True,1,1.0,1.202759399995557,0.00032737863610657065,9.612510834119792e-05,0.0,0.0,0.0
7,True,True,1,1.0,1.1587528999953065,0.00031539777555468994,9.260728099526378e-05,0.0,0.0,0.0
8,True,True,1,1.0,0.44902270000602584,0.00012219184000091953,3.587804017448214e-05,0.0,0.0,0.0
9,False,True,0,0.0,0.5280799000029219,0.00014371453222386963,4.219754576693584e-05,0.0,0.0,0.0
10,False,True,0,0.0,0.4505275000119582,0.00012260152944662775,3.599833343131558e-05,0.0,0.0,0.0
11,True,False,0,0.0,1.2014524999976857,0.00032702210944545286,9.602042477255077e-05,0.0,0.0,0.0
12,True,True,1,1.0,1.1795137000008253,0.0003210494416693109,9.426672653525733e-05,0.0,0.0,0.0
13,True,True,1,1.0,1.1876177999947686,0.00032325091944237805,9.49131257382216e-05,0.0,0.0,0.0
14,True,True,1,1.0,1.1979024000029312,0.00032605409555649706,9.573619596318714e-05,0.0,0.0,0.0
15,True,True,1,1.0,1.2171835000044666,0.0003313011166677623,9.727682939848783e-05,0.0,0.0,0.0
16,True,True,1,1.0,1.1835277000063797,0.0003221457272233642,9.458861854662838e-05,0.0,0.0,0.0
17,True,True,1,1.0,1.2043935999972746,0.0003278206216632194,9.625488440118578e-05,0.0,0.0,0.0
18,True,True,1,1.0,1.1816738999914378,0.00032163383388971047,9.443831612389917e-05,0.0,0.0,0.0
19,True,True,1,1.0,0.48744370001077186,0.00013265340833434793,3.894977204260043e-05,0.0,0.0,0.0
20,True,False,0,0.0,1.1401343999896199,0.00031032225721994313,9.111700430641944e-05,0.0,0.0,0.0
21,True,True,1,1.0,1.1405932999914512,0.0003104515555516021,9.115496895886859e-05,0.0,0.0,0.0
22,False,True,0,0.0,0.4460821999964537,0.00012139355222510249,3.564364644662482e-05,0.0,0.0,0.0
23,True,True,1,1.0,1.1778882000071462,0.00032060418444614493,9.413598984661587e-05,0.0,0.0,0.0
24,True,True,1,1.0,1.2194514000148047,0.00033192095833607405,9.745882767494671e-05,0.0,0.0,0.0
25,False,True,0,0.0,0.4902118000027258,0.00013340108999885465,3.9169306774188826e-05,0.0,0.0,0.0
26,True,True,1,1.0,1.220311600001878,0.0003321535361093184,9.752711729798612e-05,0.0,0.0,0.0
27,False,False,1,1.0,0.4344067000056384,0.00011821230833560953,3.47095677383314e-05,0.0,0.0,0.0
