qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,False,False,1,1.0,13.588981500011869,0.0036991776038941067,0.0010861547111825028,0.02694170002359897,7.313699445997676e-06,2.1474527476271555e-06
1,True,True,1,1.0,8.639096500002779,0.0023517110666667574,0.000690510791293504,0.023811399994883686,6.461213882883183e-06,1.8971454334778828e-06
2,True,True,1,1.0,2.6763338999589905,0.0007285147822280932,0.00021390694030212607,0.036488199955783784,9.912402778475855e-06,2.9104855537745307e-06
3,True,True,1,1.0,4.392811500001699,0.001195773636659659,0.00035110376090039246,0.014908500015735626,4.038491674065073e-06,1.1857843087175703e-06
4,True,True,1,1.0,3.7183489999733865,0.0010121733049858852,0.00029719492315975174,0.009844899992458522,2.660637223097082e-06,7.81217871662145e-07
5,False,False,1,1.0,3.589372100075707,0.0009770635333461945,0.0002868859712903287,0.11546170001383871,3.14105816699642e-05,9.222793527377502e-06
6,True,True,1,1.0,5.028801700042095,0.001368908322242593,0.00040193966945937723,0.02939359995070845,7.981986100397383e-06,2.3436754694917458e-06
7,True,True,1,1.0,4.876936000015121,0.0013275666550128435,0.00038980090472895114,0.015352300019003451,4.160095563404159e-06,1.2214897144717366e-06
8,False,True,0,0.0,1.3232600000337698,0.0003601775411170416,0.00010575554218715558,0.01347080001141876,3.647744990949933e-06,1.0710530370160792e-06
9,True,True,1,1.0,4.348339100019075,0.001183670251677783,0.00034754995785901335,0.038463099976070225,1.0450808884666508e-05,3.068572672422956e-06
10,True,True,1,1.0,6.5488524999818765,0.0017827003810994533,0.0005234375379867387,0.022992399986833334,6.238822216982953e-06,1.831846661288362e-06
11,False,False,1,1.0,4.077638300019316,0.0011099887944525108,0.0003259155649042727,0.04123870003968477,1.1206271123309205e-05,3.290391940780998e-06
12,False,True,0,0.0,4.313451900030486,0.001174173515573299,0.0003447615205993685,0.014225599996279925,3.852395002225724e-06,1.1311424941042596e-06
13,True,True,1,1.0,4.254463900055271,0.0011581156877849329,0.0003400466117273719,0.0062176999635994434,1.6732594383130263e-06,4.913034237775159e-07
14,True,True,1,1.0,5.66446790000191,0.0015419526349953637,0.00045274904269463446,0.006080400024075061,1.6412577727654327e-06,4.819070758531515e-07
15,True,True,1,1.0,3.6544268000288866,0.0009947729600160123,0.0002920858236006138,0.0454596999916248,1.235517055611126e-05,3.6277324702811813e-06
16,True,True,1,1.0,5.765174600004684,0.001569365778344541,0.0004607981060231122,0.04036019998602569,1.0967093331014944e-05,3.2201644162530682e-06
17,True,True,1,1.0,2.723417400033213,0.0007413334327827517,0.00021767076004311066,0.02931970002828166,7.960929451574983e-06,2.3374928038376045e-06
18,True,True,1,1.0,6.139960000000428,0.0016713856316663118,0.0004907532355640515,0.032378299976699054,8.793889995366852e-06,2.5820671702903747e-06
19,True,True,1,1.0,2.709314300038386,0.0007374940188931456,0.00021654342907095477,0.015585899993311614,4.223277222869608e-06,1.2400411506116194e-06
20,False,False,1,1.0,6.4453881999943405,0.0017545368494507984,0.000515168145202915,0.019824899965897202,5.376802215081019e-06,1.5787398395954235e-06
21,False,True,0,0.0,6.662576300033834,0.0018136574427901199,0.000532527168710143,0.01903720002155751,5.163433896571708e-06,1.5160905079920928e-06
22,True,True,1,1.0,2.6745171999791637,0.0007280222910967292,0.00021376233476548372,0.005703400005586445,1.5347633368542625e-06,4.5063811673156834e-07
23,True,True,1,1.0,3.7361860999953933,0.0010170277561158097,0.0002986202899654499,0.016959300031885505,4.596364454482682e-06,1.3495872437410746e-06
24,False,True,0,0.0,6.108044599997811,0.0016627057155607164,0.0004882046334745392,0.026183900015894324,7.108426672898026e-06,2.087180434844721e-06
25,True,True,1,1.0,3.9849364000256173,0.0010847425899976062,0.0003185027594527839,0.01343220000853762,3.6374277823294203e-06,1.0680236921320634e-06
26,True,True,1,1.0,4.387900899979286,0.0011944462899836556,0.0003507140245860301,0.007058699964545667,1.9025511030728618e-06,5.586281777043358e-07
27,False,False,1,1.0,7.589009299990721,0.002065853203334134,0.0006065770367583215,0.01669329998549074,4.5246383314305495e-06,1.3285269771602218e-06
28,True,True,1,1.0,3.119770299992524,0.0008492268972121463,0.00024935050274387324,0.017799400025978684,4.824931675425937e-06,1.4166992860469285e-06
29,True,True,1,1.0,4.72723479999695,0.001286813522227587,0.0003778349458294498,0.017744299955666065,4.80949554605306e-06,1.4121669206305928e-06
30,True,True,1,1.0,4.61420160002308,0.0012560451311224219,0.00036880071267470735,0.015323399973567575,4.149169990948091e-06,1.21828174143929e-06
31,True,True,1,1.0,2.6009406999801286,0.0007079979072240854,0.0002078827633550969,0.014862600015476346,4.026242767577059e-06,1.1821877775656775e-06
32,False,False,1,1.0,3.51503369997954,0.0009568276544447548,0.0002809443005847698,0.02161240001441911,5.863644451407405e-06,1.721686744343084e-06
33,True,True,1,1.0,3.524409200064838,0.0009593809294566098,0.0002816939947006055,0.016186799970455468,4.386693327817032e-06,1.2880234837888345e-06
34,True,True,1,1.0,4.0922265000408515,0.0011139487461047893,0.0003270782882454416,0.014053199964109808,3.8056911037225897e-06,1.1174292678627383e-06
35,True,True,1,1.0,5.412382700014859,0.001473330908895716,0.00043260029097907845,0.017487999983131886,4.7396499970798476e-06,1.3916588293206426e-06
36,False,False,1,1.0,4.5676382999517955,0.0012433624216688461,0.00036507680804005055,0.014774999988730997,4.000886666148695e-06,1.174742704099984e-06
37,True,True,1,1.0,6.082220799988136,0.0016556712350031982,0.00048613916514173277,0.02963939995970577,8.048328879522158e-06,2.363155075451584e-06
38,False,False,1,1.0,7.277542000054382,0.001981067481128007,0.0005816822029665476,0.021304699999745935,5.778127778709556e-06,1.6965772884365491e-06
39,False,False,1,1.0,2.0886496999883093,0.0005685319511164886,0.00016693268701478423,0.016641800000797957,4.510482209540593e-06,1.3243704482964375e-06
40,True,True,1,1.0,8.723690700076986,0.002374739658910807,0.0006972724601388831,0.031594600004609674,8.580066668542309e-06,2.519284238876995e-06
41,False,False,1,1.0,5.481759399990551,0.0014922128322249692,0.00043814441245047407,0.03328450000844896,9.040596670173627e-06,2.654505329744916e-06
42,False,True,0,0.0,5.354638700024225,0.0014576080644529107,0.00042798374011470113,0.018753000011201948,5.083636668536605e-06,1.4926603988028524e-06
43,False,False,1,1.0,2.1427108999923803,0.0005832530294538528,0.00017125509872407415,0.006972600007429719,1.878947224920719e-06,5.516975930711084e-07
44,True,True,1,1.0,3.4052832000306807,0.0009269407238908266,0.0002721688823972892,0.014820899988990277,4.0123722254065795e-06,1.1781151007876652e-06
45,True,True,1,1.0,3.5160906999954022,0.0009571139855449372,0.00028102837329138804,0.02037530002417043,5.527080548603812e-06,1.6228646525734786e-06
46,True,True,1,1.0,4.15796899999259,0.0011318485033391173,0.00033233402552840474,0.006696399999782443,1.804408889600179e-06,5.298116030643352e-07
47,True,True,1,1.0,6.4990620000171475,0.001769145939993905,0.0005194576749899636,0.03446100000292063,9.361397209835963e-06,2.748698973525992e-06
48,True,True,1,1.0,6.393762200023048,0.001740480477774852,0.0005110409050558376,0.0161717000300996,4.383072772826481e-06,1.286960414295782e-06
49,False,True,0,0.0,4.291089600010309,0.001168086898900219,0.00034297436461970743,0.04251020000083372,1.1552191112746692e-05,3.391961172229687e-06
50,False,True,0,0.0,2.1447010000119917,0.0005837947255576081,0.00017141415185374916,0.04168040002696216,1.132644721623769e-05,3.3256781161104476e-06
51,True,True,1,1.0,4.214542499976233,0.0011472544249923277,0.0003368575213362643,0.03118920000270009,8.470910559925768e-06,2.4872337578448332e-06
52,False,False,1,1.0,6.586706999980379,0.0017930065922235371,0.0005264636537793627,0.005604400008451194,1.507014450099733e-06,4.4249047222626696e-07
53,True,True,1,1.0,5.873647400003392,0.0015988940138835458,0.0004694682039686216,0.019338499987497926,5.244914444241052e-06,1.5400148744857762e-06
54,False,False,1,1.0,3.0314419000642374,0.0008251842677903672,0.00024229109170391928,0.04736650001723319,1.286901333272302e-05,3.778607289602221e-06
55,False,False,1,1.0,22.40912019996904,0.006100180482222477,0.001791138593306418,0.053566500020679086,1.4561811658010506e-05,4.275647732904356e-06
56,True,True,1,1.0,4.974522200005595,0.0013541344561070826,0.00039760175816564206,0.028413399995770305,7.715349446516484e-06,2.265385457819474e-06
57,False,True,0,0.0,2.51887379999971,0.0006856531483315242,0.00020132188206195656,0.032474600011482835,8.820526671479456e-06,2.5898882468506056e-06
58,True,False,0,0.0,3.455696999968495,0.0009406739172228198,0.0002762012307282863,0.03706519998377189,1.0070147219489122e-05,2.9568025696401783e-06
