qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,False,False,1,1.0,10.167971400020178,0.0027679001427905556,0.0008127124734454208,0.0,0.0,0.0
1,True,True,1,1.0,1.5751157000195235,0.0004287406105738935,0.00012588707110463678,0.0,0.0,0.0
2,True,True,1,1.0,1.7160349999903701,0.00046710899334219803,0.00013715281829676333,0.0,0.0,0.0
3,True,True,1,1.0,1.9462316000135615,0.0005297622827780692,0.00015554911411673564,0.0,0.0,0.0
4,True,True,1,1.0,1.9882899000076577,0.0005412140694385421,0.00015891159447443346,0.0,0.0,0.0
5,True,False,0,0.0,1.7208763000089675,0.0004684176305496496,0.00013753706112592783,0.0,0.0,0.0
6,False,True,0,0.0,1.7199826000141911,0.00046817575168162063,0.0001374660405099486,0.0,0.0,0.0
7,True,True,1,1.0,1.5330431000329554,0.00041728656889107596,0.00012252392862594725,0.0,0.0,0.0
8,True,True,1,1.0,1.536405199964065,0.00041819583609273346,0.00012279090819831612,0.0,0.0,0.0
9,False,True,0,0.0,1.8578862000140361,0.0005057123505639741,0.00014848755882659203,0.0,0.0,0.0
10,False,True,0,0.0,1.5391086000017822,0.00041893681223252014,0.00012300847404977884,0.0,0.0,0.0
11,False,False,1,1.0,1.7162329999846406,0.00046715431665652425,0.00013716612615506405,0.0,0.0,0.0
12,True,True,1,1.0,1.6653539999388158,0.00045330311942961995,0.00013309912945080123,0.0,0.0,0.0
13,True,True,1,1.0,1.5395378000102937,0.00041905453444115765,0.00012304303971415458,0.0,0.0,0.0
14,True,True,1,1.0,1.650817800022196,0.0004493472438745408,0.0001319376029356975,0.0,0.0,0.0
15,False,True,0,0.0,1.745905000017956,0.000475231706112067,0.00013953781401399734,0.0,0.0,0.0
16,True,True,1,1.0,1.6514262999990024,0.00044951177666920956,0.00013198591315196975,0.0,0.0,0.0
17,True,True,1,1.0,1.71291179995751,0.00046624914221982984,0.00013690034830275908,0.0,0.0,0.0
18,True,True,1,1.0,1.6678609999944456,0.0004539895066745682,0.00013330066687874503,0.0,0.0,0.0
19,True,True,1,1.0,1.5489490000181831,0.0004216159622217269,0.00012379512765075173,0.0,0.0,0.0
20,False,False,1,1.0,1.4671014999621548,0.0003993347161106713,0.00011725289501800014,0.0,0.0,0.0
21,True,True,1,1.0,1.46622760000173,0.0003991005366723079,0.00011718413511310324,0.0,0.0,0.0
22,False,True,0,0.0,1.5421460999641567,0.00041975685610507043,0.0001232492558155987,0.0,0.0,0.0
23,True,True,1,1.0,1.536900400009472,0.0004183390811147142,0.00012283296788620837,0.0,0.0,0.0
24,False,True,0,0.0,1.709583299991209,0.00046534520999638414,0.00013663493518984132,0.0,0.0,0.0
25,True,True,1,1.0,1.7334590999525972,0.00047184267388818423,0.00013854272437233088,0.0,0.0,0.0
26,False,True,0,0.0,1.5440370000433177,0.00042027694167627485,0.00012340196364795232,0.0,0.0,0.0
27,False,False,1,1.0,1.4790652999654412,0.00040259155665472556,0.00011820917046062037,0.0,0.0,0.0
28,False,True,0,0.0,1.6438759999582544,0.0004474558605547322,0.00013138225384910608,0.0,0.0,0.0
29,False,True,0,0.0,1.8532112000393681,0.0005044373316696794,0.00014811318702637703,0.0,0.0,0.0
30,True,True,1,1.0,1.6445653999689966,0.00044764398109594674,0.0001314374899134397,0.0,0.0,0.0
31,False,True,0,0.0,1.6598613999667577,0.00045181010056241774,0.00013266074836988507,0.0,0.0,0.0
32,False,False,1,1.0,1.668725199997425,0.0004542222361083582,0.00013336900103244333,0.0,0.0,0.0
33,True,True,1,1.0,1.7181734000332654,0.0004676820616722883,0.0001373210829580496,0.0,0.0,0.0
34,True,True,1,1.0,1.5499516999698244,0.0004218875788766632,0.0001238748798932729,0.0,0.0,0.0
35,False,True,0,0.0,1.6452258999925107,0.0004478249699970345,0.00013149063198139054,0.0,0.0,0.0
36,False,False,1,1.0,1.5375744000193663,0.00041851118445726266,0.0001228835009712169,0.0,0.0,0.0
37,True,True,1,1.0,1.6467717000632547,0.0004482426711290221,0.00013161327763427754,0.0,0.0,0.0
38,True,False,0,0.0,1.531628400029149,0.00041690072111539645,0.0001224106357743382,0.0,0.0,0.0
39,False,False,1,1.0,1.736684100003913,0.0004727217339008348,0.00013880083449203628,0.0,0.0,0.0
40,True,True,1,1.0,1.714746199955698,0.00046674919498230637,0.00013704717408999134,0.0,0.0,0.0
41,False,False,1,1.0,1.5396967999986373,0.0004190972633446412,0.00012305558580001254,0.0,0.0,0.0
42,True,True,1,1.0,1.6421378999948502,0.0004469844455662597,0.0001312438367019779,0.0,0.0,0.0
43,False,False,1,1.0,1.535897699999623,0.0004180612672130034,0.00012275139600443187,0.0,0.0,0.0
44,True,True,1,1.0,1.5355156000005081,0.00041795824778123955,0.00012272114737807885,0.0,0.0,0.0
45,False,True,0,0.0,1.6513356999494135,0.00044948763664870054,0.00013197882514490126,0.0,0.0,0.0
46,True,True,1,1.0,1.6826803999720141,0.00045802164443593937,0.00013448458554786758,0.0,0.0,0.0
47,True,True,1,1.0,1.8509249000344425,0.000503822232767642,0.00014793258132375062,0.0,0.0,0.0
48,True,True,1,1.0,1.538832500053104,0.0004188631655674221,0.00012298684987250904,0.0,0.0,0.0
49,True,True,1,1.0,1.7188902999623679,0.00046787682444005945,0.00013737826931686486,0.0,0.0,0.0
50,True,True,1,1.0,1.532884600048419,0.00041724190667446234,0.00012251081487954708,0.0,0.0,0.0
51,True,True,1,1.0,1.4770704000256956,0.0004020489222085517,0.00011804984181429066,0.0,0.0,0.0
52,True,False,0,0.0,1.5538672000402585,0.0004229548211303255,0.0001241882441936428,0.0,0.0,0.0
53,True,True,1,1.0,1.7179694999940693,0.00046762699889368376,0.0001373049153924996,0.0,0.0,0.0
54,True,False,0,0.0,1.7765496000065468,0.00048357401056338054,0.00014198728637033255,0.0,0.0,0.0
55,True,False,0,0.0,1.8649691999307834,0.0005076393416536221,0.00014905336308757822,0.0,0.0,0.0
56,True,True,1,1.0,1.7999397999956273,0.0004899410738958977,0.00014385678726364757,0.0,0.0,0.0
57,True,True,1,1.0,1.649042000004556,0.00044886367277293976,0.00013179561650345843,0.0,0.0,0.0
58,True,False,0,0.0,1.5545336999930441,0.0004231367394515676,0.00012424165915848783,0.0,0.0,0.0
59,True,True,1,1.0,1.7388458999921568,0.0004733155661013572,0.00013897519585321294,0.0,0.0,0.0
60,False,False,1,1.0,1.6788033000193536,0.0004569632455548142,0.00013417381784376105,0.0,0.0,0.0
61,True,False,0,0.0,1.777781300013885,0.00048390899667930264,0.00014208564519138688,0.0,0.0,0.0
62,True,False,0,0.0,1.8493098999606445,0.0005033821177762649,0.00014780335450024178,0.0,0.0,0.0
63,True,True,1,1.0,1.6693078000098467,0.0004543803744532245,0.0001334154337065908,0.0,0.0,0.0
64,True,True,1,1.0,2.211984299996402,0.0006021091188947645,0.00017679163483392868,0.0,0.0,0.0
65,True,True,1,1.0,1.6478010999853723,0.00044851890223249533,0.00013169438477390142,0.0,0.0,0.0
