model,context_used,dataset,dataset_version,f1,em,total_energy_kWh,inference_energy_kWh,retrieval_energy_kWh,total_emissions_kg,inference_emissions_kg,retrieval_emissions_kg,avg_time_s,total_time
DeepSeek-r1 7B (Base),FALSE,BoolQ,128,0.679688,0.679688,0.000199,0.000199,0,0.000058,0.000058,0,0.729591,0:01:33
DeepSeek-r1 7B (RAG),TRUE,BoolQ,128,0.742188,0.742188,0.001048,0.001038,0.000009,0.000308,0.000305,0.000003,3.848648,0:08:12
DeepSeek-r1 8B (Base),FALSE,BoolQ,128,0.679688,0.679688,0.000289,0.000289,0,0.000085,0.000085,0,1.060927,0:02:15
DeepSeek-r1 8B (RAG),TRUE,BoolQ,128,0.804688,0.804688,0.000875,0.000868,0.000007,0.000257,0.000255,0.000002,3.215132,0:06:51
DeepSeek-r1 14B (Base),FALSE,BoolQ,128,0.71875,0.71875,0.001663,0.001663,0,0.000488,0.000488,0,119.351824,4:14:37
DeepSeek-r1 14B (RAG),TRUE,BoolQ,128,0.859375,0.859375,0.001572,0.001565,0.000007,0.000462,0.00046,0.000002,5.776518,0:12:19
DeepSeek-r1 32B (Base),FALSE,BoolQ,128,0.671875,0.671875,0.00169,0.00169,0,0.000496,0.000496,0,93.833055,3:20:10
DeepSeek-r1 7B (Base),FALSE,BoolQ,full,0.63792,0.63792,0.000137,0.000137,0,0.00004,0.00004,0,0.50461,0:27:30
DeepSeek-r1 7B (RAG),TRUE,BoolQ,full,0.762691,0.762691,0.000763,0.000756,0.000007,0.000224,0.000222,0.000002,2.804774,2:32:51
DeepSeek-r1 8B (Base),FALSE,BoolQ,full,0.648318,0.648318,0.000262,0.000262,0,0.000077,0.000077,0,0.96158,0:52:24
DeepSeek-r1 8B (RAG),TRUE,BoolQ,full,0.814679,0.814679,0.000808,0.000801,0.000007,0.000237,0.000235,0.000002,2.969289,2:41:49
DeepSeek-r1 14B (Base),FALSE,BoolQ,full,0.603364,0.603364,0.000256,0.000256,0,0.000075,0.000075,0,0.938821,0:51:09
DeepSeek-r1 14B (RAG),TRUE,BoolQ,full,0.863609,0.863609,0.001533,0.001525,0.000007,0.00045,0.000448,0.000002,5.630074,5:06:50
DeepSeek-r1 32B (Base),FALSE,BoolQ,full,0.59419,0.59419,0.000541,0.000541,0,0.000159,0.000159,0,1.987824,1:48:20
DeepSeek-r1 1.5B (Base),FALSE,HotpotQA,128,0.019205,0,0.000089,0.000089,0,0.000026,0.000026,0,0.316135,0:00:40
DeepSeek-r1 1.5B (RAG),TRUE,HotpotQA,128,0.080036,0,0.000132,0.000113,0.000018,0.000039,0.000033,0.000005,0.460407,0:00:58
DeepSeek-r1 7B (Base),FALSE,HotpotQA,128,0.034588,0,0.000102,0.000102,0,0.00003,0.00003,0,0.357725,0:00:45
DeepSeek-r1 7B (RAG),TRUE,HotpotQA,128,0.066377,0,0.000178,0.00016,0.000017,0.000052,0.000047,0.000005,0.582331,0:01:14
DeepSeek-r1 8B (Base),FALSE,HotpotQA,128,0.0634,0,0.000099,0.000099,0,0.000029,0.000029,0,0.34593,0:00:44
DeepSeek-r1 8B (RAG),TRUE,HotpotQA,128,0.075027,0,0.000202,0.00018,0.000022,0.000059,0.000053,0.000006,0.657284,0:01:24
DeepSeek-r1 14B (Base),FALSE,HotpotQA,128,0.070563,0,0.000149,0.000149,0,0.000044,0.000044,0,0.506402,0:01:04
DeepSeek-r1 14B (RAG),TRUE,HotpotQA,128,0.093128,0,0.000268,0.000246,0.000022,0.000079,0.000072,0.000006,0.823284,0:01:45
DeepSeek-r1 32B (Base),FALSE,HotpotQA,128,0.071045,0,0.000183,0.000183,0,0.000054,0.000054,0,0.598114,0:01:16
DeepSeek-r1 1.5B (Base),FALSE,HotpotQA,full,0.013889,0,0.000135,0.000135,0,0.00004,0.00004,0,0.477934,0:00:07
DeepSeek-r1 7B (Base),FALSE,HotpotQA,full,0.032329,0,0.000346,0.000346,0,0.000102,0.000102,0,1.271025,2:36:51
DeepSeek-r1 7B (RAG),TRUE,HotpotQA,full,0.050382,0,0.007421,0.007403,0.000017,0.002177,0.002172,0.000005,27.259523,12:17:49
