model,context_used,dataset,dataset_version,f1,em,total_energy_kWh,inference_energy_kWh,retrieval_energy_kWh,total_emissions_kg,inference_emissions_kg,retrieval_emissions_kg,avg_time_s,total_time
Gemma3 1B (Base),FALSE,BoolQ,128,0.53125,0.53125,0.000038,0.000038,0,0.000011,0.000011,0,0.139945,0:00:17
Gemma3 1B (RAG),TRUE,BoolQ,128,0.75,0.75,0.000132,0.000123,0.000009,0.000039,0.000036,0.000003,0.485728,0:01:02
Gemma3 4B (Base),FALSE,BoolQ,128,0.601562,0.601562,0.000105,0.000105,0,0.000031,0.000031,0,0.387481,0:00:49
Gemma3 4B (RAG),TRUE,BoolQ,128,0.828125,0.828125,0.000475,0.000466,0.000009,0.000139,0.000137,0.000003,1.743509,0:03:43
Gemma3 12B (Base),FALSE,BoolQ,128,0.726562,0.726562,0.000248,0.000248,0,0.000073,0.000073,0,0.911561,0:01:56
Gemma3 12B (RAG),TRUE,BoolQ,128,0.890625,0.890625,0.001455,0.001446,0.000009,0.000427,0.000425,0.000003,5.343927,0:11:24
Gemma3 27B (Base),FALSE,BoolQ,128,0.773438,0.773438,0.000559,0.000559,0,0.000164,0.000164,0,2.05241,0:04:22
Gemma3 1B (Base),FALSE,BoolQ,full,0.518349,0.518349,0.000031,0.000031,0,0.000009,0.000009,0,0.11407,0:06:13
Gemma3 1B (RAG),TRUE,BoolQ,full,0.670948,0.670948,0.000116,0.000109,0.000008,0.000034,0.000032,0.000002,0.42703,0:23:16
Gemma3 4B (Base),FALSE,BoolQ,full,0.627523,0.627523,0.000088,0.000088,0,0.000026,0.000026,0,0.324581,0:17:41
Gemma3 4B (RAG),TRUE,BoolQ,full,0.822324,0.822324,0.00042,0.000412,0.000008,0.000123,0.000121,0.000002,1.542701,1:24:04
Gemma3 12B (Base),FALSE,BoolQ,full,0.703976,0.703976,0.000238,0.000238,0,0.00007,0.00007,0,0.874645,0:47:40
Gemma3 12B (RAG),TRUE,BoolQ,full,0.858104,0.858104,0.001252,0.001245,0.000007,0.000367,0.000365,0.000002,4.597922,4:10:35
Gemma3 27B (Base),FALSE,BoolQ,full,0.73792,0.73792,0.000464,0.000464,0,0.000136,0.000136,0,1.703492,1:32:50
Gemma3 1B (Base),FALSE,HotpotQA,128,0.056558,0,0.000088,0.000088,0,0.000026,0.000026,0,0.31685,0:00:40
Gemma3 1B (RAG),TRUE,HotpotQA,128,0.144655,0.039062,0.000121,0.000105,0.000016,0.000036,0.000031,0.000005,0.434409,0:00:55
Gemma3 4B (Base),FALSE,HotpotQA,128,0.089146,0.015625,0.000093,0.000093,0,0.000027,0.000027,0,0.335327,0:00:42
Gemma3 4B (RAG),TRUE,HotpotQA,128,0.226003,0.109375,0.000148,0.000128,0.000019,0.000043,0.000038,0.000006,0.509756,0:01:05
Gemma3 12B (Base),FALSE,HotpotQA,128,0.078693,0,0.000146,0.000146,0,0.000043,0.000043,0,0.504529,0:01:04
Gemma3 12B (RAG),TRUE,HotpotQA,128,0.199539,0.039062,0.000224,0.000207,0.000017,0.000066,0.000061,0.000005,0.704702,0:01:30
Gemma3 27B (Base),FALSE,HotpotQA,128,0.057033,0,0.000176,0.000176,0,0.000052,0.000052,0,0.582119,0:01:14
