qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"Scott Derrickson is an American filmmaker, while Ed",yes,0,0.0,23.95905279996805,0.00652214132386887,0.0019150349846573757,0.014324499992653728,3.880537779251527e-06,1.1394057929034728e-06
1,The woman who portrayed Corliss Archer in the,Chief of Protocol,0,0.0,25.834307199984323,0.007032620820548942,0.002064922275739982,0.07828959997277707,2.1293346105893658e-05,6.2521648502114095e-06
2,The science fantasy young adult series that fits your description,Animorphs,0,0.0,30.213966299954336,0.00822474320611315,0.0024149539541388856,0.07659219997003675,2.0825893878160663e-05,6.114911251230256e-06
3,The Laleli Mosque is located in Lale,no,0,0.0,18.74030770000536,0.005101476533907245,0.0014978985506014534,0.052283700031694025,1.4214190011261962e-05,4.1735788598317345e-06
4,"The film ""Big Stone Gap"" is a","Greenwich Village, New York City",0,0.0,27.188330200035125,0.007401214291683734,0.0021731489082657414,0.06721439998364076,1.827838055356147e-05,5.366908885406885e-06
5,The 2014 S/S album is,YG Entertainment,0,0.0,29.457625499984715,0.008018967005013838,0.0023545338245300846,0.19519779999973252,5.311474943785773e-05,1.55955840764381e-05
6,The individual known by the stage name Aladin is,Eenasul Fateh,0,0.0,37.30125699995551,0.0101541543438759,0.002981468791080733,0.06569449999369681,1.786453000127545e-05,5.2453938420043335e-06
7,The arena where the Lewiston Maineiacs played,"3,677 seated",0,0.0,58.87350929999957,0.01602655547889784,0.00470572667803461,0.07080990000395104,1.9252421663259157e-05,5.65290741088181e-06
8,"Annie Morton was born on October 8,",Terry Richardson,0,0.0,27.55691810004646,0.007501545797781565,0.002202608304298383,0.01352709997445345,3.6639122195386636e-06,1.0758000682156433e-06
9,"Yes, both ""Local H"" and ""For",yes,0,0.0,31.43962909997208,0.008558489867223153,0.0025129488457397804,0.022651600011158735,6.1467066733813324e-06,1.8047996410126353e-06
