model,context_used,dataset,dataset_version,f1,em,total_energy_kWh,inference_energy_kWh,retrieval_energy_kWh,total_emissions_kg,inference_emissions_kg,retrieval_emissions_kg,avg_time_s,total_time
DistilGPT2 (Base),False,BoolQ,128,0.570312,0.570312,0.000372,0.000372,0.000000,0.000109,0.000109,0.000000,1.364910,0:02:54
GPT2-XL (Base),False,BoolQ,128,0.562500,0.562500,0.002727,0.002727,0.000000,0.000801,0.000801,0.000000,10.018650,0:21:22
DistilGPT2 (RAG),True,BoolQ,128,0.554688,0.554688,0.000393,0.000385,0.000009,0.000115,0.000112,0.000003,1.444815,0:03:04
Gemma 2B-IT (Base),False,BoolQ,128,0.531250,0.531250,0.000307,0.000307,0.000000,0.000090,0.000090,0.000000,1.127638,0:02:24
Gemma 2B-IT (RAG),True,BoolQ,128,0.601562,0.601562,0.000597,0.000593,0.000004,0.000175,0.000174,0.000001,2.192797,0:04:40
DeepSeek-r1 7B (Base),False,BoolQ,128,0.679688,0.679688,0.000199,0.000199,0.000000,0.000058,0.000058,0.000000,0.729591,0:01:33
Gemma 7B-IT (Base),False,BoolQ,128,0.200225,0.132812,0.009930,0.009930,0.000000,0.002916,0.002916,0.000000,36.476660,1:17:49
Gemma 7B-IT (Base),False,BoolQ,128,0.640625,0.640625,0.009930,0.009930,0.000000,0.002916,0.002916,0.000000,36.476660,1:17:49
DeepSeek-r1 7B (RAG),True,BoolQ,128,0.742188,0.742188,0.001048,0.001038,0.000009,0.000308,0.000305,0.000003,3.848648,0:08:12
DeepSeek-r1 8B (Base),False,BoolQ,128,0.679688,0.679688,0.000289,0.000289,0.000000,0.000085,0.000085,0.000000,1.060927,0:02:15
DeepSeek-r1 8B (RAG),True,BoolQ,128,0.804688,0.804688,0.000875,0.000868,0.000007,0.000257,0.000255,0.000002,3.215132,0:06:51
DeepSeek-r1 14B (Base),False,BoolQ,128,0.718750,0.718750,0.001663,0.001663,0.000000,0.000488,0.000488,0.000000,119.351824,4:14:37
DeepSeek-r1 14B (RAG),True,BoolQ,128,0.859375,0.859375,0.001572,0.001565,0.000007,0.000462,0.000460,0.000002,5.776518,0:12:19
DeepSeek-r1 32B (Base),False,BoolQ,128,0.671875,0.671875,0.001690,0.001690,0.000000,0.000496,0.000496,0.000000,93.833055,3:20:10
Gemma3 1B (Base),False,BoolQ,full,0.518349,0.518349,0.000031,0.000031,0.000000,0.000009,0.000009,0.000000,0.114070,0:06:13
Gemma3 1B (RAG),True,BoolQ,full,0.670948,0.670948,0.000116,0.000109,0.000008,0.000034,0.000032,0.000002,0.427030,0:23:16
Gemma3 4B (Base),False,BoolQ,full,0.627523,0.627523,0.000088,0.000088,0.000000,0.000026,0.000026,0.000000,0.324581,0:17:41
Gemma3 4B (RAG),True,BoolQ,full,0.822324,0.822324,0.000420,0.000412,0.000008,0.000123,0.000121,0.000002,1.542701,1:24:04
DeepSeek-r1 7B (Base),False,BoolQ,full,0.637920,0.637920,0.000137,0.000137,0.000000,0.000040,0.000040,0.000000,0.504610,0:27:30
DeepSeek-r1 7B (RAG),True,BoolQ,full,0.762691,0.762691,0.000763,0.000756,0.000007,0.000224,0.000222,0.000002,2.804774,2:32:51
DeepSeek-r1 8B (Base),False,BoolQ,full,0.648318,0.648318,0.000262,0.000262,0.000000,0.000077,0.000077,0.000000,0.961580,0:52:24
DeepSeek-r1 8B (RAG),True,BoolQ,full,0.814679,0.814679,0.000808,0.000801,0.000007,0.000237,0.000235,0.000002,2.969289,2:41:49
Gemma3 12B (Base),False,BoolQ,full,0.703976,0.703976,0.000238,0.000238,0.000000,0.000070,0.000070,0.000000,0.874645,0:47:40
DeepSeek-r1 14B (Base),False,BoolQ,full,0.603364,0.603364,0.000256,0.000256,0.000000,0.000075,0.000075,0.000000,0.938821,0:51:09
DeepSeek-r1 14B (RAG),True,BoolQ,full,0.863609,0.863609,0.001533,0.001525,0.000007,0.000450,0.000448,0.000002,5.630074,5:06:50
DeepSeek-r1 32B (Base),False,BoolQ,full,0.594190,0.594190,0.000541,0.000541,0.000000,0.000159,0.000159,0.000000,1.987824,1:48:20
