model,context_used,thinking,dataset,dataset_version,f1,em,pred_tokens_per_question,total_tokens,total_energy_kWh,energy_kWh_per_question,inference_energy_kWh,retrieval_energy_kWh,total_energy_kg,emissions_kg_per_question,inference_emissions_kg_per_question,retrieval_emissions_kg_per_question,time_s_per_question,total_time,performance_per_energy
Gemma3 1B (Base),False,False,HotpotQA,full,0.128738821266453,0.083000000000000,3.699000000000000,3699,0.067781064324432,0.000067781064324,0.000067781064324,0.000000000000000,0.019901916108988,0.000019901916109,0.000019901916109,0.000000000000000,0.246610919299993,0:04:06,1.899333133074568
Gemma3 1B (RAG),True,False,HotpotQA,full,0.213810369274199,0.142000000000000,7.634000000000000,7634,0.111546772638772,0.000111546772639,0.000097154081987,0.000014392690652,0.032750617104299,0.000032750617104,0.000028526438890,0.000004224178214,0.399995402899224,0:06:39,1.916777726654565
Gemma3 4B (Base),False,False,HotpotQA,full,0.214358604261236,0.135000000000000,4.713000000000000,4713,0.091952710906820,0.000091952710907,0.000091952710907,0.000000000000000,0.026999209243783,0.000026999209244,0.000026999209244,0.000000000000000,0.329271385800024,0:05:29,2.331183084732065
Gemma3 4B (RAG),True,False,HotpotQA,full,0.380258436938192,0.275000000000000,4.691000000000000,4691,0.129712448677630,0.000129712448678,0.000115319758026,0.000014392690652,0.038084433623591,0.000038084433624,0.000033860255409,0.000004224178214,0.448631646099233,0:07:28,2.931549290872104
Gemma3 12B (Base),False,False,HotpotQA,full,0.247376952568129,0.155000000000000,4.824000000000000,4824,0.098724124704338,0.000098724124704,0.000098724124704,0.000000000000000,0.028987435759269,0.000028987435759,0.000028987435759,0.000000000000000,0.347201834900065,0:05:47,2.505739638705130
Gemma3 12B (RAG),True,False,HotpotQA,full,0.411406530397707,0.297000000000000,3.757000000000000,3757,0.195088846344924,0.000195088846345,0.000180696155693,0.000014392690652,0.057280290089561,0.000057280290090,0.000053056111875,0.000004224178214,0.624330386399200,0:10:24,2.108816255288755
Gemma3 27B (Base),False,False,HotpotQA,full,0.060884965495909,0.028000000000000,90.477000000000004,90477,0.891443006707826,0.000891443006708,0.000891443006708,0.000000000000000,0.261746021728499,0.000261746021728,0.000261746021728,0.000000000000000,2.488949467599945,0:41:28,0.068299336062731
Gemma3 1B (Base),False,False,NQ,Question Only,0.101527482031758,0.036000000000000,6.134000000000000,6134,0.076656920032032,0.000076656920032,0.000076656920032,0.000000000000000,0.019619918400268,0.000019619918400,0.000019619918400,0.000000000000000,0.276471905100130,0:04:36,1.324439880826588
Gemma3 1B (RAG),True,False,NQ,First Paragraph,0.204224090576375,0.127000000000000,6.181000000000000,6181,0.111312339966617,0.000111312339967,0.000082526958663,0.000028785381303,0.028347324481093,0.000028347324481,0.000019898968053,0.000008448356428,0.350957119399231,0:05:50,1.834694074687707
Gemma3 1B (RAG),True,False,NQ,GS Paragraph,0.302531446174414,0.198000000000000,7.458000000000000,7458,0.115551199491844,0.000115551199492,0.000086765818189,0.000028785381303,0.033924587171207,0.000033924587171,0.000025476230743,0.000008448356428,0.364628227899040,0:06:04,2.618159287872788
Gemma3 4B (Base),False,False,NQ,Question Only,0.203945268227130,0.114000000000000,115.489999999999995,115490,0.235268706630351,0.000235268706630,0.000235268706630,0.000000000000000,0.069079736488286,0.000069079736488,0.000069079736488,0.000000000000000,0.720401528600167,0:12:00,0.866861008198441
Gemma3 4B (RAG),True,False,NQ,First Paragraph,0.385534223674794,0.270000000000000,8.560000000000000,8560,0.127328797830662,0.000127328797831,0.000098543416527,0.000028785381303,0.036273688742663,0.000036273688743,0.000027825332314,0.000008448356428,0.402996318699179,0:06:42,3.027863533177511
Gemma3 4B (RAG),True,False,NQ,GS Paragraph,0.520623897027154,0.390000000000000,9.250000000000000,9250,0.133495327212975,0.000133495327213,0.000104709945910,0.000028785381303,0.039193352542694,0.000039193352543,0.000030744996114,0.000008448356428,0.418643855598610,0:06:58,3.899940978432640
Gemma3 12B (Base),False,False,NQ,Question Only,0.295891772130956,0.177000000000000,7.550000000000000,7550,0.112447276572806,0.000112447276573,0.000112447276573,0.000000000000000,0.030710766485297,0.000030710766485,0.000030710766485,0.000000000000000,0.385858621499938,0:06:25,2.631382289987049
Gemma3 12B (RAG),True,False,NQ,First Paragraph,0.379401685936913,0.271000000000000,8.196000000000000,8196,0.148598848063293,0.000148598848063,0.000119813466760,0.000028785381303,0.043628057248347,0.000043628057248,0.000035179700820,0.000008448356428,0.465308553899216,0:07:45,2.553193990947444
Gemma3 12B (RAG),True,False,NQ,GS Paragraph,0.544109325185087,0.414000000000000,9.574999999999999,9575,0.169369473887336,0.000169369473887,0.000140584092584,0.000028785381303,0.044770980861008,0.000044770980861,0.000036322624433,0.000008448356428,0.519323397799104,0:08:39,3.212558394950353
Gemma3 27B (Base),False,False,NQ,Question Only,0.076778285163068,0.053000000000000,10.398999999999999,10399,0.176750706263042,0.000176750706263,0.000176750706263,0.000000000000000,0.042975119038494,0.000042975119038,0.000042975119038,0.000000000000000,0.566655886300287,0:09:26,0.434387430672021
