qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,American.,American.,yes,0,0.0,0.47352360002696514,0.00014984447679779704,4.39974237104144e-05,0.1499201999977231,4.086327426139115e-05,1.1998298704725626e-05
1,Shirley Temple.,Shirley Temple.,Chief of Protocol,0,0.0,0.6503745000227354,0.00019875249588607681,5.835782513894217e-05,0.20276420004665852,5.54646277934896e-05,1.6285556746035935e-05
2,Animorphs.,Animorphs.,Animorphs,1,1.0,0.5877333999960683,0.00019092959770981174,5.606086115962236e-05,0.19763890001922846,5.4256659033423046e-05,1.593087224580367e-05
3,No.,No.,no,1,1.0,0.5268626999459229,0.00015795752278551195,4.637958106136735e-05,0.14611349999904633,4.004645996307374e-05,1.1758465208398025e-05
4,Adriana Trigiani.,Adriana Trigiani.,"Greenwich Village, New York City",0,0.0,0.6046285000047646,0.000194269948921182,5.704165705366504e-05,0.1679056000430137,4.564476366374524e-05,1.085075831915579e-07
5,Pledis Entertainment,Pledis Entertainment,YG Entertainment,0,0.5,0.6764844999997877,0.00021784782107133683,6.396460578924094e-05,0.18061910005053505,4.931343437662703e-05,1.4479439704754417e-05
6,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh,1,1.0,0.599048700009007,0.0001960129409814379,5.755343541105121e-05,0.13189669995335862,3.632235787390148e-05,1.0664992155138579e-05
7,Not specified.,Not specified.,"3,677 seated",0,0.0,0.8929916999768466,0.0002981281543135894,8.753656461451665e-05,0.12522180000087246,3.403418862970397e-05,9.993138551258688e-06
8,Annie Morton.,Annie Morton.,Terry Richardson,0,0.0,0.5938832000247203,0.0001850765850267758,5.434229612138301e-05,0.044940699997823685,1.2067434119451389e-05,3.543247127936983e-06
9,Yes.,Yes.,yes,1,1.0,0.5411896000150591,0.00017934720422040743,5.2660031947734064e-05,0.06280590000096709,1.670843500922072e-05,4.905940548149809e-06
10,Not stated.,Not stated.,Kansas Song,0,0.0,0.6938626000192016,0.0002238169529112345,6.571726580284757e-05,0.11537240003235638,3.1302025825338354e-05,9.190919296212544e-06
