qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,No.,No.,yes,0,0.0,0.22143079998204485,6.388295857342997e-05,1.875735199785068e-05,0.0,0.0,0.0
1,Secretary of State.,Secretary of State.,Chief of Protocol,0,0.3333333333333333,0.1629696000018157,4.6126396585249705e-05,1.3543659787570357e-05,0.0,0.0,0.0
2,Mistborn: Final Empire.,Mistborn: Final Empire.,Animorphs,0,0.0,0.37642029998824,0.00010828292277143578,3.17940956889976e-05,0.0,0.0,0.0
3,Yes.,Yes.,no,0,0.0,0.3541473000077531,9.987625626972943e-05,2.932572530944178e-05,0.0,0.0,0.0
4,Brooklyn.,Brooklyn.,"Greenwich Village, New York City",0,0.0,0.3067936999723315,8.68445678290262e-05,2.549935325862917e-05,0.0,0.0,0.0
5,SM Entertainment.,SM Entertainment.,YG Entertainment,0,0.5,0.18327010003849864,5.130969528799577e-05,1.5065583011674888e-05,0.0,0.0,0.0
6,Simon Lancaster.,Simon Lancaster.,Eenasul Fateh,0,0.0,0.31767999997828156,8.972186221068026e-05,2.63441861330504e-05,0.0,0.0,0.0
7,Approximately 2 900.,"Approximately 2,900.","3,677 seated",0,0.0,0.2718056999729015,8.010927392744804e-05,2.3521732288309486e-05,0.0,0.0,0.0
8,Terry Richardson.,Terry Richardson.,Terry Richardson,1,1.0,0.24403890001121908,6.840100339827492e-05,2.008394298571598e-05,0.0,0.0,0.0
9,Yes.,Yes.,yes,1,1.0,0.35909030004404485,0.00010125253075006747,2.9729827834588395e-05,0.0,0.0,0.0
10,Rock Chalk.,Rock Chalk.,Kansas Song,0,0.0,0.2311716999975033,6.501828629157525e-05,1.9090707592483788e-05,0.0,0.0,0.0
11,Robert De Niro.,Robert De Niro.,David Weissman,0,0.0,0.40140520001295954,0.00011351866468457324,2.698586861528556e-07,0.0,0.0,0.0
12,1991 (Last Action Hero).,1991 (Last Action Hero).,1999,0,0.0,0.42170519998762757,0.00012158034002944855,3.569849119197263e-05,0.0,0.0,0.0
13,Yes. ,Yes.,no,0,0.0,0.33590870001353323,9.457594439000224e-05,2.776944460725491e-05,0.0,0.0,0.0
14,Sir Alex Ferguson (1993-2013).,Sir Alex Ferguson (1993-2013).,from 1986 to 2013,0,0.0,0.46298519999254495,0.00013187032818527073,3.871984358708146e-05,0.0,0.0,0.0
15,Unknown. Lake location insufficient.,Unknown. Lake location insufficient.,"9,984",0,0.0,0.3400374000193551,9.963909366459202e-05,2.925608948535614e-05,0.0,0.0,0.0
16,America East.,America East.,the North Atlantic Conference,0,0.0,0.12317769997753203,3.421719792177448e-05,1.0046873847602206e-05,0.0,0.0,0.0
17,Yes.,Yes.,yes,1,1.0,0.3846866000094451,0.00010882308891320918,3.1952699590332545e-05,0.0,0.0,0.0
18,Harry Truman (1945-1953).,Harry Truman (1945-1953).,1969 until 1974,0,0.0,0.4455504999496043,0.00012828931297345414,3.766838378719613e-05,0.0,0.0,0.0
19,Robert Erskine Childers.,Robert Erskine Childers.,Robert Erskine Childers DSC,0,0.8571428571428571,0.18171880004229024,5.24887300199143e-05,1.5411771885486465e-05,0.0,0.0,0.0
20,Hezam El-Saif.,Hezam El-Saif.,Pedro Rodríguez,0,0.0,0.35066910000750795,0.00010146975690563363,2.979360990658512e-05,0.0,0.0,0.0
21,Sonic.,Sonic.,Sonic,1,1.0,0.377201099996455,0.00010718888654658939,3.1472864126995734e-05,0.0,0.0,0.0
22,Mac OS.,Mac OS.,keyboard function keys,0,0.0,0.24757529998896644,6.925191830450121e-05,2.0333789122662793e-05,0.0,0.0,0.0
23,Wolf Alice.,Wolf Alice.,Badly Drawn Boy,0,0.0,0.42913429997861385,0.00012178465969296799,3.575848365215763e-05,0.0,0.0,0.0
24,Best Danish goalkeeper.,Best Danish goalkeeper.,World's Best Goalkeeper,0,0.6666666666666666,0.2714183999923989,7.611900251834937e-05,2.2350106442249293e-05,0.0,0.0,0.0
25,Linda Ronstadt Harry Nilsson.,"Linda Ronstadt, Harry Nilsson.",Barton Lee Hazlewood,0,0.0,0.3969257000135258,0.00011427055236274017,3.355218702328899e-05,0.0,0.0,0.0
26,1838.,1838.,1838,1,1.0,0.4002699000411667,0.00011521463850199136,3.382939015266303e-05,0.0,0.0,0.0
27,Yes.,Yes.,yes,1,1.0,0.26325449999421835,7.274202679462071e-05,2.135855683727341e-05,0.0,0.0,0.0
28,John Pierpont Morgan.,John Pierpont Morgan.,Henry J. Kaiser,0,0.0,0.4604888000176288,0.00013020018681726873,3.8229455692948846e-05,0.0,0.0,0.0
29,The Black February.,The Black February.,Arena of Khazan,0,0.0,0.22025710000889376,6.194351786013594e-05,1.8187892271022232e-05,0.0,0.0,0.0
30,1988,1988,2000,0,0.0,0.37765169999329373,0.00010629833684119741,3.12113803969268e-05,0.0,0.0,0.0
31,Japan.,Japan.,"Fujioka, Gunma",0,0.0,0.4223033000016585,0.00011954615273119044,3.5101211916950854e-05,0.0,0.0,0.0
32,Charles Nungesser and René Fonthaine.,Charles Nungesser and René Fonthaine.,Charles Eugène,0,0.28571428571428575,0.3231394999893382,9.200226975320681e-05,2.7013760741504974e-05,0.0,0.0,0.0
33,Yes.,Yes.,no,0,0.0,0.4404225000180304,0.00012502253955517167,3.670919184818296e-05,0.0,0.0,0.0
34,Letters to Cleo.,Letters to Cleo.,Letters to Cleo,1,1.0,0.4306334999855608,0.00012159237939504837,3.570202619760527e-05,0.0,0.0,0.0
35,The White Army.,The White Army.,October 1922,0,0.0,0.22216730000218377,6.534311350558002e-05,1.918608355076169e-05,0.0,0.0,0.0
36,2010.,2010.,2000,0,0.0,0.3984012000146322,0.00011254987399304196,3.304696042489314e-05,0.0,0.0,0.0
37,World War II.,World War II.,World War II,1,1.0,0.3193182999966666,9.018712000374983e-05,2.64807954008306e-05,0.0,0.0,0.0
38,No.,No.,no,1,1.0,0.35657840000931174,9.966263790338953e-05,2.9263002558646865e-05,0.0,0.0,0.0
39,Iowa City.,Iowa City.,New York City,0,0.4,0.3470657000434585,9.77167266530371e-05,2.8691642948908635e-05,0.0,0.0,0.0
40,Manchester Terrier.,Manchester Terrier.,Scotch Collie,0,0.0,0.3124590999796055,8.80482186790074e-05,2.5852769931553892e-05,0.0,0.0,0.0
41,Tata Consultancy Services.,Tata Consultancy Services.,Mumbai,0,0.0,0.33093080000253394,9.314308538802847e-05,2.7348727701471377e-05,0.0,0.0,0.0
42,2003,2003,1962,0,0.0,0.2764003000338562,7.726437180133543e-05,2.268641044707713e-05,0.0,0.0,0.0
43,Victory against Italy.,Victory against Italy.,sovereignty,0,0.0,0.4486540000070818,0.00012719694921877427,3.734764329687159e-05,0.0,0.0,0.0
44,Lyndon B. Johnson.,Lyndon B. Johnson.,Nelson Rockefeller,0,0.0,0.27783710003132,7.892759781655122e-05,2.3174767851243453e-05,0.0,0.0,0.0
45,North Sea.,North Sea.,Yellowcraig,0,0.0,0.4097524000098929,0.0001165563152872674,3.422333408216717e-05,0.0,0.0,0.0
46,Brian Wilson.,Brian Wilson.,Phil Spector,0,0.0,0.31183610000880435,8.817742667786488e-05,2.5890708060432532e-05,0.0,0.0,0.0
47,Council for Mutual Economic Assistance (CMEA).,Council for Mutual Economic Assistance (CMEA).,Organizations could come together to address global issues,0,0.0,0.4975943000172265,0.0001441672949162596,4.233048621588032e-05,0.0,0.0,0.0
48,Yes.,Yes.,yes,1,1.0,0.1404272000072524,4.083951501604367e-05,1.1991322501084813e-05,0.0,0.0,0.0
49,Hawker Hurricane VIII,Hawker Hurricane VIII,English Electric Canberra,0,0.0,0.2986685000360012,8.459212946701674e-05,2.4837990977464472e-05,0.0,0.0,0.0
50,1996 Pac-10.,"1996, Pac-10.",2009 Big 12 Conference,0,0.0,0.4936415000120178,0.0001427484407407677,4.191388141551355e-05,0.0,0.0,0.0
51,Carrefour: 1 738.,"Carrefour: 1,738.","1,462",0,0.0,0.41541209997376427,0.00011997243069048029,3.52263759029321e-05,0.0,0.0,0.0
52,Indianapolis.,Indianapolis.,Indianapolis Motor Speedway,0,0.5,0.3556401000241749,9.939163683832975e-05,2.9183431065988523e-05,0.0,0.0,0.0
53,Lucca.,Lucca.,Rome,0,0.0,0.18050470005255193,5.28818131558536e-05,1.5527189187845083e-05,0.0,0.0,0.0
54,Rick Silk Jake Gosling.,"Rick Silk, Jake Gosling.","Max Martin, Savan Kotecha and Ilya Salmanzadeh",0,0.0,0.19413159997202456,5.378158762348985e-05,1.5791381498048313e-05,0.0,0.0,0.0
55,Melbourne Geelong College.,"Melbourne, Geelong College.","Marion, South Australia",0,0.0,0.1471239000093192,4.0648826202211e-05,1.1935332339029298e-05,0.0,0.0,0.0
