qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,B.The American Association of Collegiate Registrars and Admissions Officers,Bologna Process,0,0.0,22.52667069999734,0.006132204026666619,0.001800541365325299,0.062248299989732914,1.6923502220662258e-05,4.969088709698529e-06
1,"Born near Owensville, Missouri",107 mi southwest of Louisville,0,0.0,18.08325490000425,0.004922617635558869,0.0014453818953120464,0.09822549999807961,2.671499889127315e-05,7.844073740727132e-06
2,Ali El Arabi,United Arab Emirates,0,0.0,16.32849499999429,0.004444915396112062,0.0013051186818422791,0.05040599999483675,1.369986444284829e-05,4.02256228289689e-06
3,Question: Which one out of these three statements regarding “The Great Gatsby” novel published back then can we say true today ?,Las Vegas,0,0.0,24.29352310000104,0.006613189448886503,0.0019417685888585183,0.07151179999345914,1.944536888994561e-05,5.709560689452288e-06
4,"Both writers lived until they reached their mid-eighties; however, Macdonald died before reaching that age while Buter did not live past eighty years old",Michel Butor,0,0.0,19.37237599999935,0.005273543735556936,0.001548421023897967,0.02200109999103006,5.967509996359392e-06,1.752183806949751e-06
5,Germany,Walldorf,0,0.0,10.03437120000308,0.0027315505388884045,0.0008020394812953878,0.04046069999458268,1.0995355554930735e-05,3.2284627871186133e-06
6,London,"City of Westminster, London",0,0.4,9.92834889999358,0.0027026901166652454,0.0007935654670897975,0.04697150000720285,1.2767328332362619e-05,3.748750479785418e-06
7,"During the Second Coalition against France, when they invaded northern France",War of 1870,0,0.0,16.605629700003192,0.004520376250555515,0.0013272755424583612,0.022030499996617436,5.975331109786768e-06,1.7544802468900487e-06
8,None,French Open,0,0.0,15.478016900000512,0.004213413567780662,0.001237144978383214,0.02448789999471046,6.6443188868611786e-06,1.950908832808164e-06
9,"Howard Phillips ""Lovecraft",horror fiction,0,0.0,11.086169799993513,0.003017878944998342,0.0008861113968785436,0.08990980000817217,2.4449552777352635e-05,7.1788921157695806e-06
10,United Kingdom,North West England,0,0.0,9.223336200011545,0.0025107772361117695,0.0007372158938413188,0.05400469999585766,1.4679749441873152e-05,4.310276694604921e-06
11,One,two Grammy awards,0,0.0,11.74086669999815,0.0031961024766658536,0.0009384414954281435,0.06958679998933803,1.8925007776124402e-05,5.556771952112913e-06
12,Season one was originally planned before it aired but they decided not too because there wasn’t enough time between filming episodes so we had no choice than wait until next year when everything would be ready again!,Daredevil,0,0.0,25.685967500001425,0.006992237495001043,0.002053064899859761,0.10787469999922905,2.934415110988387e-05,8.616046966790625e-06
13,"Before being married into politics, Elizabeth Keckley worked under Abraham Lincoln as seamstress working out of Washington DC where there wasn't much else going on besides war preparations so I think if anything we can say maybe some sewing projects like making clothes etc...",fashion model,0,0.0,30.89942709999741,0.008411440772781659,0.002469772203846562,0.11291970001184382,3.0717408335072424e-05,9.01926356369957e-06
14,End of Production,"October 15, 2013",0,0.0,13.104397100003553,0.003567287738336098,0.001047429131020508,0.14081589999841526,3.8311071667703794e-05,1.1248919472945146e-05
15,"Answer : <strong>The question asks about ""favorite""</strong>",1896,0,0.0,15.084669599993504,0.004106333956115768,0.001205704199611472,0.15700910000305157,4.2718158891431e-05,1.2542931024486899e-05
16,Question: What award does this person receive after they become famous or successful ?,Mercury Prize,0,0.0,21.911805700001423,0.005964823984446897,0.0017513951385468125,0.10485030000563711,2.8516725558114958e-05,8.373097787962199e-06
17,Adolpho Rodríguez Sáa,Adolfo Rodríguez Saá,0,0.3333333333333333,11.823033900000155,0.0032184700366688452,0.0009450090715967848,0.1313224000041373,3.572522666937503e-05,1.0489662138459267e-05
18,November 3rd,"January 30, 1930",0,0.0,15.259810000003199,0.004154014763891852,0.001219704266530255,0.0437551000068197,1.1889307778215475e-05,3.4909455664992673e-06
