qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,American,American,yes,0,0.0,0.10853279998991638,3.002696555828269e-05,7.138066235390087e-08,0.0,0.0,0.0
1,Director,Director,Chief of Protocol,0,0.0,0.1952989000128582,5.386666695099364e-05,1.5816362540400863e-05,0.0,0.0,0.0
2,*  **The Black Jewels**,*   **The Black Jewels**,Animorphs,0,0.0,0.30297829999472015,8.303138826182403e-05,2.4379725223700122e-05,0.0,0.0,0.0
3,No.,No.,no,1,1.0,0.15284299998893403,4.1937895441063395e-05,1.231382960970537e-05,0.0,0.0,0.0
4,New York City,New York City,"Greenwich Village, New York City",0,0.7499999999999999,0.24990880000405014,6.967979426037041e-05,2.045942231334275e-05,0.0,0.0,0.0
5,SM Entertainment.,SM Entertainment.,YG Entertainment,0,0.5,0.2684734000067692,7.469659767334284e-05,1.7757014464737695e-07,0.0,0.0,0.0
6,Aladin consultant.,"Aladin, consultant.",Eenasul Fateh,0,0.0,0.3101166000124067,8.644833125426757e-05,2.538301004170337e-05,0.0,0.0,0.0
7,Approximately 700.,Approximately 700.,"3,677 seated",0,0.0,0.25061030001961626,6.887128100750348e-05,1.6372209326097464e-07,0.0,0.0,0.0
8,Terry Richardson.,Terry Richardson.,Terry Richardson,1,1.0,0.30253120002453215,8.432835619436297e-05,2.4760541713477976e-05,0.0,0.0,0.0
9,No.,No.,yes,0,0.0,0.23463019999326207,6.450595799655442e-05,1.8940277456141268e-05,0.0,0.0,0.0
10,“The Fight Song”,“The Fight Song”,Kansas Song,0,0.0,0.2851033000042662,7.936829268659663e-05,2.330416493906911e-05,0.0,0.0,0.0
11,Paul Thomas Anderson,Paul Thomas Anderson,David Weissman,0,0.0,0.2769132000103127,7.596273222363124e-05,1.8058002330638833e-07,0.0,0.0,0.0
12,1988,1988,1999,0,0.0,0.2730104000074789,7.636958132675223e-05,1.8154719257970356e-07,0.0,0.0,0.0
13,Yes.,Yes.,no,0,0.0,0.15197380000608973,4.159013045486167e-05,9.886883353200739e-08,0.0,0.0,0.0
14,1990s.,1990s.,from 1986 to 2013,0,0.0,0.34585539999534376,9.656350598356751e-05,2.8353033615347886e-05,0.0,0.0,0.0
15,Approximately 100 million.,Approximately 100 million.,"9,984",0,0.0,0.23248819998116232,6.498362485520646e-05,1.5448028457349535e-07,0.0,0.0,0.0
16,The National Soccer League.,The National Soccer League.,the North Atlantic Conference,0,0.0,0.2582942000008188,7.139250554649992e-05,2.096230961195926e-05,0.0,0.0,0.0
17,Yes.,Yes.,yes,1,1.0,0.1629354000033345,4.475722570263862e-05,1.3141643024980629e-05,0.0,0.0,0.0
18,1990s.,1990s.,1969 until 1974,0,0.0,0.30509340000571683,8.498149949026883e-05,2.4952318033484514e-05,0.0,0.0,0.0
19,Henry Roth,Henry Roth,Robert Erskine Childers DSC,0,0.0,0.21398999998928048,5.909786543721067e-05,1.4048854754976e-07,0.0,0.0,0.0
20,Sergio Pérez,Sergio Pérez,Pedro Rodríguez,0,0.0,0.2364870999881532,6.434031802740949e-05,1.8891642150645933e-05,0.0,0.0,0.0
21,A hedgehog.,A hedgehog.,Sonic,0,0.0,0.31197149999206886,8.449085806878238e-05,2.480825560974801e-05,0.0,0.0,0.0
22,iPhone,iPhone,keyboard function keys,0,0.0,0.172959899995476,4.7934222609993704e-05,1.1395012768371022e-07,0.0,0.0,0.0
23,Badly Drawn Boy,Badly Drawn Boy,Badly Drawn Boy,1,1.0,0.238984800002072,6.646839408431726e-05,1.951648909839233e-05,0.0,0.0,0.0
24,George Selway,George Selway,World's Best Goalkeeper,0,0.0,0.29847149999113753,8.319125894761991e-05,2.4426666548813678e-05,0.0,0.0,0.0
25,Robert Hill,Robert Hill,Barton Lee Hazlewood,0,0.0,0.21705219999421388,6.002837225000803e-05,1.42700565693697e-07,0.0,0.0,0.0
26,1892,1892,1838,0,0.0,0.29189670001505874,8.121834046703608e-05,2.384737706019617e-05,0.0,0.0,0.0
27,Yes.,Yes.,yes,1,1.0,0.25212209997698665,6.829917700875777e-05,2.0054044661131528e-05,0.0,0.0,0.0
28,George Washington Root,George Washington Root,Henry J. Kaiser,0,0.0,0.31458470001234673,8.769653792893135e-05,2.5749509222166706e-05,0.0,0.0,0.0
29,“Exploration”,“Exploration”,Arena of Khazan,0,0.0,0.2615530999901239,7.320670288160472e-05,1.7402833897056062e-07,0.0,0.0,0.0
30,2023,2023,2000,0,0.0,0.30436869998811744,8.479824839935585e-05,2.4898511740022168e-05,0.0,0.0,0.0
31,India.,India.,"Fujioka, Gunma",0,0.0,0.2189825999957975,5.9181930515145745e-05,1.4068838862035338e-07,0.0,0.0,0.0
32,Charles Lindbergh,Charles Lindbergh,Charles Eugène,0,0.5,0.2952166000031866,8.16252817377751e-05,2.3966863396273273e-05,0.0,0.0,0.0
33,Yes.,Yes.,no,0,0.0,0.21560500000487082,5.977004899992456e-05,1.4208647484736823e-07,0.0,0.0,0.0
34,Screaming Trees,Screaming Trees,Letters to Cleo,0,0.0,0.308503699983703,8.612271576923957e-05,2.5287402630822417e-05,0.0,0.0,0.0
35,Russia.,Russia.,October 1922,0,0.0,0.25151040000491776,6.79241055800271e-05,1.99439159668734e-05,0.0,0.0,0.0
36,19th century.,19th century.,2000,0,0.0,0.2668058999988716,7.439033046241737e-05,1.768420805234578e-07,0.0,0.0,0.0
37,World War I,World War I,World War II,0,0.6666666666666666,0.28600019999430515,7.794635121810324e-05,2.2886653645909237e-05,0.0,0.0,0.0
38,Yes.,Yes.,no,0,0.0,0.25509570000576787,6.960602688426608e-05,2.043776269283603e-05,0.0,0.0,0.0
39,Oxford,Oxford,New York City,0,0.0,0.19575600000098348,5.417750148462848e-05,1.5907629959610554e-05,0.0,0.0,0.0
40,Scotch Collie,Scotch Collie,Scotch Collie,1,1.0,0.29024040000513196,8.094130671391121e-05,2.3766034246107875e-05,0.0,0.0,0.0
41,Google ,Google,Mumbai,0,0.0,0.155048100015847,4.2156791649107895e-05,1.0021591108791416e-07,0.0,0.0,0.0
42,1980s.,1980s.,1962,0,0.0,0.36834339998313226,0.0001029869873424878,3.023910000287135e-05,0.0,0.0,0.0
43,Battle of Adria 1447.,"Battle of Adria, 1447.",sovereignty,0,0.0,0.38385770001332276,0.00010719366239779744,2.5482277279212456e-07,0.0,0.0,0.0
44,George H.W. Bush,George H.W. Bush,Nelson Rockefeller,0,0.0,0.2800551000109408,7.792043603048471e-05,2.2879044413226432e-05,0.0,0.0,0.0
45,The Moray Firth.,The Moray Firth.,Yellowcraig,0,0.0,0.3678848000126891,0.00010251611896824783,3.0100843352936724e-05,0.0,0.0,0.0
46,Robert Glasper,Robert Glasper,Phil Spector,0,0.0,0.26568400001269765,7.340161893131475e-05,1.7449169703798512e-07,0.0,0.0,0.0
47,Political discussion forum.,Political discussion forum.,Organizations could come together to address global issues,0,0.0,0.3329739999899175,9.223927523916445e-05,2.7083350432164326e-05,0.0,0.0,0.0
