qid,prompt,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Reading Football Club (/ˈrɛdɪŋ/ ( listen) RED-ing) is a professional association football club based in Reading, Berkshire, England. The team play in the Championship, the second tier of English football.
Question: who is the owner of reading football club
Answer: ",The owner of Reading Football Club is Sir Dave Armstrong., owner of reading football club is sir dave armstrong,Dai Yongge,0,0.0,0.3641819999902509,0.0001021888920437,3.0004762790235265e-05,0.0721720000728964,3.621276111807674e-05,1.0632812291013089e-05
1,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: As per the Fourth Schedule (Articles 4(1) and 80(2)) of the Constitution of India, 12 members are nominated by President for term of six years for their contributions to art, literature, science, and social services.
Question: who was the first lady nominated member of the rajya sabha
Answer: ",Sushma Swaraj,sushma swaraj,Mary Kom,0,0.0,0.3166938999929698,8.885648783267167e-05,2.609009439746539e-05,0.0497977000195533,2.5513235028339273e-05,7.491211126052878e-06
2,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Law & Order: Special Victims Unit (often abbreviated to Law & Order: SVU or just SVU) is an American police procedural, legal, crime drama television series set in New York City, where it is also primarily produced. In the style of the original Law & Order, episodes are often ""ripped from the headlines"" or loosely based on real crimes that have received media attention. Created by Dick Wolf, the series premiered on NBC on September 20, 1999, as the second series in Wolf's successful Law & Order franchise. Law & Order: Special Victims Unit has been nominated for and won numerous awards, including the 2006 Emmy for Outstanding Lead Actress in a Drama Series for Mariska Hargitay, the first, and to date only, Emmy to be received by a regular on any Law & Order series. It is the current longest running scripted non-animated U.S. primetime TV series since the cancellation of the original Law & Order on May 24, 2010 and is the fourth-longest running scripted U.S. primetime TV series on a major broadcast network.
Question: cast of law & order special victim unit
Answer: ",Mariska Hargitay John Noble Anthony Rapp and David Schwimmer.,mariska hargitay john noble anthony rapp and david schwimmer,Christopher Meloni,0,0.0,0.362980099991546,0.000101548568455,2.9816750600225302e-05,0.01972800004296,1.007503665621496e-05,2.958238208937196e-06
3,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: New Earswick is a model village and civil parish in the unitary authority of City of York in North Yorkshire, England, near the River Foss, north of York and south of Haxby. According to the 2001 census the parish had a population of 2,812, reducing to 2,737 at the 2011 Census.[1] Before 1996 it had been part of the Ryedale district.
Question: who designed the garden city of new earswick
Answer: ",The garden city of New Earswick was designed by Ebenezer Howard., garden city of new earswick was designed by ebenezer howard,planner Raymond Unwin and the architect Barry Parker,0,0.0,0.3227228000032482,9.011722807993094e-05,2.646027369291109e-05,0.0449328999966383,2.3772330051805407e-05,6.980045579420896e-06
4,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: The evolution of the eye is attractive to study, because the eye distinctively exemplifies an analogous organ found in many animal forms. Complex, image-forming eyes have evolved independently several times.[1] The evolutionary geneticist Walter Gering holds a different opinion. According his theory, the genes engaged with photoreceptor cells (so called Pax 6 genes) appeared probably at once in the life history, at a very early stage of the evolution. [2] Probably, the complex, image forming kinds of eyes are at least five: Chidaria - lens eye, complex eye; Molluscs - lens eye, everse retina; Annelids- lens eye, everse retina; Arthropods - facet eye; Vertebrate- lens eye, inverse retina [3]
Question: what is the first step in the evolution of the eye
Answer: ",The first step in the evolution of the eye is the appearance of photoreceptor cells which are governed by the Pax 6 genes., first step in evolution of eye is appearance of photoreceptor cells which are governed by pax 6 genes,"photoreceptor proteins that sense light, found even in unicellular organisms, called ""eyespots""",0,0.1333333333333333,0.3694623000046704,0.0001068985124354,3.138760430911725e-05,0.0483086999738588,2.588618255665614e-05,7.600716199418053e-06
5,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: 
Question: who is the president of usa right now
Answer: ",Joe Biden,joe biden,Donald Trump,0,0.0,0.2234622000105446,6.071743547416469e-05,1.782788923726179e-05,0.0401177000021562,2.0987617791009445e-05,6.162396721964793e-06
6,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: ""Flight"" is the twenty-fourth and final episode of the eighth season of the American television medical drama Grey's Anatomy, and the show's 172nd episode overall. It was written by series creator Shonda Rhimes, and directed by Rob Corn. The episode was originally broadcast on the American Broadcasting Company (ABC) in the United States on May 17, 2012. In the episode, six doctors from Seattle Grace Mercy West Hospital who are victims of an aviation accident fight to stay alive, but Dr. Lexie Grey (Chyler Leigh) ultimately dies. Other storylines occur in Seattle where Dr. Richard Webber (James Pickens, Jr.) plans his annual dinner for the departing residents, Dr. Owen Hunt (Kevin McKidd) fires Dr. Teddy Altman (Kim Raver), and Dr. Miranda Bailey (Chandra Wilson) gets engaged.
Question: who died in the plane crash greys anatomy
Answer: ",Dr. Lexie Grey.,dr lexie grey,Dr. Lexie Grey,1,1.0,0.347158299991861,9.762064930581904e-05,2.866343266151693e-05,0.0307096000178717,1.5729853353049192e-05,4.618608824739562e-06
7,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Kylo Ren is a fictional character in the Star Wars franchise. Introduced in the 2015 film Star Wars: The Force Awakens, he is portrayed by Adam Driver. Kylo Ren is the chosen name of Ben Solo,[1][2][3] the son of original Star Wars trilogy characters Han Solo and Leia Organa. Though trained by his uncle Luke Skywalker as a Jedi, he has been seduced to the dark side of the Force by Supreme Leader Snoke and aspires to be as powerful as his grandfather, Darth Vader. Kylo Ren is also the master of the Knights of Ren, as well as a commander and later the supreme leader of the First Order, an organization spawned from the fallen Galactic Empire. He is featured in The Force Awakens media and merchandising and appears in the film's sequel, Star Wars: The Last Jedi (2017).
Question: where does kylo ren's name come from
Answer: ",Kylo Ren's name comes from Ben Solo the original name of the character.,kylo rens name comes from ben solo original name of character,"the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren.""",0,0.32,0.3780393000051845,0.0001058796425323,3.10884431268763e-05,0.0414278999960515,2.175893111044489e-05,6.388870194019964e-06
8,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Jeep is a brand of American automobiles that is a division of FCA US LLC (formerly Chrysler Group, LLC), a wholly owned subsidiary of Fiat Chrysler Automobiles.[2][3] Jeep has been a part of Chrysler since 1987, when Chrysler acquired the Jeep brand, along with remaining assets, from its previous owner: American Motors Corporation (AMC).
Question: what type of car is a jeep considered
Answer: ",A Jeep is considered an American automobile brand., jeep is considered american automobile brand,sport utility vehicles,0,0.0,0.3228130999923451,9.035717769451198e-05,2.653072784035437e-05,0.0435089999809861,2.3541397198349993e-05,6.9122389387007055e-06
9,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Manchester United Football Club is a professional football club based in Old Trafford, Greater Manchester, England, that competes in the Premier League, the top flight of English football. Nicknamed ""the Red Devils"", the club was founded as Newton Heath LYR Football Club in 1878, changed its name to Manchester United in 1902 and moved to its current stadium, Old Trafford, in 1910.
Question: what is the name of manchester united stadium
Answer: ",Old Trafford,old trafford,Old Trafford,1,1.0,0.2495631000056164,6.936134252771716e-05,2.036591832766186e-05,0.0397460999665781,2.109774578228717e-05,6.194732567757504e-06
