qid,prompt,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Reading Full name Reading Football Club Nickname ( s ) The Royals Founded 1871 ; 147 years ago ( 1871 ) Ground Madejski Stadium Ground Capacity 24,161 Owner Dai Yongge and Dai Xiuli ( majority ) Chairman Sir John Madejski Manager Jaap Stam League Championship 2016 -- 17 Championship , 3rd Website Club website Home colours Away colours Current season
Question: who is the owner of reading football club
Answer: ","Hmm the user is asking about the owner of Reading Football Club based on the provided context. Let me check the context carefully.  Looking at the context there's a section that says ""Owner Dai Yongge and Dai Xiuli (majority)"". So the owners are Dai Yongge and Dai Xi as the majority owners.   I should make sure I'm interpreting this correctly. The context lists ""Dai Yongge and Dai Xiuli"" with the note ""(majority)"" meaning they hold the majority stake. The phrasing ""Dai Xiuli"" might be a bit unusual - I recall that in Chinese contexts ""Dai"" is a surname and ""Xiuli"" could be a given name but I'll stick to what's written in the context.  The user wants a concise answer without excessive reasoning. So I'll just state the owners as ""Dai Yongge and Dai Xiuli"" since that's what the context specifies.   I don't need to add any extra information about the club or the context - just give the direct answer from the provided text. The question is very specific about who the owner is so I'll keep it simple.  The answer should be: Dai Yongge and Dai Xiuli  Wait I should double-check the spelling. The context says ""Dai Yongge and Dai Xiuli"" - yes that's how it's written. I won't change it to ""Dai Xiu Li"" or anything since the context uses ""Xiuli"" as one word.  Okay that's clear and direct. The user said ""concise direct answers"" so I'll just state the names without any fluff. </think>  Dai Yongge and Dai Xiuli (majority)",dai yongge and dai xiuli majority,Dai Yongge and Dai Xiuli (majority),1,0.8333333333333334,2.179205899999942,0.0007404414490285,0.0002174088552467,0.0721720000728964,3.621276111807674e-05,1.0632812291013089e-05
1,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: 132 -- Roopa Ganguly 2016 - 2022
Question: who was the first lady nominated member of the rajya sabha
Answer: ","Hmm the user is asking about who was the first lady nominated member of the Rajya Sabha based on the provided context. The context given is just ""132 -- Roopa Ganguly 2016 - 2022"" which seems to be a reference to a person and dates.  I need to be careful here. The context doesn't actually provide any information about who the first lady nominated member of Rajya Sabha was. It just mentions Roopa Ganguly with the years 2016-2022. That's probably indicating she was a member during that period but it doesn't say she was the first woman nominated or anything about that historical context.  The user wants a concise direct answer without excessive reasoning. But since the context doesn't contain the answer to this question I should be honest about that. I recall that in Indian politics the first woman nominated to Rajya Sabha was actually Shri Nalini Singh in 1990 but that's not in the provided context. The context only gives Roopa Ganguly's tenure.  The user might be confused or testing if I'll make up information. My responsibility is to use only the provided context. Since the context doesn't answer who the first lady nominated member was I should state that the context doesn't provide that information.  I'll phrase it clearly: the answer isn't in the given context. I'll avoid adding external knowledge since the user specified ""using the provided context."" The answer should be short - just that the context doesn't contain that information.  Also the user wrote ""lady nominated"" which might be a typo for ""lady nominated"" meaning woman nominated. But in any case the context doesn't help here.  Final decision: I'll say the context doesn't provide information about who the first lady nominated member of Rajya Sabha was. That's the most accurate and concise response based on what's given. </think>  The provided context does not include information about who was the first lady nominated member of the Rajya Sabha.", provided context does not include information about who was first lady nominated member of rajya sabha,Mary Kom,0,0.0,2.622766899999988,0.0008867463511452,0.0002603669869504,0.0497977000195533,2.5513235028339273e-05,7.491211126052878e-06
2,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Cast Character Rank / Position Seasons Notes Regular Recurring Guest Christopher Meloni Elliot Stabler Detective 1 -- 12 Mariska Hargitay Olivia Benson Lieutenant 1 -- Richard Belzer John Munch DA Investigator 1 -- 15 15 , 17 Dann Florek Donald Cragen Captain 1 -- 15 16 Michelle Hurd Monique Jeffries Detective 1 -- 2 Stephanie March Alexandra Cabot Assistant District Attorney 2 -- 5 , 11 2 , 10 , 13 6 Ice - T Odafin `` Fin '' Tutuola Detective 2 -- Tamara Tunie Melinda Warner Medical Examiner 7 -- 12 2 -- 6 , 13 -- 17 19 B.D. Wong George Huang FBI Special Agent 4 -- 12 2 -- 3 13 -- 15 , 17 Diane Neal Casey Novak Senior Assistant District Attorney 5 -- 9 13 12 Adam Beach Chester Lake Detective 9 8 Michaela McManus Kim Greylek Assistant District Attorney 10 Danny Pino Nick Amaro Detective 13 -- 16 Kelli Giddish Amanda Rollins Detective 13 -- Raúl Esparza Rafael Barba Assistant District Attorney 15 -- 14 Peter Scanavino Dominick Carisi Jr . Detective 16 -- 16
Question: cast of law & order special victim unit
Answer: ","Hmm the user wants me to answer a question about the cast of Law & Order: Special Victims Unit based on the provided context. They need a concise direct answer without excessive reasoning.  Looking at the context it's a character list for Law & Order: Special Victims Unit. The context shows character names their ranks/positions seasons they appeared in and notes. I need to extract just the cast members for this specific show.  The show is called ""Law & Order Special Victims Unit"" but in the context it's listed as ""Law & Order: Special Victims Unit"" - I should use the full title as it appears in the context.   I'll go through the list and identify all characters who are part of this show. The context shows that this is for Law & Order: SVU not the original Law & Order. The character list includes:  - Christopher Meloni as Elliot Stabler (Detective) - Seasons 1-12 - Mariska Hargitay as Olivia Benson (Lieutenant) - Seasons 1-12 - Richard Belzer as John Munch (DA Investigator) - Seasons 1-15 - Dann Florek as Donald Cragen (Captain) - Seasons 1-15 - Michelle Hurd as Monique Jeffries (Detective) - Seasons 1-2 - Stephanie March as Alexandra Cabot (Assistant District Attorney) - Seasons 2-5 and 11 - Tamara Tunie as Melinda Warner (Medical Examiner) - Seasons 7-12 - B.D. Wong as George Huang (FBI Special Agent) - Seasons 4-12 - Diane Neal as Casey Novak (Senior Assistant District Attorney) - Seasons 5-9 - Adam Beach as Chester Lake (Detective) - Season 9 - Michaela McManus as Kim Greylek (Assistant District Attorney) - Season 10 - Danny Pino as Nick Amaro (Detective) - Seasons 13-16 - Kelli Giddish as Amanda Rollins (Detective) - Seasons 13-16 - Raúl Esparza as Rafael Barba (Assistant District Attorney) - Seasons 15-14 (this seems odd probably a typo) - Peter Scanavino as Dominick Carisi Jr. (Detective) - Season 16  I should note that the context shows this is for Law & Order: Special Victims Unit so I'll present the cast members with their character names and roles. The user wants a concise answer so I'll list just the names and characters without the seasons or notes.  The answer should be a straightforward list of the main cast for SVU. I'll format it clearly as ""The main cast of Law & Order: Special Victims Unit includes: [list of characters]"". I'll make sure to use the names as they appear in the context.  I need to be careful with the spelling - for example ""Raúl Esparza"" has an accent but I'll write it as ""Raúl Esparza"" to be accurate. Also the context has some characters with multiple seasons but for the answer I just need to list who's in the show.  The user said ""concise direct answers without excessive reasoning or repetition"" so I'll keep it to one sentence with a bullet-point list for clarity. I'll avoid adding any extra information beyond what's in the context.  Okay I think I have it: The main cast members for Law & Order: Special Victims Unit as listed in the context are Christopher Meloni Mariska Hargitay Richard Belzer Dann Florek Michelle Hurd Stephanie March Tamara Tunie B.D. Wong Diane Neal Adam Beach Michaela McManus Danny Pino Kelli Giddish and Raúl Esparza. I'll present this in a clean format. </think>  The main cast of *Law & Order: Special Victims Unit* includes:  - Christopher Meloni as Elliot Stabler  - Mariska Hargitay as Olivia Benson  - Richard Belzer as John Munch  - Dann Florek as Donald Cragen  - Michelle Hurd as Monique Jeffries  - Stephanie March as Alexandra Cabot  - Tamara Tunie as Melinda Warner  - B.D. Wong as George Huang  - Diane Neal as Casey Novak  - Adam Beach as Chester Lake  - Michaela McManus as Kim Greylek  - Danny Pino as Nick Amaro  - Kelli Giddish as Amanda Rollins  - Raúl Esparza as Rafael Barba  - Peter Scanavino as Dominick Carisi Jr.", peter scanavino as dominick carisi jr,Christopher Meloni,0,0.0,5.948983900001622,0.0020662898015148,0.0006067052309738,0.01972800004296,1.007503665621496e-05,2.958238208937196e-06
3,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: The village of New Earswick was built as a genuine mixed community . There was housing for both workers and managers , in a green setting with gardens for each home with its own 2 fruit trees . It was founded by the York philanthropist , Joseph Rowntree , who was quoted as saying , `` I do not want to establish communities bearing the stamp of charity but rather of rightly ordered and self governing communities '' . The first 28 houses were built between 1902 and 1904 by the architect Raymond Unwin , after which the Joseph Rowntree Village Trust ( now the Joseph Rowntree Housing Trust ) was established to continue building and manage the new village . The Joseph Rowntree Housing Trust is part of the Joseph Rowntree Foundation .
Question: who designed the garden city of new earswick
Answer: ","Hmm the user wants me to answer who designed the garden city of New Earswick based on the provided context. Let me carefully examine the text.  Looking at the context: It states that New Earswick was built as a mixed community with housing for workers and managers. The key detail here is that ""the first 28 houses were built between 1902 and 1904 by the architect Raymond Unwin.""   I see that the context specifically mentions Raymond Unwin as the architect who built the first houses. The text also notes that the Joseph Rowntree Village Trust was established to continue building and managing the village after these initial houses were constructed.  The question asks about ""who designed the garden city of New Earswick."" While New Earswick is described as a garden city in the context (with ""gardens for each home"") the context clearly attributes the initial construction to Raymond Unwin.   I should be careful not to confuse this with the broader Garden City movement. The context doesn't mention any other designers for the entire village - it specifically says Unwin built the first 28 houses. Since the village was founded by Joseph Rowntree but he wasn't the designer and the Trust was established later for management the answer should be Raymond Unwin.  The user wants a concise answer without excessive reasoning so I'll just state ""Raymond Unwin"" as the designer of the initial houses that formed the garden city. The context makes it clear that Unwin was the architect responsible for the first construction phase.  I recall that Raymond Unwin was actually a prominent figure in the Garden City movement which aligns with this being a garden city project. So this answer fits perfectly with the historical context too.  The answer should be straightforward: Raymond Unwin designed the garden city of New Earswick based on the provided information. </think>  Raymond Unwin",raymond unwin,Raymond Unwin,1,1.0,2.3819421000007424,0.0008124734480626,0.0002385589333139,0.0449328999966383,2.3772330051805407e-05,6.980045579420896e-06
4,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: The earliest predecessors of the eye were photoreceptor proteins that sense light , found even in unicellular organisms , called `` eyespots '' . Eyespots can only sense ambient brightness : they can distinguish light from dark , sufficient for photoperiodism and daily synchronization of circadian rhythms . They are insufficient for vision , as they can not distinguish shapes or determine the direction light is coming from . Eyespots are found in nearly all major animal groups , and are common among unicellular organisms , including euglena . The euglena 's eyespot , called a stigma , is located at its anterior end . It is a small splotch of red pigment which shades a collection of light sensitive crystals . Together with the leading flagellum , the eyespot allows the organism to move in response to light , often toward the light to assist in photosynthesis , and to predict day and night , the primary function of circadian rhythms . Visual pigments are located in the brains of more complex organisms , and are thought to have a role in synchronising spawning with lunar cycles . By detecting the subtle changes in night - time illumination , organisms could synchronise the release of sperm and eggs to maximise the probability of fertilisation .
Question: what is the first step in the evolution of the eye
Answer: ","Hmm the user wants me to answer a specific question about the evolution of the eye based on the provided context. They need a concise direct answer without excessive reasoning.  Let me look at the context carefully. The text states: ""The earliest predecessors of the eye were photoreceptor proteins that sense light found even in unicellular organisms called 'eyespots'."" This clearly indicates that photoreceptor proteins (which form eyespots) were the first step in eye evolution.  The context further explains that eyespots can sense ambient brightness but not shapes or direction and they're found in unicellular organisms like euglena. The text emphasizes that these are the earliest predecessors meaning they came before true eyes evolved.  I need to make sure my answer is precise. The question asks for ""the first step "" and the context directly identifies photoreceptor proteins as the earliest predecessors. I should avoid adding extra details like how eyespots work or their functions since the user wants conciseness.  The user specified ""no excessive reasoning or repetition "" so I'll just state the key point: photoreceptor proteins that sense light. That's exactly what the context says are the earliest predecessors.  I recall that in evolutionary biology eyespots are indeed considered simple light-detecting structures that evolved before complex eyes. The context supports this by mentioning they're in unicellular organisms and serve basic light detection.  Okay my answer should be straightforward: ""photoreceptor proteins that sense light."" I'll phrase it as the context describes it to keep it accurate and minimal.  Double-checking: the context says ""photoreceptor proteins that sense light found even in unic... called 'eyespots'."" So yes the first step is these photoreceptor proteins forming eyespots.  Final answer: photoreceptor proteins that sense light. </think>  photoreceptor proteins that sense light",photoreceptor proteins that sense light,photoreceptor proteins that sense light,1,1.0,2.488852999998926,0.0008444749981667,0.0002479552473417,0.0483086999738588,2.588618255665614e-05,7.600716199418053e-06
5,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Donald Trump is the 45th and current president , inaugurated on January 20 , 2017 .
Question: who is the president of usa right now
Answer: ","Hmm the user wants me to answer who the current US president is based on the provided context. Let me check the context carefully.  The context states: ""Donald Trump is the 45th and current president inaugurated on January 20 2017.""   This is straightforward information. The context clearly identifies Donald Trump as the current president. The inauguration date (January 20 2017) confirms he's the one in office now since that's when he took office.  I need to provide a concise answer without extra reasoning. The user specifically asked for ""concise direct answers without excessive reasoning or repetition."" So I shouldn't add any fluff like ""as per the context"" or explain the inauguration date.  The answer should be just the name: Donald Trump. But I should phrase it as ""Donald Trump"" since that's the complete name and matches how the context presents it.  I recall that Trump is indeed the 45th president and was inaugurated in 2017 so this information is current as of when this context was written. The user didn't specify a date but since the context says ""current president"" and gives the 2017 inauguration it's accurate for now.  The question is ""who is the president of usa right now"" - so I'll answer directly with Donald Trump. No need for ""the"" or extra words.  Let me make sure I'm not missing anything. The context says ""current president"" so it's definitive. I'll keep it to one sentence: ""Donald Trump""  That should satisfy the user's request for conciseness and directness. </think>  Donald Trump",donald trump,Donald Trump,1,1.0,2.1976810000014666,0.0007419647006821,0.0002178561132962,0.0401177000021562,2.0987617791009445e-05,6.162396721964793e-06
6,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: After their plane crashes in the woods , Dr. Meredith Grey ( Ellen Pompeo ) , Dr. Lexie Grey ( Chyler Leigh ) , Dr. Cristina Yang ( Sandra Oh ) , Dr. Arizona Robbins ( Jessica Capshaw ) , Dr. Derek Shepherd ( Patrick Dempsey ) , and Dr. Mark Sloan ( Eric Dane ) desperately fight to stay alive . Meredith is relatively unscathed , while the rest have serious injuries : the pilot , Jerry ( James LeGros ) , has a major spine injury , and Yang dislocates her arm . Robbins ' femur is broken and sticking through the skin , Sloan has serious internal injuries ; though initially adrenaline keeps him on his feet . Shepherd is sucked out the side of the plane and awakens alone in the wood ; his mangled hand having been pushed through the door of the plane . However , none are in as bad shape as Lexie , who is crushed under a piece of the plane . While Meredith searches for Shepherd , Yang and Sloan try to move the debris off Lexie . Eventually , the two realize that they can not save her , so Sloan holds her hand while she dies , telling her that he loves her . As Sloan tells her of the life the two were meant to have together , Lexie dies with a smile on her face just as Meredith and Yang are approaching .
Question: who died in the plane crash greys anatomy
Answer: ","Hmm the user is asking about who died in the plane crash from Grey's Anatomy based on the provided context. Let me analyze this carefully.  Looking at the context text: It describes a plane crash scenario where several characters are injured. The key deaths mentioned are:  - Lexie Grey dies after being crushed under debris. The text specifically states: ""Sloan holds her hand while she dies"" and ""Lexie dies with a smile on her face""  Other characters have serious injuries but don't die in this scene: - Meredith is unscathed - Yang has a dislocated arm but survives - Robbins has a broken femur but survives - Sloan has internal injuries but survives - Shepherd is injured but survives  The context clearly states that Lexie is the only one who dies in this particular crash scene. The other characters are alive but injured. The question specifically asks who died in the plane crash and the answer is Lexie Grey.  I should provide a concise answer without adding extra information. The user wants direct response without excessive reasoning.   The answer is simply ""Lexie Grey"" since that's the only character who dies in this scene according to the context. I'll make sure to phrase it as ""Lexie Grey"" since the context identifies her by name and the show's character names.  No need to mention other injuries or the other characters' conditions since the question specifically asks about who died. The context is very clear about Lexie's death. </think>  Lexie Grey",lexie grey,Dr. Lexie Grey,0,0.8,2.011321099998895,0.0006807602084037,0.0001998852141527,0.0307096000178717,1.5729853353049192e-05,4.618608824739562e-06
7,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Kylo Ren is a fictional character in the Star Wars franchise . Introduced in the 2015 film Star Wars : The Force Awakens , he is portrayed by Adam Driver . Kylo Ren is the chosen name of Ben Solo , the son of original Star Wars trilogy characters Han Solo and Leia Organa . Though trained by his uncle Luke Skywalker as a Jedi , he has been seduced to the dark side of the Force by Supreme Leader Snoke and aspires to be as powerful as his grandfather , Darth Vader . Kylo Ren is also the master of the Knights of Ren , as well as a commander and later the supreme leader of the First Order , an organization spawned from the fallen Galactic Empire . He is featured in The Force Awakens media and merchandising and appears in the film 's sequel , Star Wars : The Last Jedi ( 2017 ) .
Question: where does kylo ren's name come from
Answer: ","Hmm the user is asking about where Kylo Ren's name comes from. I need to recall the context provided. The context says: ""Kylo Ren is the chosen name of Ben Solo the son of original Star Wars trilogy characters Han Solo and Leia Organa."" So Kylo Ren is the chosen name for Ben Solo. That means the name itself isn't from a specific origin like a myth or history—it's a name given to him by the creators.  The user wants a concise direct answer without excessive reasoning. I should stick to the facts from the context. The context explicitly states that Kylo Ren is the chosen name of Ben Solo. So I don't need to add extra details about the characters or the story. Just state that it's the chosen name for Ben Solo.  Also the user might be a Star Wars fan or someone doing research so I should keep it accurate and simple. They probably want a quick answer without confusion. No need to mention Adam Driver or the other parts of the context since the question is specifically about the name's origin.  My answer should be: ""Kylo Ren is the chosen name of Ben Solo."" That's direct and matches the context. I'll avoid any fluff to keep it concise. </think>  Kylo Ren is the chosen name of Ben Solo.",kylo ren is chosen name of ben solo,"the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren.""",0,0.3636363636363636,1.739709600002243,0.0005898544448338,0.0001731934102038,0.0414278999960515,2.175893111044489e-05,6.388870194019964e-06
8,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Prior to 1940 the term `` jeep '' had been used as U.S. Army slang for new recruits or vehicles , but the World War II `` jeep '' that went into production in 1941 specifically tied the name to this light military 4x4 , arguably making them the oldest four - wheel drive mass - production vehicles now known as SUVs . The Jeep became the primary light 4 - wheel - drive vehicle of the United States Army and the Allies during World War II , as well as the postwar period . The term became common worldwide in the wake of the war . Doug Stewart noted : `` The spartan , cramped , and unstintingly functional jeep became the ubiquitous World War II four - wheeled personification of Yankee ingenuity and cocky , can - do determination . ''
Question: what type of car is a jeep considered
Answer: ","Hmm the user wants me to answer what type of car a jeep is considered based on the provided context. Let me carefully read through the context to find the answer.  The context says: ""Prior to 1940 the term 'jeep' had been used as U.S. Army slang for new recruits or vehicles but the World War II 'jeep' that went into production in 1.941 specifically tied the name to this light military 4x4 arguably making them the oldest four-wheel drive mass-production vehicles now known as SUVs.""  Ah here it is! The context explicitly states that the WWII jeep was a ""light military 4x4"" and ""arguably making them the oldest four-wheel drive mass-production vehicles now known as SUVs."" So the context directly identifies jeeps as SUVs.  The context also mentions that ""The Jeep became the primary light 4-wheel drive vehicle..."" which reinforces the 4x4 aspect. And the key phrase is ""now known as SUVs"" - this is crucial because it shows that modern classification considers jeeps as SUVs.  I should be careful not to overcomplicate this. The question is straightforward: what type of car is a jeep considered? Based on the context it's clearly classified as an SUV. The context even specifies that they are ""the oldest four-wheel drive mass-production vehicles now known as SUVs.""  I'll give a concise answer without adding extra explanation since the user wants direct answers without excessive reasoning. The answer should be just ""SUV"" or ""sport utility vehicle"" but since the context uses ""SUVs "" I'll go with ""SUV"" to be precise.  The user also specified to avoid repetition and excessive reasoning so I'll keep it simple: ""SUV"" or ""sport utility vehicle."" Looking at the context it says ""now known as SUVs "" so ""SUV"" is sufficient and matches the terminology used.  I think the answer is clear: based on the context a jeep is considered an SUV. </think>  SUV",suv,sport utility vehicles,0,0.0,2.576286100000289,0.0008868223902003,0.0002603893135826,0.0435089999809861,2.3541397198349993e-05,6.9122389387007055e-06
9,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Manchester United Football Club is a professional football club based in Old Trafford , Greater Manchester , England , that competes in the Premier League , the top flight of English football . Nicknamed `` the Red Devils '' , the club was founded as Newton Heath LYR Football Club in 1878 , changed its name to Manchester United in 1902 and moved to its current stadium , Old Trafford , in 1910 .
Question: what is the name of manchester united stadium
Answer: ","Hmm the user is asking about the name of Manchester United's stadium. Let me check the context they provided.  The context says: ""Manchester United Football Club is a professional football club based in Old Trafford Greater Manchester England that competes in the Premier League... moved to its current stadium Old Trafford in 1910.""  Okay so it explicitly states that they moved to ""Old Trafford"" as their current stadium in 1910. The name of the stadium is Old Trafford.   I should be careful here - sometimes people might confuse it with other stadiums but the context is very clear. The club is based in Old Trafford and they moved to that stadium in 1910.   The question is straightforward: ""what is the name of manchester united stadium"". The answer is Old Trafford.   I'll keep it concise as requested - just state ""Old Trafford"" without any extra explanation since the user wants direct answers without excessive reasoning.   No need to mention anything about the history or other details since the question is specifically about the stadium name. The context already gives it directly.  So the answer is simply: Old Trafford </think>  Old Trafford",old trafford,Old Trafford,1,1.0,1.6414312999986578,0.0005493636710706,0.0001613044853152,0.0397460999665781,2.109774578228717e-05,6.194732567757504e-06
