model,context_used,thinking,dataset,dataset_version,f1,em,pred_tokens_per_question,total_tokens,total_energy_kWh,energy_kWh_per_question,inference_energy_kWh,retrieval_energy_kWh,emissions_kg_per_question,inference_emissions_kg_per_question,retrieval_emissions_kg_per_question,time_s_per_question,total_time,performance_per_energy
Qwen3 0.6B (Base),False,False,HotpotQA,full,0.118439,0.060000,9.969000,9969,0.072964,0.000073,0.000073,0.000000,0.000021,0.000021,0.000000,0.263948,0:04:23,1.623252
Qwen3 0.6B (Base),False,True,HotpotQA,full,0.100532,0.040000,246.446000,246446,0.301507,0.000302,0.000302,0.000000,0.000056,0.000056,0.000000,0.987703,0:16:27,0.333431
Qwen3 0.6B (RAG),True,False,HotpotQA,full,0.179600,0.089000,17.508000,17508,0.117831,0.000118,0.000103,0.000014,0.000034,0.000029,0.000004,0.416662,0:06:56,1.524220
Qwen3 0.6B (RAG),True,True,HotpotQA,full,0.207621,0.093000,521.132000,521132,0.665240,0.000665,0.000651,0.000014,0.000195,0.000191,0.000004,2.108220,0:35:08,0.312100
Qwen3 1.7B (Base),False,False,HotpotQA,full,0.140625,0.064000,81.062000,81062,0.197516,0.000198,0.000198,0.000000,0.000054,0.000054,0.000000,0.633808,0:10:33,0.711967
Qwen3 1.7B (Base),False,True,HotpotQA,full,0.154649,0.082000,721.055000,721055,1.071037,0.001071,0.001071,0.000000,0.000314,0.000314,0.000000,3.227130,0:53:47,0.144392
Qwen3 1.7B (RAG),True,False,HotpotQA,full,0.319695,0.218000,4.935000,4935,0.110984,0.000111,0.000097,0.000014,0.000033,0.000028,0.000004,0.393771,0:06:33,2.880544
Qwen3 1.7B (RAG),True,True,HotpotQA,full,0.340793,0.203000,572.138000,572138,0.932844,0.000933,0.000918,0.000014,0.000274,0.000270,0.000004,2.828421,0:47:08,0.365327
Qwen3 4B (Base),False,False,HotpotQA,full,0.225277,0.142000,974.495000,974495,2.128946,0.002129,0.002129,0.000000,0.000581,0.000581,0.000000,6.155803,1:42:35,0.105816
Qwen3 4B (Base),False,True,HotpotQA,full,0.226778,0.142000,1003.799000,1003799,2.194331,0.002194,0.002194,0.000000,0.000644,0.000644,0.000000,6.350268,1:45:50,0.103347
Qwen3 4B (RAG),True,False,HotpotQA,full,0.420472,0.307000,2647.733000,2647733,6.236019,0.006236,0.006222,0.000014,0.001668,0.001664,0.000004,17.707433,4:55:07,0.067426
Qwen3 4B (RAG),True,True,HotpotQA,full,0.415135,0.296000,2631.174000,2631174,6.164676,0.006165,0.006150,0.000014,0.001810,0.001806,0.000004,17.532184,4:52:12,0.067341
Qwen3 8B (Base),False,False,HotpotQA,full,0.193131,0.092000,7.753000,7753,0.101303,0.000101,0.000101,0.000000,0.000019,0.000019,0.000000,0.354321,0:05:54,1.906460
Qwen3 8B (Base),False,True,HotpotQA,full,0.225900,0.103000,998.759000,998759,3.890462,0.003890,0.003890,0.000000,0.001142,0.001142,0.000000,10.783275,2:59:43,0.058065
Qwen3 8B (RAG),True,False,HotpotQA,full,0.394370,0.263000,7.639000,7639,0.176953,0.000177,0.000163,0.000014,0.000049,0.000045,0.000004,0.579101,0:09:39,2.228668
Qwen3 8B (RAG),True,True,HotpotQA,full,0.371254,0.236000,660.520000,660520,2.317687,0.002318,0.002303,0.000014,0.000681,0.000676,0.000004,6.407972,1:46:47,0.160183
Qwen3 14B (Base),False,False,HotpotQA,full,0.262842,0.155000,7.007000,7007,0.111191,0.000111,0.000111,0.000000,0.000020,0.000020,0.000000,0.381861,0:06:21,2.363888
