qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
573173d8497a881900248f0c,86%,86%.,['84%'],0,0,0.3632302000041818,0.00010793661634290436,3.1692412991074086e-05,0.0,0.0,0.0
57277e815951b619008f8b52,Microfilms,Microfilms.,['books'],0,0,0.38117989999591373,0.00011302850873379622,3.3187497439947136e-05,0.0,0.0,0.0
5727e2483acd2414000deef0,Households,Households.,['the executive'],0,0,0.4115657999936957,0.00011775704942856425,3.457589434936665e-05,0.0,0.0,0.0
5728f5716aef0514001548cc,Jane Eyre,Jane Eyre.,['Anjiro'],0,0,0.35434689999965485,0.00010143361587025005,2.9782998154446602e-05,0.0,0.0,0.0
572826002ca10214002d9f16,Loops modulo homotopy,"Loops, modulo homotopy.",['loops'],0,0.5,0.4817821000033291,0.0001411902649159887,4.145636891026028e-05,0.0,0.0,0.0
572692f4f1498d1400e8e437,Approximately 25 billion,Approximately 2.5 billion.,['2.2 billion'],0,0.4,0.44395149999763817,0.0001356520042968398,3.983022155877526e-05,0.0,0.0,0.0
57324e38e17f3d1400422823,Supreme Commander Allied Expeditionary Force,"Supreme Commander, Allied Expeditionary Force.",['Military Governor of the U.S. Occupation Zone'],0,0.0,0.4822946999920532,0.0001429194506330986,4.19640934410239e-05,0.0,0.0,0.0
56f8fa3c9b226e1400dd1212,"Unknown   (Needs context - ""these regions"" is undefined)","Unknown. 

(Needs context - ""these regions"" is undefined.)",['the brown men'],0,0.0,0.6623184000054607,0.00021102366036560423,6.196089169543931e-05,0.0,0.0,0.0
57342ac5d058e614000b6a8a,Prevention treatment control,"Prevention, treatment, control.",['resources could be targeted to the communities at greatest risk'],0,0.0,0.46473669999977574,0.0001349167052739534,3.961432262572722e-05,0.0,0.0,0.0
5729a5f51d046914007795a5,Green ants—creation dreaming food medicine,"Green ants—creation, dreaming, food, medicine.",['honey ants'],0,0.0,0.4982897000008961,0.000154448356936987,4.5349217713934726e-05,0.0,0.0,0.0
57270aeaf1498d1400e8f27f,Unknown,Unknown.,['The Cossacks'],0,0.0,0.4033593999920413,0.00011457669236877395,3.3642076032533914e-05,0.0,0.0,0.0
572a1bcf3f37b319004786dc,Verdigris,Verdigris.,['verdigris'],1,1.0,0.4432039000093937,0.0001302534067932074,3.824508217369255e-05,0.0,0.0,0.0
56e76d0b00c9c71400d7711c,1970s,1970s.,['1970s'],1,1.0,0.4235841000045184,0.0001266143448163739,3.717657864840576e-05,0.0,0.0,0.0
56e10dbdcd28a01900c674e4,Raytheon Technologies,Raytheon Technologies.,['Sun Jiadong'],0,0.0,0.417746499995701,0.00012244514556017903,3.5952415902284126e-05,0.0,0.0,0.0
5727be06ff5b5019007d93fd,Student,Student.,['House Master'],0,0.0,0.4532801000023028,0.0001281868385111086,3.763829517508534e-05,0.0,0.0,0.0
570df0740b85d914000d7c18,Around 7-8 years,Around 7-8 years.,['nine'],0,0.0,0.5182103999977699,0.0001508111718973526,4.428126529605603e-05,0.0,0.0,0.0
572835282ca10214002da0c8,Few Primarily larval stages; some adult groups (eg some Clitellata),"Few. Primarily larval stages; some adult groups (e.g., some Clitellata).",['echiurans and sipunculan'],0,0,0.72282229999837,0.00024113049514061773,7.080087829009491e-05,0.0,0.0,0.0
5727e8e73acd2414000def87,Buddhism,Buddhism.,['Religion'],0,0,0.4465403999929549,0.00013119992681581862,3.852299994133515e-05,0.0,0.0,0.0
57341fdd4776f419006618d5,Blocks inhibitory neurotransmitters causing spastic paralysis,"Blocks inhibitory neurotransmitters, causing spastic paralysis.",['paralyzes muscles'],0,0,0.6524345999932848,0.00019480873373061114,5.719985536738185e-05,0.0,0.0,0.0
56dde6309a695914005b9692,Minor Canonry,Minor Canonry.,['tituli'],0,0,0.43024280000827275,0.00012414164863655249,3.645054413678654e-05,0.0,0.0,0.0
56d36db659d6e41400146378,Dolby Theatre Hollywood,"Dolby Theatre, Hollywood.",['CBS Television City'],0,0.0,0.4472029000025941,0.00013065207177643013,3.836213842134474e-05,0.0,0.0,0.0
572962d53f37b31900478302,1734-1735 1815-1860,"1734-1735, 1815-1860.",['1720 and 1734'],0,0.0,0.7685467999981483,0.0002540000032746091,7.457963086353755e-05,0.0,0.0,0.0
