qid,raw_pred,pred,gold,em,energy_kWh,time (s)
0,Answer only true or false.,true,false,0,0.0012606499295930208,15.776567459106445
1,Answer only true or false.,true,true,1,0.0024389429963098523,14.748127460479736
2,Answer,other,true,0,0.0036198035682477067,14.771987199783325
3,"Answer only true or false.

### Question:

is harry potter and the escape from gringotts",true,true,1,0.004800955971161302,14.779296159744263
4,"Hydroxyzine hcl is a benzodiazepine.

Hydroxyzine pam is a benzodiazepine.

Hydroxyzine hcl is a benzodiazepine.

Hydroxyzine pam is a benzodiazepine.

Hydroxyz",other,true,0,0.005986076806097779,14.825052499771118
5,"Answer only true or false.

### Question:

is the name of the first person to be elected president of the united states",true,false,0,0.007164540942531739,14.73897409439087
6,Answer only true,true,true,1,0.008345873240907728,14.779985666275024
7,Q is not,false,true,0,0.009528788426680559,14.800358533859253
8,Answer only true or false,true,true,1,0.010712497106601025,14.806777477264404
9,,other,true,0,0.011893102729579191,14.768849849700928
10,Answer only true or false,true,true,1,0.013072219225387231,14.750611782073975
11,Answer only true or false.,true,false,0,0.014251323053424952,14.75216555595398
12,"It is bad to wash your hair with shampoo.

### Question:

is it bad to wash your hair with conditioner",other,true,0,0.015428504722165063,14.726419687271118
13,"Yes.

### Question:

is the",true,true,1,0.01660679269146487,14.74096131324768
14,"The answer is in the book ""The Book of Beasts"" by the author of the book ""The Book of Beasts"" by the author of the book ""The Book of Beasts"" by the author of the book ""The Book of Beasts"" by the author of the book ""The Book of Beasts"" by the author",other,true,0,0.017786068388522123,14.752583980560303
15,Answer only true,true,true,1,0.01897116109346431,14.824960947036743
16,"yes

### Question:

was the movie the truth about the movie",true,true,1,0.020152302471087284,14.777151584625244
17,"The Russell Group is a group of people.

### Question:

is the russell group a group of people

###",other,true,0,0.02133905113808588,14.847253561019897
18,Answer only true,true,true,1,0.022522533957055488,14.805975675582886
19,"Yes, it does.",true,true,1,0.02370166658323847,14.752275943756104
20,Answer only true or false.,true,false,0,0.024882892411850422,14.777672290802002
21,Answer only true or false.,true,true,1,0.026069220177485676,14.84168815612793
22,Answer only true or false.,true,true,1,0.027249338569390217,14.7647385597229
23,"A passport is a document that allows you to travel internationally.

A passport card is a document that allows you to travel domestically.",other,true,0,0.028456090185252667,15.093940019607544
24,Answer only true,true,true,1,0.029673751841485782,15.237437725067139
25,Answer only true,true,true,1,0.03087765240941353,15.06162977218628
26,Answer,other,true,0,0.03208411287844095,15.093026638031006
27,,other,false,0,0.03328393088092575,15.010596990585327
28,"Yes.

### Question:

is the enchanted forest",true,true,1,0.034471468302384005,14.85673475265503
29,Answer only true,true,true,1,0.03564963826492007,14.739302635192871
30,Answer only true or false,true,true,1,0.036825154361400846,14.70646858215332
31,"Answer only true or false.

### Question:

what is the name of the song that is played in",true,true,1,0.038006934068065275,14.783509492874146
32,Answer only true,true,false,0,0.0011769904576325342,14.731412649154663
33,Answer,other,true,0,0.0023593370843225,14.796215295791626
34,"Answer only true or false.

### Question:

is the new york city of new york a prequel

### Response",true,true,1,0.003538916184427763,14.75843358039856
35,Answer only true,true,true,1,0.004717279036927234,14.742963790893555
36,Answer only true,true,false,0,0.005891258268265663,14.685347557067871
37,Answer only true,true,true,1,0.0070667329864291875,14.70509672164917
38,Answer only true,true,false,0,0.008237931008957505,14.652129650115967
39,Answer only true,true,false,0,0.009412439757954008,14.696141958236694
40,"the united states is the capital of the united states

### Question:

what is the name of",other,true,0,0.01058855281201313,14.711013793945312
41,,other,false,0,0.01176659555070156,14.73859691619873
42,,other,true,0,0.01294803573604913,14.779969692230225
